ts, default broker, SPOT, EWIIS3, total
359, 57515, 0, 0, 57515
360, 57515, 0, 0, 57515
361, 7031, 999, 49485, 57515
367, 7028, 1345, 49142, 57515
373, 7027, 1637, 48851, 57515
379, 7024, 1783, 48708, 57515
385, 7024, 1091, 49400, 57515
391, 7024, 1627, 48864, 57515
397, 7025, 2053, 48437, 57515
403, 7024, 2615, 47876, 57515
409, 7024, 983, 49508, 57515
415, 7024, 993, 49498, 57515
421, 7024, 1139, 49352, 57515
427, 7024, 1705, 48786, 57515
433, 7027, 690, 49798, 57515
439, 7027, 690, 49798, 57515
445, 7025, 1280, 49210, 57515
451, 7026, 3441, 47048, 57515
457, 7025, 1135, 49355, 57515
463, 7024, 1423, 49068, 57515
469, 7024, 1426, 49065, 57515
475, 7023, 1569, 48923, 57515
481, 7023, 1568, 48924, 57515
487, 7022, 1810, 48683, 57515
493, 7022, 2292, 48201, 57515
499, 7024, 2491, 48000, 57515
505, 7024, 3504, 46987, 57515
511, 7024, 3969, 46522, 57515
517, 7024, 4061, 46430, 57515
523, 7024, 4423, 46068, 57515
529, 7025, 4657, 45833, 57515
535, 7025, 4687, 45803, 57515
541, 7025, 4774, 45716, 57515
547, 7025, 4774, 45716, 57515
553, 7025, 4860, 45630, 57515
559, 7025, 4948, 45542, 57515
565, 7025, 5088, 45402, 57515
571, 7026, 5227, 45262, 57515
577, 7025, 5227, 45263, 57515
583, 7024, 5312, 45179, 57515
589, 7024, 5450, 45041, 57515
595, 7024, 5450, 45041, 57515
601, 7024, 5672, 44819, 57515
607, 7024, 5672, 44819, 57515
613, 7024, 5672, 44819, 57515
619, 7024, 5946, 44545, 57515
625, 7023, 5946, 44546, 57515
631, 7023, 6081, 44411, 57515
637, 7023, 6081, 44411, 57515
643, 7024, 6351, 44140, 57515
649, 7023, 6351, 44141, 57515
655, 7023, 6291, 44201, 57515
661, 7023, 6291, 44201, 57515
667, 7023, 6424, 44068, 57515
673, 7023, 7033, 43459, 57515
679, 7023, 7412, 43080, 57515
685, 7024, 7625, 42866, 57515
691, 7024, 7786, 42705, 57515
697, 7024, 7961, 42530, 57515
703, 7025, 7961, 42529, 57515
709, 7025, 8272, 42218, 57515
715, 7025, 8302, 42188, 57515
721, 7024, 8302, 42189, 57515
727, 7024, 8433, 42058, 57515
733, 7025, 8511, 41979, 57515
739, 7024, 8870, 41621, 57515
745, 7023, 9041, 41451, 57515
751, 7023, 9161, 41331, 57515
757, 7023, 9457, 41035, 57515
763, 7024, 9817, 40674, 57515
769, 7023, 10409, 40083, 57515
775, 7023, 10409, 40083, 57515
781, 7023, 10409, 40083, 57515
787, 7023, 10410, 40082, 57515
793, 7024, 10670, 39821, 57515
799, 7023, 10613, 39879, 57515
805, 7023, 10763, 39729, 57515
811, 7024, 10762, 39729, 57515
817, 7024, 10762, 39729, 57515
823, 7024, 10762, 39729, 57515
829, 7024, 10762, 39729, 57515
835, 7024, 10829, 39662, 57515
841, 7025, 10829, 39661, 57515
847, 7025, 10829, 39661, 57515
853, 7026, 10828, 39661, 57515
859, 7025, 10828, 39662, 57515
865, 7025, 11029, 39461, 57515
871, 7025, 11037, 39453, 57515
877, 7025, 11198, 39292, 57515
883, 7024, 11491, 39000, 57515
889, 7025, 11568, 38922, 57515
895, 7025, 11508, 38982, 57515
901, 7026, 11832, 38657, 57515
907, 7024, 12170, 38321, 57515
913, 7024, 12696, 37795, 57515
919, 7024, 12947, 37544, 57515
925, 7023, 13282, 37210, 57515
931, 7024, 13401, 37090, 57515
937, 7024, 13555, 36936, 57515
943, 7024, 13494, 36997, 57515
949, 7024, 13582, 36909, 57515
955, 7024, 13582, 36909, 57515
961, 7025, 13955, 36535, 57515
967, 7025, 13915, 36575, 57515
973, 7025, 14179, 36311, 57515
979, 7024, 14299, 36192, 57515
985, 7024, 14360, 36131, 57515
991, 7024, 14360, 36131, 57515
997, 7025, 14629, 35861, 57515
1003, 7025, 14804, 35686, 57515
1009, 7025, 15090, 35400, 57515
1015, 7025, 15165, 35325, 57515
1021, 7023, 15165, 35327, 57515
1027, 7023, 15403, 35089, 57515
1033, 7023, 15853, 34639, 57515
1039, 7023, 15905, 34587, 57515
1045, 7022, 16363, 34130, 57515
1051, 7023, 16689, 33803, 57515
1057, 7024, 17187, 33304, 57515
1063, 7024, 17186, 33305, 57515
1069, 7024, 17751, 32740, 57515
1075, 7025, 17751, 32739, 57515
1081, 7025, 18175, 32315, 57515
1087, 7025, 18122, 32368, 57515
1093, 7024, 18310, 32181, 57515
1099, 7024, 18309, 32182, 57515
1105, 7024, 18775, 31716, 57515
1111, 7022, 18776, 31717, 57515
1117, 7022, 18889, 31604, 57515
