ts, default broker, CrocodileAgent, EWIIS3, AgentUDE, Bunnie, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 6784, 108, 87, 26111, 24426, 57516
367, 6656, 142, 86, 26114, 24518, 57516
373, 6167, 370, 106, 29732, 21141, 57516
379, 6222, 315, 92, 32145, 18742, 57516
385, 6421, 264, 79, 34807, 15945, 57516
391, 6518, 224, 88, 36079, 14607, 57516
397, 6676, 174, 88, 37802, 12776, 57516
403, 6761, 125, 309, 4627, 45694, 57516
409, 6715, 154, 247, 4870, 45530, 57516
415, 6717, 179, 280, 5577, 44763, 57516
421, 6732, 173, 283, 5578, 44750, 57516
427, 6775, 169, 261, 5775, 44536, 57516
433, 6707, 221, 346, 6251, 43991, 57516
439, 6688, 215, 389, 6860, 43364, 57516
445, 6505, 318, 396, 3160, 47137, 57516
451, 6553, 315, 366, 3864, 46418, 57516
457, 6674, 382, 271, 4983, 45206, 57516
463, 6694, 498, 152, 5371, 44801, 57516
469, 6774, 475, 127, 6618, 43522, 57516
475, 6814, 692, 95, 6861, 43054, 57516
481, 6786, 2503, 64, 7948, 40215, 57516
487, 6799, 4344, 64, 1748, 44561, 57516
493, 6795, 5078, 62, 2399, 43182, 57516
499, 6815, 5541, 61, 2806, 42293, 57516
505, 6865, 6354, 47, 4381, 39869, 57516
511, 6711, 6727, 47, 4690, 39341, 57516
517, 6455, 6986, 46, 5674, 38355, 57516
523, 6377, 7038, 44, 6646, 37411, 57516
529, 6354, 6996, 45, 5681, 38440, 57516
535, 6299, 6918, 44, 6050, 38205, 57516
541, 6284, 6976, 43, 7941, 36272, 57516
547, 6307, 6821, 40, 9403, 34945, 57516
553, 6452, 6441, 40, 10658, 33925, 57516
559, 6490, 4845, 40, 12385, 33756, 57516
565, 6683, 4208, 40, 13532, 33053, 57516
571, 6735, 3297, 41, 7244, 40199, 57516
577, 6763, 2511, 43, 9460, 38739, 57516
583, 6710, 2125, 42, 9769, 38870, 57516
589, 6752, 1675, 42, 12428, 36619, 57516
595, 6583, 1419, 41, 13695, 35778, 57516
601, 6688, 1166, 40, 14698, 34924, 57516
607, 6695, 991, 39, 15354, 34437, 57516
613, 6693, 790, 39, 9636, 40358, 57516
619, 6742, 524, 37, 11307, 38906, 57516
625, 6676, 525, 38, 13211, 37066, 57516
631, 6588, 467, 37, 15611, 34813, 57516
637, 6546, 474, 38, 16937, 33521, 57516
643, 6435, 745, 38, 18761, 31537, 57516
649, 6481, 1386, 38, 20276, 29335, 57516
655, 6519, 5162, 37, 273, 45525, 57516
661, 6531, 6924, 37, 480, 43544, 57516
667, 6640, 8360, 37, 510, 41969, 57516
673, 6712, 9095, 36, 629, 41044, 57516
679, 6770, 9863, 35, 804, 40044, 57516
685, 6864, 9815, 35, 913, 39889, 57516
691, 6663, 9926, 35, 1020, 39872, 57516
697, 6521, 9986, 36, 365, 40608, 57516
703, 6514, 9908, 35, 562, 40497, 57516
709, 6539, 9881, 37, 902, 40157, 57516
715, 6608, 9814, 37, 1293, 39764, 57516
721, 6603, 9433, 36, 1920, 39524, 57516
727, 6686, 8415, 37, 2348, 40030, 57516
733, 6553, 6907, 36, 2748, 41272, 57516
739, 6361, 5835, 38, 1598, 43684, 57516
745, 6419, 4865, 38, 2244, 43950, 57516
751, 6548, 2943, 35, 4768, 43222, 57516
757, 6490, 2201, 36, 6643, 42146, 57516
763, 6574, 1801, 35, 6796, 42310, 57516
769, 6663, 1446, 37, 8171, 41199, 57516
775, 6680, 1032, 36, 9376, 40392, 57516
781, 6769, 982, 35, 1649, 48081, 57516
787, 6849, 676, 34, 1861, 48096, 57516
793, 6723, 787, 36, 2945, 47025, 57516
799, 6808, 510, 34, 3180, 46984, 57516
805, 6877, 408, 34, 3445, 46752, 57516
811, 6858, 750, 33, 3578, 46297, 57516
817, 6664, 1416, 33, 3883, 45520, 57516
823, 6644, 3082, 35, 1519, 46236, 57516
829, 6666, 5805, 36, 2675, 42334, 57516
835, 6684, 6621, 35, 2899, 41277, 57516
841, 6680, 8057, 36, 4207, 38536, 57516
847, 6657, 8445, 36, 4766, 37612, 57516
853, 6643, 8393, 36, 5520, 36924, 57516
859, 6670, 8340, 37, 5705, 36764, 57516
865, 6685, 8239, 37, 555, 42000, 57516
871, 6669, 8192, 36, 773, 41846, 57516
877, 6491, 8281, 37, 773, 41934, 57516
883, 6465, 8155, 37, 794, 42065, 57516
889, 6567, 7814, 37, 1020, 42078, 57516
895, 6611, 7189, 35, 1013, 42668, 57516
901, 6388, 6436, 36, 1222, 43434, 57516
907, 6522, 5219, 36, 2337, 43402, 57516
913, 6682, 3055, 37, 4377, 43365, 57516
919, 6669, 2625, 38, 5074, 43110, 57516
