ts, default broker, CrocodileAgent, SPOT, EWIIS3, VidyutVanika, total
757, 17, 4923, 33, 177, 52357, 57507
763, 15, 3454, 61, 167, 53810, 57507
769, 15, 2363, 63, 168, 54898, 57507
775, 17, 649, 240, 166, 56435, 57507
781, 15, 354, 241, 166, 56731, 57507
787, 16, 233, 240, 166, 56852, 57507
793, 15, 233, 211, 165, 56883, 57507
799, 15, 115, 213, 167, 56997, 57507
805, 16, 58, 183, 167, 57083, 57507
811, 16, 149, 182, 166, 56994, 57507
817, 17, 583, 35, 171, 56701, 57507
823, 17, 708, 16, 163, 56603, 57507
829, 15, 933, 15, 160, 56384, 57507
835, 15, 1264, 17, 162, 56049, 57507
841, 15, 3029, 18, 164, 54281, 57507
847, 15, 3661, 17, 165, 53649, 57507
853, 15, 4946, 18, 163, 52365, 57507
859, 15, 6211, 15, 164, 51102, 57507
865, 13, 6327, 13, 123, 51031, 57507
871, 10, 6363, 4, 68, 51062, 57507
877, 22, 6345, 5, 56, 51079, 57507
883, 23, 6255, 20, 46, 51163, 57507
889, 20, 5903, 35, 35, 51514, 57507
895, 4, 5690, 51, 36, 51726, 57507
901, 17, 5791, 672, 48, 50979, 57507
907, 1917, 5116, 644, 40, 49790, 57507
913, 3295, 3903, 615, 39, 49655, 57507
919, 3320, 3370, 584, 24, 50209, 57507
925, 3299, 1871, 644, 38, 51655, 57507
931, 3289, 1089, 614, 24, 52491, 57507
937, 3395, 430, 501, 23, 53158, 57507
943, 3384, 312, 131, 22, 53658, 57507
949, 3423, 244, 110, 24, 53706, 57507
955, 3535, 198, 109, 24, 53641, 57507
961, 3512, 173, 93, 27, 53702, 57507
967, 3517, 185, 94, 20, 53691, 57507
973, 3423, 373, 93, 32, 53586, 57507
979, 3445, 269, 94, 31, 53668, 57507
985, 3428, 483, 94, 20, 53482, 57507
991, 3585, 696, 93, 23, 53110, 57507
997, 3485, 1214, 94, 20, 52694, 57507
1003, 3455, 1638, 93, 25, 52296, 57507
1009, 3351, 3114, 93, 22, 50927, 57507
1015, 3448, 4407, 93, 20, 49539, 57507
1021, 3420, 5246, 94, 23, 48724, 57507
1027, 3390, 6235, 95, 20, 47767, 57507
1033, 3340, 7226, 94, 21, 46826, 57507
1039, 3264, 7793, 96, 16, 46338, 57507
1045, 3123, 7932, 94, 21, 46337, 57507
1051, 3160, 8001, 94, 20, 46232, 57507
1057, 2874, 8339, 299, 23, 45972, 57507
1063, 2989, 8423, 327, 26, 45742, 57507
1069, 3212, 7916, 360, 36, 45983, 57507
1075, 3375, 7194, 430, 27, 46481, 57507
1081, 3372, 5680, 497, 23, 47935, 57507
1087, 3364, 4472, 495, 23, 49153, 57507
1093, 3627, 3524, 504, 25, 49827, 57507
1099, 3693, 2443, 389, 23, 50959, 57507
1105, 3662, 1448, 299, 26, 52072, 57507
1111, 3586, 781, 320, 21, 52799, 57507
1117, 3418, 570, 215, 33, 53271, 57507
1123, 3337, 486, 218, 22, 53444, 57507
1129, 3615, 297, 127, 24, 53444, 57507
1135, 3609, 157, 127, 24, 53590, 57507
1141, 3591, 532, 128, 32, 53224, 57507
1147, 3549, 915, 128, 21, 52894, 57507
1153, 3266, 1415, 107, 25, 52694, 57507
1159, 3166, 1714, 98, 27, 52502, 57507
1165, 3270, 1787, 105, 35, 52310, 57507
1171, 3298, 2495, 94, 34, 51586, 57507
1177, 3574, 3897, 104, 22, 49910, 57507
1183, 3671, 4329, 94, 27, 49386, 57507
1189, 3772, 4855, 95, 24, 48761, 57507
1195, 3754, 5433, 94, 20, 48206, 57507
1201, 3833, 7101, 113, 18, 46442, 57507
1207, 3582, 8986, 114, 34, 44791, 57507
1213, 3530, 9171, 114, 22, 44670, 57507
1219, 3337, 9086, 114, 22, 44948, 57507
1225, 3355, 8303, 115, 31, 45703, 57507
1231, 3410, 7823, 228, 34, 46012, 57507
1237, 3589, 7734, 231, 35, 45918, 57507
1243, 3655, 6942, 216, 23, 46671, 57507
1249, 3754, 5541, 215, 21, 47976, 57507
1255, 3723, 5049, 206, 23, 48506, 57507
1261, 3730, 4483, 215, 22, 49057, 57507
1267, 3552, 4004, 325, 21, 49605, 57507
1273, 3598, 2335, 214, 24, 51336, 57507
1279, 3599, 1850, 214, 26, 51818, 57507
1285, 3483, 1456, 235, 27, 52306, 57507
1291, 3558, 1184, 225, 29, 52511, 57507
1297, 3541, 976, 228, 28, 52734, 57507
1303, 3571, 677, 228, 26, 53005, 57507
1309, 3665, 558, 245, 39, 53000, 57507
1315, 3605, 380, 205, 25, 53292, 57507
1321, 3616, 886, 183, 24, 52798, 57507
1327, 3628, 1064, 192, 25, 52598, 57507
1333, 3722, 1019, 202, 22, 52542, 57507
1339, 3444, 1544, 202, 23, 52294, 57507
1345, 3541, 3147, 142, 24, 50653, 57507
1351, 3387, 5161, 152, 23, 48784, 57507
1357, 3264, 6054, 152, 24, 48013, 57507
1363, 3138, 8216, 134, 32, 45987, 57507
1369, 3168, 9126, 247, 23, 44943, 57507
1375, 3287, 10349, 247, 25, 43599, 57507
1381, 3519, 10670, 247, 24, 43047, 57507
1387, 3701, 10776, 237, 25, 42768, 57507
1393, 3684, 10532, 345, 27, 42919, 57507
1399, 3663, 10339, 482, 136, 42887, 57507
1405, 3768, 10052, 658, 82, 42947, 57507
1411, 3705, 9484, 580, 36, 43702, 57507
1417, 3575, 8010, 552, 24, 45346, 57507
1423, 3436, 6112, 579, 58, 47322, 57507
1429, 3322, 4953, 571, 20, 48641, 57507
1435, 3313, 2879, 599, 32, 50684, 57507
1441, 3454, 1806, 387, 21, 51839, 57507
1447, 3466, 786, 214, 20, 53021, 57507
1453, 3320, 455, 167, 20, 53545, 57507
1459, 3262, 202, 179, 21, 53843, 57507
1465, 3141, 207, 136, 23, 54000, 57507
1471, 3206, 323, 137, 19, 53822, 57507
1477, 3199, 394, 105, 37, 53772, 57507
1483, 3117, 484, 115, 22, 53769, 57507
1489, 3207, 685, 115, 26, 53474, 57507
1495, 3079, 660, 123, 26, 53619, 57507
1501, 3116, 898, 123, 22, 53348, 57507
1507, 3283, 1715, 114, 20, 52375, 57507
1513, 3381, 2784, 114, 22, 51206, 57507
1519, 3311, 4285, 115, 23, 49773, 57507
1525, 3377, 5161, 104, 23, 48842, 57507
1531, 3475, 7311, 103, 22, 46596, 57507
1537, 3443, 10042, 104, 42, 43876, 57507
1543, 3388, 10638, 106, 22, 43353, 57507
1549, 3411, 11679, 114, 26, 42277, 57507
1555, 3547, 11666, 115, 22, 42157, 57507
1561, 3761, 11438, 204, 31, 42073, 57507
1567, 3608, 11496, 304, 24, 42075, 57507
1573, 3479, 11459, 304, 25, 42240, 57507
1579, 3552, 10536, 303, 28, 43088, 57507
1585, 3526, 9510, 324, 29, 44118, 57507
1591, 3262, 8001, 315, 28, 45901, 57507
1597, 3256, 7111, 308, 30, 46802, 57507
1603, 3257, 4842, 204, 28, 49176, 57507
1609, 3296, 2181, 203, 25, 51802, 57507
1615, 3247, 1460, 104, 26, 52670, 57507
1621, 3143, 464, 103, 35, 53762, 57507
1627, 3276, 342, 104, 32, 53753, 57507
1633, 3123, 209, 114, 21, 54040, 57507
1639, 3157, 184, 114, 27, 54025, 57507
1645, 3403, 247, 123, 28, 53706, 57507
1651, 3370, 245, 115, 22, 53755, 57507
1657, 3552, 452, 68, 25, 53410, 57507
1663, 3457, 534, 61, 22, 53433, 57507
1669, 3442, 686, 84, 22, 53273, 57507
1675, 3451, 1069, 101, 33, 52853, 57507
1681, 3384, 2008, 103, 36, 51976, 57507
1687, 3375, 3071, 103, 28, 50930, 57507
1693, 3505, 4415, 104, 24, 49459, 57507
1699, 3549, 5404, 104, 26, 48424, 57507
1705, 3609, 5642, 105, 25, 48126, 57507
1711, 3608, 7335, 116, 32, 46416, 57507
1717, 3496, 8112, 116, 35, 45748, 57507
1723, 3495, 8185, 235, 26, 45566, 57507
1729, 3436, 8343, 237, 26, 45465, 57507
1735, 3457, 8273, 353, 27, 45397, 57507
1741, 3637, 8153, 363, 31, 45323, 57507
1747, 3562, 7714, 394, 23, 45814, 57507
