ts, default broker, VidyutVanika, Bunnie, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 13, 23030, 34463, 57506
367, 11, 23017, 34478, 57506
373, 9, 23680, 33817, 57506
379, 10, 23770, 33726, 57506
385, 9, 23772, 33725, 57506
391, 10, 23866, 33630, 57506
397, 10, 24053, 33443, 57506
403, 11, 24054, 33441, 57506
409, 12, 24153, 33341, 57506
415, 13, 24149, 33344, 57506
421, 11, 24339, 33156, 57506
427, 12, 24337, 33157, 57506
433, 13, 20754, 36739, 57506
439, 15, 18883, 38608, 57506
445, 14, 17428, 40064, 57506
451, 13, 15067, 42426, 57506
457, 13, 13100, 44393, 57506
463, 10, 11199, 46297, 57506
469, 9, 9128, 48369, 57506
475, 9, 9071, 48426, 57506
481, 8, 8991, 48507, 57506
487, 8, 9315, 48183, 57506
493, 8, 17546, 39952, 57506
499, 7, 24302, 33197, 57506
505, 8, 32318, 25180, 57506
511, 7, 36408, 21091, 57506
517, 8, 42596, 14902, 57506
523, 8, 45820, 11678, 57506
529, 9, 47289, 10208, 57506
535, 11, 47324, 10171, 57506
541, 8, 47426, 10072, 57506
547, 8, 47069, 10429, 57506
553, 8, 46942, 10556, 57506
559, 9, 46464, 11033, 57506
565, 9, 44843, 12654, 57506
571, 9, 39157, 18340, 57506
577, 10, 33963, 23533, 57506
583, 10, 30336, 27160, 57506
589, 10, 26470, 31026, 57506
595, 8, 23671, 33827, 57506
601, 8, 20831, 36667, 57506
607, 9, 17974, 39523, 57506
613, 9, 15875, 41622, 57506
619, 7, 15493, 42006, 57506
625, 7, 13581, 43918, 57506
631, 9, 11996, 45501, 57506
637, 8, 11174, 46324, 57506
643, 9, 10507, 46990, 57506
649, 9, 10045, 47452, 57506
655, 10, 10330, 47166, 57506
661, 10, 17526, 39970, 57506
667, 9, 25077, 32420, 57506
673, 11, 31850, 25645, 57506
679, 10, 35436, 22060, 57506
685, 11, 42148, 15347, 57506
691, 10, 44239, 13257, 57506
697, 12, 46537, 10957, 57506
703, 11, 46677, 10818, 57506
709, 10, 46317, 11179, 57506
715, 11, 45539, 11956, 57506
721, 10, 45336, 12160, 57506
727, 12, 44729, 12765, 57506
733, 11, 41743, 15752, 57506
739, 10, 38138, 19358, 57506
745, 8, 33644, 23854, 57506
751, 9, 29805, 27692, 57506
757, 11, 26130, 31365, 57506
763, 9, 22464, 35033, 57506
769, 8, 19145, 38353, 57506
775, 5, 15674, 41827, 57506
781, 7, 13572, 43927, 57506
787, 5, 12866, 44635, 57506
793, 5, 11482, 46019, 57506
799, 6, 10405, 47095, 57506
805, 6, 10183, 47317, 57506
811, 6, 10287, 47213, 57506
817, 6, 9845, 47655, 57506
823, 7, 9525, 47974, 57506
829, 6, 16495, 41005, 57506
835, 5, 19662, 37839, 57506
841, 7, 26040, 31459, 57506
847, 9, 32082, 25415, 57506
853, 9, 37564, 19933, 57506
859, 10, 41146, 16350, 57506
865, 11, 45595, 11900, 57506
871, 10, 49238, 8258, 57506
877, 9, 50519, 6978, 57506
883, 8, 51588, 5910, 57506
889, 9, 52836, 4661, 57506
895, 10, 39286, 18210, 57506
901, 10, 37550, 19946, 57506
907, 10, 43027, 14469, 57506
913, 10, 45247, 12249, 57506
919, 10, 48016, 9480, 57506
925, 4, 49496, 8006, 57506
931, 5, 51805, 5696, 57506
937, 6, 52567, 4933, 57506
943, 6, 13588, 43912, 57506
949, 6, 17613, 39887, 57506
955, 6, 49607, 7893, 57506
961, 6, 50463, 7037, 57506
967, 6, 51211, 6289, 57506
973, 6, 52961, 4539, 57506
979, 6, 53603, 3897, 57506
985, 9, 52887, 4610, 57506
991, 10, 53730, 3766, 57506
997, 8, 54502, 2996, 57506
1003, 8, 54614, 2884, 57506
1009, 7, 54620, 2879, 57506
1015, 8, 54962, 2536, 57506
1021, 8, 55281, 2217, 57506
1027, 9, 55271, 2226, 57506
1033, 9, 54908, 2589, 57506
1039, 8, 55116, 2382, 57506
1045, 7, 55157, 2342, 57506
1051, 8, 55420, 2078, 57506
1057, 7, 54049, 3450, 57506
1063, 9, 8996, 48501, 57506
1069, 9, 8956, 48541, 57506
1075, 6, 22025, 35475, 57506
1081, 7, 30936, 26563, 57506
1087, 7, 38310, 19189, 57506
1093, 7, 44083, 13416, 57506
1099, 7, 47621, 9878, 57506
1105, 8, 54756, 2742, 57506
1111, 10, 7895, 49601, 57506
1117, 9, 8999, 48498, 57506
1123, 9, 21172, 36325, 57506
1129, 9, 30273, 27224, 57506
1135, 11, 34600, 22895, 57506
1141, 12, 40047, 17447, 57506
1147, 9, 42049, 15448, 57506
1153, 11, 44934, 12561, 57506
1159, 11, 46720, 10775, 57506
1165, 11, 50346, 7149, 57506
1171, 9, 51843, 5654, 57506
1177, 11, 52456, 5039, 57506
1183, 10, 53704, 3792, 57506
1189, 11, 54095, 3400, 57506
1195, 10, 54669, 2827, 57506
1201, 12, 31295, 26199, 57506
1207, 10, 31549, 25947, 57506
1213, 10, 32117, 25379, 57506
1219, 10, 32249, 25247, 57506
1225, 10, 32296, 25200, 57506
1231, 11, 32173, 25322, 57506
1237, 11, 32054, 25441, 57506
1243, 10, 32013, 25483, 57506
1249, 8, 31854, 25644, 57506
1255, 9, 31745, 25752, 57506
1261, 9, 31615, 25882, 57506
1267, 11, 31622, 25873, 57506
1273, 11, 23612, 33883, 57506
1279, 12, 19930, 37564, 57506
1285, 13, 16747, 40746, 57506
1291, 14, 15420, 42072, 57506
1297, 14, 13666, 43826, 57506
1303, 14, 13387, 44105, 57506
1309, 14, 11925, 45567, 57506
1315, 14, 10983, 46509, 57506
1321, 13, 10344, 47149, 57506
1327, 10, 10482, 47014, 57506
1333, 10, 17501, 39995, 57506
1339, 11, 25014, 32481, 57506
1345, 11, 34050, 23445, 57506
1351, 10, 36824, 20672, 57506
1357, 11, 41897, 15598, 57506
1363, 9, 44444, 13053, 57506
1369, 9, 46289, 11208, 57506
1375, 9, 46130, 11367, 57506
1381, 8, 45834, 11664, 57506
1387, 10, 45243, 12253, 57506
1393, 11, 44949, 12546, 57506
1399, 12, 44435, 13059, 57506
1405, 11, 41867, 15628, 57506
1411, 12, 36713, 20781, 57506
1417, 13, 31828, 25665, 57506
1423, 11, 28165, 29330, 57506
1429, 11, 23746, 33749, 57506
1435, 11, 21125, 36370, 57506
1441, 9, 18061, 39436, 57506
1447, 9, 15929, 41568, 57506
1453, 10, 14270, 43226, 57506
1459, 10, 13241, 44255, 57506
1465, 10, 11085, 46411, 57506
1471, 9, 10480, 47017, 57506
1477, 8, 10096, 47402, 57506
1483, 7, 9655, 47844, 57506
1489, 8, 9897, 47601, 57506
1495, 9, 10776, 46721, 57506
1501, 9, 16077, 41420, 57506
1507, 9, 21576, 35921, 57506
1513, 9, 27711, 29786, 57506
1519, 10, 32927, 24569, 57506
1525, 9, 38869, 18628, 57506
1531, 10, 42135, 15361, 57506
1537, 9, 43655, 13842, 57506
1543, 8, 43850, 13648, 57506
1549, 8, 43803, 13695, 57506
1555, 7, 43231, 14268, 57506
1561, 8, 42411, 15087, 57506
1567, 7, 42017, 15482, 57506
1573, 4, 40197, 17305, 57506
1579, 5, 37650, 19851, 57506
1585, 5, 35176, 22325, 57506
1591, 8, 30809, 26689, 57506
1597, 8, 25491, 32007, 57506
1603, 8, 22196, 35302, 57506
1609, 7, 19302, 38197, 57506
1615, 7, 16550, 40949, 57506
1621, 9, 14854, 42643, 57506
1627, 9, 12756, 44741, 57506
1633, 7, 10852, 46647, 57506
1639, 11, 9946, 47549, 57506
1645, 11, 9538, 47957, 57506
1651, 9, 8959, 48538, 57506
1657, 8, 8400, 49098, 57506
1663, 8, 9045, 48453, 57506
1669, 10, 17344, 40152, 57506
1675, 12, 23197, 34297, 57506
1681, 12, 32069, 25425, 57506
1687, 12, 35297, 22197, 57506
1693, 11, 40959, 16536, 57506
1699, 10, 43917, 13579, 57506
1705, 10, 45842, 11654, 57506
1711, 9, 46031, 11466, 57506
1717, 8, 46102, 11396, 57506
1723, 9, 45945, 11552, 57506
1729, 8, 45525, 11973, 57506
1735, 8, 45375, 12123, 57506
1741, 7, 43198, 14301, 57506
1747, 6, 38993, 18507, 57506
1753, 10, 35589, 21907, 57506
1759, 10, 31788, 25708, 57506
1765, 10, 28354, 29142, 57506
1771, 8, 22258, 35240, 57506
1777, 10, 18922, 38574, 57506
1783, 10, 15850, 41646, 57506
1789, 12, 13963, 43531, 57506
1795, 10, 13072, 44424, 57506
1801, 10, 12186, 45310, 57506
1807, 10, 11567, 45929, 57506
1813, 9, 11311, 46186, 57506
1819, 10, 10972, 46524, 57506
1825, 9, 10553, 46944, 57506
