ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 6964, 148, 0, 2231, 48166, 57509
367, 6999, 115, 0, 1279, 49116, 57509
373, 6641, 471, 0, 945, 49452, 57509
379, 6541, 572, 0, 855, 49541, 57509
385, 6715, 399, 0, 740, 49655, 57509
391, 6721, 392, 0, 680, 49716, 57509
397, 6574, 540, 0, 638, 49757, 57509
403, 6663, 7379, 0, 32383, 11084, 57509
409, 6755, 8277, 0, 31077, 11400, 57509
415, 6799, 9293, 0, 29839, 11578, 57509
421, 6892, 11514, 0, 27384, 11719, 57509
427, 6932, 15119, 0, 23893, 11565, 57509
433, 6972, 23195, 0, 16066, 11276, 57509
439, 6972, 26432, 0, 13274, 10831, 57509
445, 6957, 39875, 0, 10611, 66, 57509
451, 7000, 42399, 0, 8040, 70, 57509
457, 6957, 42919, 0, 7553, 80, 57509
463, 6956, 44150, 0, 6288, 115, 57509
469, 7028, 44324, 0, 6010, 147, 57509
475, 6980, 44232, 0, 5985, 312, 57509
481, 7014, 42173, 0, 5846, 2476, 57509
487, 7034, 42622, 0, 5875, 1978, 57509
493, 6936, 42074, 0, 5874, 2625, 57509
499, 6952, 39770, 0, 6061, 4726, 57509
505, 6989, 37056, 0, 6086, 7378, 57509
511, 6978, 35134, 0, 6060, 9337, 57509
517, 6905, 30816, 0, 6107, 13681, 57509
523, 6874, 27672, 0, 6088, 16875, 57509
529, 6788, 5226, 0, 2237, 43258, 57509
535, 6773, 1380, 0, 1268, 48088, 57509
541, 6570, 984, 0, 725, 49230, 57509
547, 6749, 804, 0, 506, 49450, 57509
553, 6808, 746, 0, 382, 49573, 57509
559, 6811, 454, 0, 361, 49883, 57509
565, 6892, 237, 0, 359, 50021, 57509
571, 6864, 3840, 0, 357, 46448, 57509
577, 6846, 3859, 0, 337, 46467, 57509
583, 6864, 3840, 0, 337, 46468, 57509
589, 6787, 3918, 0, 337, 46467, 57509
595, 6651, 4327, 0, 331, 46200, 57509
601, 6755, 4549, 0, 320, 45885, 57509
607, 6891, 4762, 0, 297, 45559, 57509
613, 6978, 50124, 0, 296, 111, 57509
619, 6962, 50141, 0, 293, 113, 57509
625, 6923, 50179, 0, 293, 114, 57509
631, 6916, 50184, 0, 295, 114, 57509
637, 7013, 50086, 0, 296, 114, 57509
643, 7014, 49963, 0, 300, 232, 57509
649, 6911, 49832, 0, 298, 468, 57509
655, 6891, 49700, 0, 300, 618, 57509
661, 6909, 48811, 0, 297, 1492, 57509
667, 6871, 48287, 0, 298, 2053, 57509
673, 6882, 48061, 0, 296, 2270, 57509
679, 6887, 47695, 0, 325, 2602, 57509
685, 6768, 36910, 0, 467, 13364, 57509
691, 6841, 27992, 0, 507, 22169, 57509
697, 6909, 23274, 0, 466, 26860, 57509
703, 6846, 20790, 0, 437, 29436, 57509
709, 6851, 16706, 0, 378, 33574, 57509
715, 6983, 12388, 0, 416, 37722, 57509
721, 6950, 9876, 0, 387, 40296, 57509
727, 6977, 9611, 0, 354, 40567, 57509
733, 6915, 10098, 0, 331, 40165, 57509
739, 6983, 41152, 0, 600, 8774, 57509
745, 6950, 43923, 0, 522, 6114, 57509
751, 6931, 44154, 0, 432, 5992, 57509
757, 6768, 44437, 0, 335, 5969, 57509
763, 6615, 44591, 0, 334, 5969, 57509
769, 6663, 44567, 0, 331, 5948, 57509
775, 6753, 44499, 0, 329, 5928, 57509
781, 6754, 50402, 0, 311, 42, 57509
787, 6811, 50365, 0, 284, 49, 57509
793, 6824, 50347, 0, 284, 54, 57509
799, 6859, 50307, 0, 284, 59, 57509
805, 6743, 50422, 0, 282, 62, 57509
811, 6854, 49938, 0, 284, 433, 57509
817, 6877, 48424, 0, 290, 1918, 57509
823, 6874, 47606, 0, 297, 2732, 57509
829, 6771, 41105, 0, 295, 9338, 57509
835, 6884, 32145, 0, 393, 18087, 57509
841, 6762, 26520, 0, 329, 23898, 57509
847, 6788, 20342, 0, 423, 29956, 57509
853, 6741, 17992, 0, 331, 32445, 57509
859, 6818, 15639, 0, 369, 34683, 57509
865, 6846, 12804, 0, 485, 37374, 57509
871, 6852, 11602, 0, 467, 38588, 57509
877, 6866, 10199, 0, 437, 40007, 57509
883, 6813, 8110, 0, 691, 41895, 57509
889, 6745, 7128, 0, 692, 42944, 57509
895, 6676, 9185, 0, 759, 40889, 57509
901, 6725, 11251, 0, 778, 38755, 57509
907, 6773, 47367, 0, 709, 2660, 57509
913, 6721, 47569, 0, 541, 2678, 57509
919, 6813, 47543, 0, 476, 2677, 57509
925, 6796, 47656, 0, 425, 2632, 57509
931, 6745, 47776, 0, 394, 2594, 57509
937, 6790, 47988, 0, 388, 2343, 57509
943, 6848, 48172, 0, 316, 2173, 57509
949, 6852, 50104, 0, 255, 298, 57509
955, 6890, 50275, 0, 246, 98, 57509
961, 6762, 50430, 0, 242, 75, 57509
967, 6783, 50407, 0, 237, 82, 57509
973, 6820, 50265, 0, 239, 185, 57509
979, 6825, 44490, 0, 394, 5800, 57509
985, 6835, 34680, 0, 375, 15619, 57509
991, 6977, 37491, 0, 745, 12296, 57509
997, 6979, 32975, 0, 654, 16901, 57509
1003, 6932, 28762, 0, 548, 21267, 57509
1009, 6958, 23308, 0, 406, 26837, 57509
1015, 6928, 19278, 0, 419, 30884, 57509
1021, 6887, 15649, 0, 360, 34613, 57509
1027, 6883, 13390, 0, 325, 36911, 57509
1033, 6958, 11423, 0, 434, 38694, 57509
1039, 6925, 11777, 0, 716, 38091, 57509
1045, 6985, 11042, 0, 607, 38875, 57509
1051, 6970, 9869, 0, 405, 40265, 57509
1057, 6973, 8822, 0, 291, 41423, 57509
1063, 6986, 11663, 0, 262, 38598, 57509
1069, 6873, 16411, 0, 299, 33926, 57509
1075, 6816, 35138, 0, 383, 15172, 57509
1081, 6870, 35013, 0, 324, 15302, 57509
1087, 6916, 34906, 0, 289, 15398, 57509
1093, 6909, 34887, 0, 285, 15428, 57509
1099, 6946, 34882, 0, 287, 15394, 57509
1105, 6919, 34921, 0, 277, 15392, 57509
1111, 6836, 35120, 0, 273, 15280, 57509
1117, 6790, 50392, 0, 238, 89, 57509
1123, 6764, 50418, 0, 233, 94, 57509
1129, 6861, 50316, 0, 234, 98, 57509
1135, 6866, 50314, 0, 229, 100, 57509
1141, 6882, 50276, 0, 230, 121, 57509
1147, 6924, 50008, 0, 235, 342, 57509
1153, 6946, 49487, 0, 238, 838, 57509
1159, 6900, 48376, 0, 286, 1947, 57509
1165, 6852, 46321, 0, 286, 4050, 57509
1171, 6864, 40485, 0, 381, 9779, 57509
1177, 6913, 34488, 0, 460, 15648, 57509
1183, 6963, 31309, 0, 321, 18916, 57509
1189, 6959, 27592, 0, 357, 22601, 57509
1195, 6978, 22169, 0, 734, 27628, 57509
1201, 6964, 17660, 0, 841, 32044, 57509
1207, 6799, 14850, 0, 679, 35181, 57509
1213, 6679, 10922, 0, 525, 39383, 57509
1219, 6723, 8697, 0, 482, 41607, 57509
1225, 6761, 7839, 0, 422, 42487, 57509
1231, 6805, 6579, 0, 451, 43674, 57509
1237, 6681, 6344, 0, 419, 44065, 57509
1243, 6759, 21925, 0, 537, 28288, 57509
1249, 6830, 25023, 0, 458, 25198, 57509
1255, 6825, 29474, 0, 429, 20781, 57509
1261, 6950, 35007, 0, 398, 15154, 57509
1267, 6952, 40242, 0, 300, 10015, 57509
1273, 6898, 42516, 0, 268, 7827, 57509
1279, 6974, 44149, 0, 266, 6120, 57509
1285, 7029, 50112, 0, 273, 95, 57509
1291, 7050, 50093, 0, 272, 94, 57509
1297, 7036, 50111, 0, 255, 107, 57509
1303, 6847, 50301, 0, 257, 104, 57509
1309, 6837, 50348, 0, 216, 108, 57509
1315, 6813, 50191, 0, 225, 280, 57509
1321, 6843, 49028, 0, 228, 1410, 57509
1327, 6846, 44482, 0, 231, 5950, 57509
1333, 6870, 38372, 0, 235, 12032, 57509
1339, 6935, 31995, 0, 236, 18343, 57509
1345, 6883, 23847, 0, 231, 26548, 57509
1351, 6927, 18978, 0, 228, 31376, 57509
1357, 6945, 13365, 0, 230, 36969, 57509
1363, 6936, 10265, 0, 235, 40073, 57509
1369, 6821, 8108, 0, 270, 42310, 57509
1375, 6810, 6376, 0, 264, 44059, 57509
1381, 6840, 4939, 0, 260, 45470, 57509
1387, 6835, 3969, 0, 262, 46443, 57509
1393, 6840, 3586, 0, 267, 46816, 57509
1399, 6786, 3497, 0, 270, 46956, 57509
1405, 6889, 3551, 0, 242, 46827, 57509
1411, 6938, 35684, 0, 254, 14633, 57509
1417, 6954, 35701, 0, 249, 14605, 57509
