ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 4, 0, 0, 7737, 49766, 57507
367, 4, 1, 0, 7747, 49755, 57507
373, 6, 3, 0, 10334, 47164, 57507
379, 8, 3, 0, 13236, 44260, 57507
385, 9, 133, 0, 15902, 41463, 57507
391, 9, 134, 0, 18427, 38937, 57507
397, 7, 135, 0, 19791, 37574, 57507
403, 6, 137, 0, 22086, 35278, 57507
409, 8, 138, 0, 24196, 33165, 57507
415, 6, 139, 0, 24282, 33080, 57507
421, 4, 140, 0, 24447, 32916, 57507
427, 6, 79, 0, 24525, 32897, 57507
433, 6, 77, 0, 24355, 33069, 57507
439, 7, 68, 0, 24288, 33144, 57507
445, 6, 68, 0, 23615, 33818, 57507
451, 7, 67, 0, 22623, 34810, 57507
457, 8, 5, 0, 20400, 37094, 57507
463, 8, 4, 0, 18574, 38921, 57507
469, 11, 4, 0, 15341, 42151, 57507
475, 10, 3, 0, 13661, 43833, 57507
481, 12, 3, 0, 12063, 45429, 57507
487, 10, 4, 0, 10744, 46749, 57507
493, 10, 4, 0, 9564, 47929, 57507
499, 7, 6, 0, 8927, 48567, 57507
505, 5, 8, 0, 8340, 49154, 57507
511, 5, 8, 0, 8078, 49416, 57507
517, 5, 9, 0, 7805, 49688, 57507
523, 5, 9, 0, 7840, 49653, 57507
529, 7, 8, 0, 7784, 49708, 57507
535, 6, 8, 0, 8230, 49263, 57507
541, 6, 7, 0, 10362, 47132, 57507
547, 5, 6, 0, 11265, 46231, 57507
553, 6, 6, 0, 14724, 42771, 57507
559, 5, 5, 0, 16267, 41230, 57507
565, 6, 5, 0, 19496, 38000, 57507
571, 7, 5, 0, 21154, 36341, 57507
577, 7, 4, 0, 23426, 34070, 57507
583, 6, 4, 0, 24239, 33258, 57507
589, 5, 4, 0, 24253, 33245, 57507
595, 5, 4, 0, 24168, 33330, 57507
601, 4, 5, 0, 24003, 33495, 57507
607, 5, 2, 0, 23723, 33777, 57507
613, 6, 2, 0, 22901, 34598, 57507
619, 5, 3, 0, 22026, 35473, 57507
625, 5, 4, 0, 20495, 37003, 57507
631, 4, 5, 0, 19354, 38144, 57507
637, 4, 5, 0, 16378, 41120, 57507
643, 5, 5, 0, 15422, 42075, 57507
649, 6, 3, 0, 14001, 43497, 57507
655, 7, 3, 0, 12122, 45375, 57507
661, 9, 2, 0, 11624, 45872, 57507
667, 8, 2, 0, 10518, 46979, 57507
673, 9, 3, 0, 9757, 47738, 57507
679, 9, 4, 0, 8622, 48872, 57507
685, 9, 4, 0, 8610, 48884, 57507
691, 9, 4, 0, 8359, 49135, 57507
697, 9, 4, 0, 8220, 49274, 57507
703, 9, 4, 0, 8051, 49443, 57507
709, 9, 4, 0, 9899, 47595, 57507
715, 9, 3, 0, 11626, 45869, 57507
721, 9, 5, 0, 13403, 44090, 57507
727, 8, 5, 0, 14673, 42821, 57507
733, 7, 5, 0, 17933, 39562, 57507
739, 6, 5, 0, 19844, 37652, 57507
745, 5, 7, 0, 21241, 36254, 57507
751, 4, 6, 0, 22114, 35383, 57507
