ts, default broker, SPOT, EWIIS3, VidyutVanika, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 7, 3, 104, 7945, 49452, 57511
367, 6, 2, 101, 7943, 49459, 57511
373, 4, 2, 89, 7953, 49463, 57511
379, 4, 3, 95, 7952, 49457, 57511
385, 3, 2, 85, 7954, 49467, 57511
391, 3, 2, 94, 7953, 49459, 57511
397, 2, 2, 246, 8099, 49162, 57511
403, 3, 2, 217, 8243, 49046, 57511
409, 5, 3, 323, 8241, 48939, 57511
415, 6, 4, 219, 8241, 49041, 57511
421, 5, 3, 197, 8242, 49064, 57511
427, 5, 4, 206, 8386, 48910, 57511
433, 5, 3, 177, 8412, 48914, 57511
439, 5, 5, 175, 8650, 48676, 57511
445, 5, 5, 174, 9511, 47816, 57511
451, 4, 4, 163, 12879, 44461, 57511
457, 4, 2, 158, 16248, 41099, 57511
463, 4, 3, 130, 18116, 39258, 57511
469, 5, 3, 115, 20130, 37258, 57511
475, 4, 3, 92, 21978, 35434, 57511
481, 2, 2, 71, 23566, 33870, 57511
487, 2, 2, 67, 23805, 33635, 57511
493, 2, 2, 67, 23380, 34060, 57511
499, 2, 2, 66, 23162, 34279, 57511
505, 2, 4, 66, 22918, 34521, 57511
511, 2, 4, 66, 22445, 34994, 57511
517, 1, 4, 66, 22204, 35236, 57511
523, 1, 4, 52, 20813, 36641, 57511
529, 2, 4, 50, 18934, 38521, 57511
535, 2, 3, 39, 15610, 41857, 57511
541, 2, 4, 39, 13749, 43717, 57511
547, 2, 6, 39, 12902, 44562, 57511
553, 2, 4, 40, 11642, 45823, 57511
559, 2, 3, 40, 11099, 46367, 57511
565, 2, 4, 40, 10019, 47446, 57511
571, 2, 4, 39, 9192, 48274, 57511
577, 2, 5, 39, 8612, 48853, 57511
583, 2, 5, 48, 8150, 49306, 57511
589, 2, 4, 38, 7874, 49593, 57511
595, 2, 4, 38, 7504, 49963, 57511
601, 2, 5, 38, 7621, 49845, 57511
607, 2, 4, 38, 8002, 49465, 57511
613, 2, 3, 38, 9305, 48163, 57511
619, 1, 3, 35, 10713, 46759, 57511
625, 1, 3, 35, 13170, 44302, 57511
631, 1, 3, 33, 16818, 40656, 57511
637, 1, 3, 31, 18660, 38816, 57511
643, 1, 3, 29, 21918, 35560, 57511
649, 2, 3, 26, 23114, 34366, 57511
655, 2, 1, 29, 23366, 34113, 57511
661, 2, 1, 29, 23385, 34094, 57511
667, 2, 2, 28, 23222, 34257, 57511
673, 3, 1, 28, 23102, 34377, 57511
679, 3, 1, 28, 22965, 34514, 57511
685, 2, 1, 21, 22672, 34815, 57511
691, 1, 2, 20, 21436, 36052, 57511
697, 1, 2, 21, 20117, 37370, 57511
703, 2, 2, 20, 18109, 39378, 57511
709, 1, 2, 16, 16817, 40675, 57511
715, 1, 1, 15, 15916, 41578, 57511
721, 1, 1, 14, 14696, 42799, 57511
727, 1, 2, 14, 12541, 44953, 57511
733, 0, 3, 15, 11212, 46281, 57511
739, 0, 3, 15, 10000, 47493, 57511
745, 0, 4, 15, 8978, 48514, 57511
751, 0, 4, 14, 8840, 48653, 57511
757, 0, 4, 14, 8560, 48933, 57511
763, 0, 4, 15, 8166, 49326, 57511
769, 0, 4, 15, 7830, 49662, 57511
775, 2, 4, 14, 7962, 49529, 57511
781, 0, 4, 17, 9391, 48099, 57511
787, 0, 4, 16, 11363, 46128, 57511
793, 1, 2, 13, 15534, 41961, 57511
799, 1, 2, 13, 18521, 38974, 57511
805, 1, 3, 12, 20075, 37420, 57511
811, 1, 3, 12, 22629, 34866, 57511
817, 1, 4, 12, 24548, 32946, 57511
823, 1, 3, 13, 25053, 32441, 57511
829, 1, 3, 12, 25130, 32365, 57511
835, 1, 3, 12, 24940, 32555, 57511
841, 1, 4, 13, 24767, 32726, 57511
847, 1, 3, 14, 24572, 32921, 57511
853, 1, 3, 14, 24078, 33415, 57511
859, 1, 4, 13, 23167, 34326, 57511
865, 2, 2, 13, 27654, 29840, 57511
871, 1, 2, 12, 31388, 26108, 57511
877, 4, 2, 11, 34051, 23443, 57511
883, 4, 3, 11, 36968, 20525, 57511
889, 2032, 94, 13, 35396, 19976, 57511
895, 2201, 94, 10, 9875, 45331, 57511
901, 2667, 94, 9, 11444, 43297, 57511
907, 2641, 94, 11, 17644, 37121, 57511
913, 2989, 94, 10, 20598, 33820, 57511
919, 3045, 94, 10, 26041, 28321, 57511
925, 3078, 94, 10, 31650, 22679, 57511
931, 3150, 94, 12, 34502, 19753, 57511
937, 3147, 94, 12, 31207, 23051, 57511
943, 3091, 93, 14, 31835, 22478, 57511
949, 3219, 94, 14, 33018, 21166, 57511
955, 3129, 94, 14, 34999, 19275, 57511
961, 3246, 93, 19, 34113, 20040, 57511
967, 3366, 93, 17, 34651, 19384, 57511
973, 3321, 93, 16, 36533, 17548, 57511
979, 3243, 93, 16, 38199, 15960, 57511
985, 3424, 93, 18, 37295, 16681, 57511
991, 3447, 93, 16, 37776, 16179, 57511
997, 3478, 94, 15, 39305, 14619, 57511
1003, 3449, 93, 13, 41109, 12847, 57511
1009, 3489, 93, 12, 39535, 14382, 57511
1015, 3366, 93, 12, 39447, 14593, 57511
1021, 3572, 93, 12, 39118, 14716, 57511
1027, 3688, 93, 12, 40403, 13315, 57511
1033, 3623, 93, 12, 39390, 14393, 57511
1039, 3695, 93, 13, 13837, 39873, 57511
1045, 3585, 93, 14, 15452, 38367, 57511
1051, 3475, 93, 13, 21073, 32857, 57511
1057, 3398, 93, 14, 23587, 30419, 57511
1063, 3221, 95, 12, 8662, 45521, 57511
1069, 3083, 95, 11, 11865, 42457, 57511
1075, 2931, 94, 12, 17645, 36829, 57511
1081, 3095, 95, 13, 19375, 34933, 57511
1087, 3434, 95, 12, 22416, 31554, 57511
