ts, default broker, SPOT, EWIIS3, VidyutVanika, Bunnie, total
359, 57518, 0, 0, 0, 0, 57518
360, 57518, 0, 0, 0, 0, 57518
361, 8, 517, 375, 7740, 48878, 57518
367, 4, 516, 164, 7743, 49091, 57518
373, 6, 811, 148, 9988, 46565, 57518
379, 6, 809, 105, 13505, 43093, 57518
385, 6, 13, 122, 18577, 38800, 57518
391, 5, 15, 135, 20080, 37283, 57518
397, 6, 4, 116, 22881, 34511, 57518
403, 7, 1, 139, 27290, 30081, 57518
409, 6, 2, 140, 27883, 29487, 57518
415, 5, 87, 191, 28849, 28386, 57518
421, 4, 87, 186, 29339, 27902, 57518
427, 4, 88, 189, 29354, 27883, 57518
433, 3, 161, 191, 29331, 27832, 57518
439, 2, 161, 180, 29241, 27934, 57518
445, 2, 159, 186, 28739, 28432, 57518
451, 2, 159, 170, 27686, 29501, 57518
457, 2, 162, 211, 23378, 33765, 57518
463, 2, 162, 199, 22192, 34963, 57518
469, 1, 162, 196, 21083, 36076, 57518
475, 1, 102, 165, 18624, 38626, 57518
481, 1, 35, 109, 15538, 41835, 57518
487, 2, 35, 77, 14179, 43225, 57518
493, 2, 161, 76, 11509, 45770, 57518
499, 2, 130, 75, 10492, 46819, 57518
505, 3, 130, 70, 9181, 48134, 57518
511, 3, 129, 70, 8671, 48645, 57518
517, 2, 130, 71, 8190, 49125, 57518
523, 2, 130, 69, 8053, 49264, 57518
529, 2, 130, 64, 7909, 49413, 57518
535, 2, 124, 62, 8123, 49207, 57518
541, 2, 64, 53, 10016, 47383, 57518
547, 2, 63, 41, 11678, 45734, 57518
553, 2, 36, 40, 15556, 41884, 57518
559, 3, 153, 35, 17358, 39969, 57518
565, 3, 122, 35, 18868, 38490, 57518
571, 2, 122, 34, 20981, 36379, 57518
577, 2, 120, 33, 23204, 34159, 57518
583, 2, 121, 31, 23354, 34010, 57518
589, 2, 216, 30, 23365, 33905, 57518
595, 2, 216, 30, 23359, 33911, 57518
601, 2, 187, 30, 23178, 34121, 57518
607, 2, 217, 29, 22975, 34295, 57518
613, 2, 187, 31, 22193, 35105, 57518
619, 2, 189, 32, 21379, 35916, 57518
625, 2, 3, 32, 19774, 37707, 57518
631, 2, 33, 32, 18005, 39446, 57518
637, 3, 33, 30, 15583, 41869, 57518
643, 2, 33, 29, 14949, 42505, 57518
649, 4, 33, 28, 13225, 44228, 57518
655, 4, 32, 29, 11929, 45524, 57518
