ts, default broker, SPOT, VidyutVanika, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 55, 0, 57454, 57509
367, 52, 0, 57457, 57509
373, 44, 6, 57459, 57509
379, 47, 16, 57446, 57509
385, 46, 17, 57446, 57509
391, 47, 17, 57445, 57509
397, 47, 20, 57442, 57509
403, 46, 18, 57445, 57509
409, 46, 17, 57446, 57509
415, 44, 17, 57448, 57509
421, 45, 18, 57446, 57509
427, 47, 15, 57447, 57509
433, 45, 23, 57441, 57509
439, 42, 176, 57291, 57509
445, 44, 332, 57133, 57509
451, 45, 333, 57131, 57509
457, 44, 66, 57399, 57509
463, 46, 33, 57430, 57509
469, 45, 36, 57428, 57509
475, 43, 35, 57431, 57509
481, 43, 38, 57428, 57509
487, 45, 35, 57429, 57509
493, 45, 35, 57429, 57509
499, 44, 18, 57447, 57509
505, 48, 6, 57455, 57509
511, 42, 18, 57449, 57509
517, 43, 18, 57448, 57509
523, 44, 18, 57447, 57509
529, 44, 28, 57437, 57509
535, 42, 29, 57438, 57509
541, 44, 27, 57438, 57509
547, 43, 32, 57434, 57509
553, 42, 25, 57442, 57509
559, 41, 330, 57138, 57509
565, 44, 481, 56984, 57509
571, 43, 762, 56704, 57509
577, 42, 92, 57375, 57509
583, 42, 203, 57264, 57509
589, 40, 358, 57111, 57509
595, 40, 361, 57108, 57509
601, 43, 55, 57411, 57509
607, 43, 56, 57410, 57509
613, 42, 291, 57176, 57509
619, 44, 299, 57166, 57509
625, 47, 52, 57410, 57509
631, 45, 52, 57412, 57509
637, 43, 44, 57422, 57509
643, 43, 45, 57421, 57509
649, 45, 32, 57432, 57509
655, 43, 33, 57433, 57509
661, 43, 36, 57430, 57509
667, 43, 36, 57430, 57509
673, 40, 46, 57423, 57509
679, 43, 43, 57423, 57509
685, 42, 42, 57425, 57509
691, 40, 45, 57424, 57509
697, 41, 44, 57424, 57509
703, 43, 44, 57422, 57509
709, 42, 46, 57421, 57509
715, 44, 57, 57408, 57509
721, 41, 67, 57401, 57509
727, 42, 56, 57411, 57509
733, 43, 207, 57259, 57509
739, 40, 205, 57264, 57509
745, 39, 218, 57252, 57509
751, 40, 215, 57254, 57509
757, 42, 214, 57253, 57509
763, 42, 206, 57261, 57509
769, 43, 43, 57423, 57509
775, 41, 44, 57424, 57509
781, 41, 45, 57423, 57509
787, 42, 46, 57421, 57509
793, 44, 46, 57419, 57509
799, 45, 55, 57409, 57509
805, 45, 56, 57408, 57509
811, 43, 58, 57408, 57509
817, 45, 35, 57429, 57509
823, 48, 42, 57419, 57509
829, 48, 44, 57417, 57509
835, 48, 44, 57417, 57509
841, 44, 45, 57420, 57509
847, 43, 46, 57420, 57509
853, 43, 45, 57421, 57509
859, 42, 43, 57424, 57509
865, 41, 3, 57465, 57509
871, 40, 3, 57466, 57509
877, 39, 3, 57467, 57509
883, 39, 2, 57468, 57509
889, 39, 47, 57423, 57509
895, 38, 50, 57421, 57509
901, 45, 356, 57108, 57509
907, 1897, 391, 55221, 57509
913, 3385, 94, 54030, 57509
919, 3225, 93, 54191, 57509
925, 3287, 103, 54119, 57509
931, 3273, 93, 54143, 57509
937, 3286, 93, 54130, 57509
943, 3277, 94, 54138, 57509
949, 3226, 125, 54158, 57509
955, 3379, 124, 54006, 57509
961, 3416, 94, 53999, 57509
967, 3424, 94, 53991, 57509
973, 3275, 95, 54139, 57509
979, 3451, 95, 53963, 57509
985, 3496, 95, 53918, 57509
991, 3596, 96, 53817, 57509
997, 3597, 95, 53817, 57509
1003, 3629, 95, 53785, 57509
1009, 3832, 96, 53581, 57509
1015, 3782, 96, 53631, 57509
1021, 3616, 97, 53796, 57509
1027, 3464, 96, 53949, 57509
1033, 3363, 95, 54051, 57509
1039, 3282, 94, 54133, 57509
1045, 3508, 97, 53904, 57509
1051, 3721, 94, 53694, 57509
1057, 3505, 94, 53910, 57509
1063, 3574, 93, 53842, 57509
1069, 3464, 305, 53740, 57509
1075, 3487, 288, 53734, 57509
1081, 3541, 96, 53872, 57509
1087, 3388, 96, 54025, 57509
1093, 3529, 105, 53875, 57509
1099, 3500, 94, 53915, 57509
1105, 3791, 94, 53624, 57509
1111, 3942, 93, 53474, 57509
1117, 3807, 170, 53532, 57509
1123, 3791, 160, 53558, 57509
1129, 3757, 95, 53657, 57509
1135, 3817, 94, 53598, 57509
1141, 3770, 93, 53646, 57509
1147, 3783, 93, 53633, 57509
1153, 3508, 94, 53907, 57509
1159, 3541, 95, 53873, 57509
1165, 3482, 96, 53931, 57509
1171, 3551, 94, 53864, 57509
1177, 3603, 96, 53810, 57509
1183, 3366, 94, 54049, 57509
1189, 3358, 95, 54056, 57509
1195, 3495, 96, 53918, 57509
1201, 3480, 95, 53934, 57509
1207, 3429, 104, 53976, 57509
1213, 3372, 94, 54043, 57509
1219, 3484, 95, 53930, 57509
1225, 3585, 147, 53777, 57509
1231, 3518, 267, 53724, 57509
1237, 3308, 373, 53828, 57509
1243, 3471, 488, 53550, 57509
1249, 3403, 486, 53620, 57509
1255, 3427, 486, 53596, 57509
1261, 3440, 486, 53583, 57509
1267, 3384, 437, 53688, 57509
1273, 3352, 103, 54054, 57509
1279, 3513, 215, 53781, 57509
1285, 3525, 216, 53768, 57509
