ts, default broker, CrocodileAgent, Bunnie, total
359, 57522, 0, 0, 57522
360, 57522, 0, 0, 57522
361, 7002, 7, 50513, 57522
367, 6727, 187, 50608, 57522
373, 6132, 553, 50837, 57522
379, 6021, 649, 50852, 57522
385, 6293, 433, 50796, 57522
391, 6428, 334, 50760, 57522
397, 6729, 166, 50627, 57522
403, 6762, 145, 50615, 57522
409, 6681, 257, 50584, 57522
415, 6687, 240, 50595, 57522
421, 6633, 225, 50664, 57522
427, 6671, 529, 50322, 57522
433, 6799, 1736, 48987, 57522
439, 6692, 2651, 48179, 57522
445, 6630, 4592, 46300, 57522
451, 6588, 6518, 44416, 57522
457, 6598, 7572, 43352, 57522
463, 6701, 7728, 43093, 57522
469, 6725, 7710, 43087, 57522
475, 6798, 7658, 43066, 57522
481, 6739, 7732, 43051, 57522
487, 6679, 7736, 43107, 57522
493, 6667, 7720, 43135, 57522
499, 6709, 7435, 43378, 57522
505, 6722, 6798, 44002, 57522
511, 6708, 6001, 44813, 57522
517, 6839, 4929, 45754, 57522
523, 6497, 3813, 47212, 57522
529, 6534, 2904, 48084, 57522
535, 6567, 2613, 48342, 57522
541, 6657, 2091, 48774, 57522
547, 6705, 1566, 49251, 57522
553, 6721, 1091, 49710, 57522
559, 6665, 759, 50098, 57522
565, 6703, 527, 50292, 57522
571, 6633, 477, 50412, 57522
577, 6524, 666, 50332, 57522
583, 6585, 584, 50353, 57522
589, 6753, 582, 50187, 57522
595, 6820, 1271, 49431, 57522
601, 6866, 3326, 47330, 57522
607, 6795, 4850, 45877, 57522
613, 6534, 6903, 44085, 57522
619, 6296, 7293, 43933, 57522
625, 6373, 8247, 42902, 57522
631, 6388, 8526, 42608, 57522
637, 6016, 8701, 42805, 57522
643, 5912, 8681, 42929, 57522
649, 5994, 8484, 43044, 57522
655, 6203, 8354, 42965, 57522
661, 6279, 8099, 43144, 57522
667, 6394, 7462, 43666, 57522
673, 6588, 6575, 44359, 57522
679, 6574, 6068, 44880, 57522
685, 6665, 4296, 46561, 57522
691, 6791, 3941, 46790, 57522
697, 6782, 2588, 48152, 57522
703, 6822, 1923, 48777, 57522
709, 6734, 1382, 49406, 57522
715, 6725, 1025, 49772, 57522
721, 6597, 728, 50197, 57522
727, 6544, 695, 50283, 57522
733, 6607, 566, 50349, 57522
739, 6706, 474, 50342, 57522
745, 6741, 385, 50396, 57522
751, 6714, 586, 50222, 57522
757, 6652, 608, 50262, 57522
763, 6641, 1643, 49238, 57522
769, 6643, 3633, 47246, 57522
775, 6616, 4470, 46436, 57522
781, 6630, 5524, 45368, 57522
787, 6489, 7214, 43819, 57522
793, 6511, 8030, 42981, 57522
799, 6608, 8157, 42757, 57522
805, 6374, 8150, 42998, 57522
811, 6322, 8187, 43013, 57522
817, 6471, 8145, 42906, 57522
823, 6576, 7940, 43006, 57522
829, 6751, 7681, 43090, 57522
835, 6709, 6763, 44050, 57522
841, 6647, 5811, 45064, 57522
847, 6644, 5210, 45668, 57522
853, 6715, 4503, 46304, 57522
859, 6700, 4112, 46710, 57522
865, 6615, 3629, 47278, 57522
871, 6681, 3287, 47554, 57522
877, 6523, 3112, 47887, 57522
883, 6684, 2148, 48690, 57522
889, 6534, 1924, 49064, 57522
895, 6630, 1426, 49466, 57522
901, 6684, 1108, 49730, 57522
907, 6721, 950, 49851, 57522
913, 6636, 872, 50014, 57522
919, 6661, 864, 49997, 57522
925, 6626, 898, 49998, 57522
931, 6694, 913, 49915, 57522
937, 6714, 2113, 48695, 57522
943, 6652, 3871, 46999, 57522
949, 6771, 5326, 45425, 57522
955, 6698, 6787, 44037, 57522
961, 6757, 7796, 42969, 57522
967, 6777, 7892, 42853, 57522
973, 6694, 7763, 43065, 57522
979, 6346, 7773, 43403, 57522
985, 6413, 7759, 43350, 57522
991, 6536, 7492, 43494, 57522
997, 6524, 7445, 43553, 57522
1003, 6664, 7106, 43752, 57522
1009, 6669, 6528, 44325, 57522
1015, 6675, 5608, 45239, 57522
1021, 6346, 5227, 45949, 57522
1027, 6333, 3831, 47358, 57522
1033, 6489, 3144, 47889, 57522
1039, 6528, 2413, 48581, 57522
1045, 6813, 1589, 49120, 57522
1051, 6752, 1083, 49687, 57522
1057, 6757, 763, 50002, 57522
1063, 6707, 599, 50216, 57522
1069, 6579, 503, 50440, 57522
1075, 6647, 514, 50361, 57522
1081, 6548, 595, 50379, 57522
1087, 6520, 560, 50442, 57522
1093, 6440, 438, 50644, 57522
1099, 6452, 625, 50445, 57522
1105, 6450, 2535, 48537, 57522
1111, 6512, 3586, 47424, 57522
1117, 6535, 6804, 44183, 57522
