ts, default broker, CrocodileAgent, SPOT, EWIIS3, Bunnie, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 6895, 0, 0, 507, 50110, 57512
367, 6676, 101, 81, 239, 50415, 57512
373, 6006, 516, 93, 163, 50734, 57512
379, 6001, 1709, 94, 127, 49581, 57512
385, 6157, 3176, 93, 108, 47978, 57512
391, 6397, 5933, 93, 218, 44871, 57512
397, 6560, 7001, 93, 221, 43637, 57512
403, 6629, 8756, 103, 165, 41859, 57512
409, 6617, 9184, 93, 166, 41452, 57512
415, 6458, 9728, 93, 170, 41063, 57512
421, 6571, 9634, 93, 117, 41097, 57512
427, 6634, 9603, 93, 107, 41075, 57512
433, 6619, 9571, 93, 121, 41108, 57512
439, 6734, 9548, 93, 214, 40923, 57512
445, 6722, 9550, 93, 179, 40968, 57512
451, 6667, 9154, 93, 202, 41396, 57512
457, 6704, 8163, 93, 180, 42372, 57512
463, 6658, 6817, 93, 147, 43797, 57512
469, 6659, 6354, 94, 96, 44309, 57512
475, 6647, 5720, 94, 89, 44962, 57512
481, 6642, 4722, 96, 88, 45964, 57512
487, 6617, 2900, 95, 83, 47817, 57512
493, 6130, 2475, 226, 49, 48632, 57512
499, 6162, 1755, 224, 49, 49322, 57512
505, 6427, 1397, 224, 46, 49418, 57512
511, 6535, 1183, 224, 41, 49529, 57512
517, 6662, 837, 224, 38, 49751, 57512
523, 6579, 815, 225, 38, 49855, 57512
529, 6459, 705, 224, 39, 50085, 57512
535, 6327, 726, 164, 40, 50255, 57512
541, 6293, 644, 136, 37, 50402, 57512
547, 6215, 1065, 95, 36, 50101, 57512
553, 6371, 1841, 98, 33, 49169, 57512
559, 6407, 2217, 97, 33, 48758, 57512
565, 5959, 3330, 97, 32, 48094, 57512
571, 5823, 4227, 98, 29, 47335, 57512
577, 6031, 5136, 93, 30, 46222, 57512
583, 6236, 5112, 93, 30, 46041, 57512
589, 6325, 5029, 94, 31, 46033, 57512
595, 6449, 4946, 94, 32, 45991, 57512
601, 6542, 4772, 93, 33, 46072, 57512
607, 6502, 4749, 93, 32, 46136, 57512
613, 6283, 4762, 93, 33, 46341, 57512
619, 6278, 4398, 95, 34, 46707, 57512
625, 6494, 4066, 96, 34, 46822, 57512
631, 6530, 3595, 96, 24, 47267, 57512
637, 6458, 2964, 93, 23, 47974, 57512
643, 6446, 2329, 94, 23, 48620, 57512
649, 6466, 1937, 94, 22, 48993, 57512
655, 6608, 1412, 94, 22, 49376, 57512
661, 6661, 1073, 95, 19, 49664, 57512
667, 6510, 803, 94, 19, 50086, 57512
673, 6511, 724, 94, 20, 50163, 57512
679, 6563, 655, 94, 22, 50178, 57512
685, 6634, 514, 94, 22, 50248, 57512
691, 6670, 608, 93, 22, 50119, 57512
697, 6753, 523, 93, 22, 50121, 57512
703, 6661, 738, 96, 18, 49999, 57512
709, 6069, 1070, 241, 18, 50114, 57512
715, 6136, 1722, 243, 18, 49393, 57512
721, 6201, 1846, 242, 19, 49204, 57512
727, 6251, 3459, 243, 22, 47537, 57512
733, 6473, 4760, 242, 17, 46020, 57512
739, 6486, 5746, 242, 17, 45021, 57512
745, 6489, 6631, 243, 17, 44132, 57512
751, 6470, 7073, 211, 19, 43739, 57512
757, 6549, 7134, 211, 19, 43599, 57512
763, 6639, 7001, 183, 17, 43672, 57512
769, 6728, 6950, 181, 16, 43637, 57512
775, 6727, 6861, 181, 17, 43726, 57512
781, 6687, 6765, 181, 20, 43859, 57512
787, 6544, 6501, 182, 21, 44264, 57512
