ts, default broker, COLDPower18, VidyutVanika, total
359, 57513, 0, 0, 57513
360, 57513, 0, 0, 57513
361, 50, 0, 57463, 57513
367, 48, 0, 57465, 57513
373, 47, 0, 57466, 57513
379, 46, 0, 57467, 57513
385, 47, 0, 57466, 57513
391, 46, 0, 57467, 57513
397, 45, 0, 57468, 57513
403, 44, 0, 57469, 57513
409, 68, 0, 57445, 57513
415, 79, 0, 57434, 57513
421, 88, 0, 57425, 57513
427, 89, 0, 57424, 57513
433, 95, 0, 57418, 57513
439, 55, 0, 57458, 57513
445, 53, 0, 57460, 57513
451, 48, 0, 57465, 57513
457, 47, 0, 57466, 57513
463, 47, 0, 57466, 57513
469, 48, 0, 57465, 57513
475, 47, 0, 57466, 57513
481, 47, 0, 57466, 57513
493, 48, 0, 57465, 57513
499, 48, 0, 57465, 57513
505, 47, 0, 57466, 57513
511, 49, 0, 57464, 57513
517, 49, 0, 57464, 57513
523, 48, 0, 57465, 57513
529, 47, 0, 57466, 57513
535, 46, 0, 57467, 57513
541, 46, 0, 57467, 57513
547, 46, 0, 57467, 57513
553, 43, 0, 57470, 57513
559, 45, 0, 57468, 57513
565, 44, 0, 57469, 57513
571, 45, 0, 57468, 57513
577, 44, 0, 57469, 57513
583, 45, 0, 57468, 57513
589, 44, 0, 57469, 57513
595, 44, 0, 57469, 57513
607, 46, 0, 57467, 57513
613, 46, 0, 57467, 57513
625, 46, 0, 57467, 57513
637, 46, 0, 57467, 57513
643, 45, 0, 57468, 57513
649, 46, 0, 57467, 57513
655, 47, 0, 57466, 57513
661, 47, 0, 57466, 57513
667, 47, 0, 57466, 57513
673, 49, 0, 57464, 57513
679, 46, 0, 57467, 57513
685, 46, 0, 57467, 57513
697, 45, 0, 57468, 57513
703, 45, 0, 57468, 57513
709, 47, 0, 57466, 57513
715, 47, 0, 57466, 57513
721, 46, 0, 57467, 57513
727, 45, 0, 57468, 57513
733, 44, 0, 57469, 57513
739, 45, 0, 57468, 57513
745, 46, 0, 57467, 57513
751, 46, 0, 57467, 57513
757, 45, 0, 57468, 57513
763, 46, 0, 57467, 57513
769, 45, 0, 57468, 57513
781, 46, 0, 57467, 57513
787, 45, 0, 57468, 57513
793, 46, 0, 57467, 57513
799, 45, 0, 57468, 57513
805, 46, 0, 57467, 57513
811, 46, 0, 57467, 57513
817, 43, 0, 57470, 57513
823, 43, 0, 57470, 57513
829, 43, 0, 57470, 57513
835, 44, 0, 57469, 57513
841, 47, 0, 57466, 57513
847, 46, 0, 57467, 57513
853, 44, 0, 57469, 57513
859, 45, 0, 57468, 57513
865, 45, 0, 57468, 57513
871, 43, 0, 57470, 57513
877, 41, 0, 57472, 57513
883, 40, 0, 57473, 57513
889, 42, 0, 57471, 57513
895, 43, 0, 57470, 57513
901, 43, 0, 57470, 57513
907, 42, 0, 57471, 57513
913, 42, 0, 57471, 57513
919, 51, 0, 57462, 57513
925, 46, 0, 57467, 57513
931, 44, 0, 57469, 57513
937, 43, 0, 57470, 57513
943, 40, 0, 57473, 57513
949, 46, 0, 57467, 57513
955, 43, 0, 57470, 57513
961, 45, 0, 57468, 57513
967, 43, 0, 57470, 57513
973, 43, 0, 57470, 57513
979, 42, 0, 57471, 57513
985, 41, 0, 57472, 57513
991, 40, 0, 57473, 57513
997, 39, 0, 57474, 57513
1003, 38, 0, 57475, 57513
1009, 38, 0, 57475, 57513
1015, 37, 0, 57476, 57513
1021, 37, 0, 57476, 57513
1027, 37, 0, 57476, 57513
1033, 39, 0, 57474, 57513
1039, 37, 0, 57476, 57513
1045, 37, 0, 57476, 57513
1051, 37, 0, 57476, 57513
1057, 39, 0, 57474, 57513
1063, 39, 0, 57474, 57513
1069, 38, 0, 57475, 57513
1075, 39, 0, 57474, 57513
1081, 38, 0, 57475, 57513
1087, 51, 0, 57462, 57513
1093, 45, 0, 57468, 57513
1099, 43, 0, 57470, 57513
1105, 44, 0, 57469, 57513
1111, 42, 0, 57471, 57513
1117, 50, 0, 57463, 57513
1123, 47, 0, 57466, 57513
1129, 43, 0, 57470, 57513
1135, 42, 0, 57471, 57513
1141, 43, 0, 57470, 57513
1147, 43, 0, 57470, 57513
1153, 44, 0, 57469, 57513
1159, 43, 0, 57470, 57513
1165, 38, 0, 57475, 57513
1171, 37, 0, 57476, 57513
1177, 34, 0, 57479, 57513
1183, 34, 0, 57479, 57513
1189, 35, 0, 57478, 57513
1195, 36, 0, 57477, 57513
1201, 47, 0, 57466, 57513
1207, 45, 0, 57468, 57513
1213, 46, 0, 57467, 57513
1219, 45, 0, 57468, 57513
1225, 44, 0, 57469, 57513
1231, 43, 0, 57470, 57513
1237, 43, 0, 57470, 57513
1243, 44, 0, 57469, 57513
1249, 45, 0, 57468, 57513
1255, 44, 0, 57469, 57513
1261, 45, 0, 57468, 57513
1267, 46, 0, 57467, 57513
1273, 46, 0, 57467, 57513
1279, 46, 0, 57467, 57513
1285, 47, 0, 57466, 57513
1291, 45, 0, 57468, 57513
1297, 45, 0, 57468, 57513
1303, 44, 0, 57469, 57513
1309, 46, 0, 57467, 57513
1315, 46, 0, 57467, 57513
1321, 49, 0, 57464, 57513
1327, 49, 0, 57464, 57513
1333, 49, 0, 57464, 57513
1339, 47, 0, 57466, 57513
1345, 47, 0, 57466, 57513
1351, 47, 0, 57466, 57513
