ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
359, 57517, 0, 0, 0, 0, 57517
360, 57517, 0, 0, 0, 0, 57517
361, 7, 15, 0, 8381, 49114, 57517
367, 4, 3, 0, 8381, 49129, 57517
373, 7, 4, 0, 11308, 46198, 57517
379, 8, 4, 0, 13392, 44113, 57517
385, 8, 3, 0, 16975, 40531, 57517
391, 8, 3, 0, 18871, 38635, 57517
397, 9, 3, 0, 22790, 34715, 57517
403, 8, 3, 0, 25926, 31580, 57517
409, 8, 4, 0, 27174, 30331, 57517
415, 7, 4, 0, 27700, 29806, 57517
421, 6, 5, 0, 28000, 29506, 57517
427, 4, 4, 0, 27994, 29515, 57517
433, 7, 3, 0, 27658, 29849, 57517
439, 7, 5, 0, 27441, 30064, 57517
445, 4, 6, 0, 26798, 30709, 57517
451, 6, 5, 0, 25167, 32339, 57517
457, 6, 5, 0, 23806, 33700, 57517
463, 5, 5, 0, 22326, 35181, 57517
469, 5, 6, 0, 20069, 37437, 57517
475, 6, 6, 0, 16197, 41308, 57517
481, 4, 6, 0, 14370, 43137, 57517
487, 5, 5, 0, 12557, 44950, 57517
493, 5, 5, 0, 11370, 46137, 57517
499, 4, 5, 0, 10750, 46758, 57517
505, 5, 5, 0, 10321, 47186, 57517
511, 7, 4, 0, 9404, 48102, 57517
517, 6, 5, 0, 8793, 48713, 57517
523, 5, 4, 0, 8725, 48783, 57517
529, 4, 5, 0, 8517, 48991, 57517
535, 4, 5, 0, 8709, 48799, 57517
541, 4, 4, 0, 9687, 47822, 57517
547, 5, 4, 0, 11647, 45861, 57517
553, 5, 6, 0, 14052, 43454, 57517
559, 4, 6, 0, 17015, 40492, 57517
565, 4, 7, 0, 21274, 36232, 57517
571, 5, 7, 0, 22032, 35473, 57517
577, 5, 5, 0, 23619, 33888, 57517
583, 6, 5, 0, 24063, 33443, 57517
589, 6, 5, 0, 24273, 33233, 57517
595, 3, 7, 0, 24031, 33476, 57517
601, 5, 6, 0, 23797, 33709, 57517
607, 4, 7, 0, 23561, 33945, 57517
613, 5, 5, 0, 22971, 34536, 57517
619, 5, 5, 0, 22388, 35119, 57517
625, 5, 5, 0, 21935, 35572, 57517
631, 5, 5, 0, 19867, 37640, 57517
637, 5, 5, 0, 17579, 39928, 57517
643, 3, 5, 0, 16613, 40896, 57517
649, 3, 6, 0, 13694, 43814, 57517
655, 3, 3, 0, 12408, 45103, 57517
661, 3, 3, 0, 11696, 45815, 57517
667, 2, 5, 0, 10633, 46877, 57517
673, 4, 6, 0, 9970, 47537, 57517
679, 4, 6, 0, 8865, 48642, 57517
685, 7, 4, 0, 8696, 48810, 57517
691, 7, 4, 0, 8312, 49194, 57517
697, 7, 5, 0, 8071, 49434, 57517
703, 7, 5, 0, 8000, 49505, 57517
709, 8, 4, 0, 8940, 48565, 57517
715, 7, 4, 0, 10628, 46878, 57517
721, 6, 3, 0, 13003, 44505, 57517
727, 6, 2, 0, 15141, 42368, 57517
733, 6, 2, 0, 15551, 41958, 57517
739, 5, 2, 0, 18833, 38677, 57517
745, 6, 1, 0, 20036, 37474, 57517
751, 5, 2, 0, 20439, 37071, 57517
757, 6, 3, 0, 20628, 36880, 57517
