ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, total
359, 57522, 0, 0, 0, 0, 57522
360, 57522, 0, 0, 0, 0, 57522
361, 7114, 0, 0, 0, 50408, 57522
367, 6891, 529, 3, 0, 50099, 57522
373, 6855, 487, 377, 0, 49803, 57522
379, 6774, 709, 974, 0, 49065, 57522
385, 6823, 659, 1404, 0, 48636, 57522
391, 6789, 689, 1407, 0, 48637, 57522
397, 6794, 967, 1407, 0, 48354, 57522
403, 6795, 967, 1546, 0, 48214, 57522
409, 6726, 1175, 1785, 0, 47836, 57522
415, 6611, 1292, 1862, 0, 47757, 57522
421, 6695, 1483, 1565, 0, 47779, 57522
427, 6710, 1604, 1827, 0, 47381, 57522
433, 6780, 1532, 1753, 0, 47457, 57522
439, 6758, 1525, 1534, 0, 47705, 57522
445, 6726, 1829, 1294, 0, 47673, 57522
451, 6711, 2222, 1825, 0, 46764, 57522
457, 6746, 5475, 1576, 0, 43725, 57522
463, 6828, 7412, 1429, 0, 41853, 57522
469, 6837, 13434, 1371, 0, 35880, 57522
475, 6790, 17032, 1248, 0, 32452, 57522
481, 6861, 26150, 910, 0, 23601, 57522
487, 6871, 28018, 877, 0, 21756, 57522
493, 6886, 30542, 518, 0, 19576, 57522
499, 6946, 32228, 344, 0, 18004, 57522
505, 6942, 35848, 295, 0, 14437, 57522
511, 6911, 37768, 233, 0, 12610, 57522
517, 6928, 38005, 241, 0, 12348, 57522
523, 6950, 38386, 0, 0, 12186, 57522
529, 6860, 38470, 0, 0, 12192, 57522
535, 6904, 38386, 0, 0, 12232, 57522
541, 6872, 38416, 0, 0, 12234, 57522
547, 6867, 38238, 0, 0, 12417, 57522
553, 6937, 38118, 0, 0, 12467, 57522
559, 6919, 37889, 0, 0, 12714, 57522
565, 6816, 37750, 0, 0, 12956, 57522
571, 6808, 37491, 0, 0, 13223, 57522
577, 6902, 37420, 0, 0, 13200, 57522
583, 6930, 37331, 0, 0, 13261, 57522
589, 6682, 37449, 0, 0, 13391, 57522
595, 6676, 36697, 0, 0, 14149, 57522
601, 6736, 36709, 0, 0, 14077, 57522
607, 6812, 36958, 0, 0, 13752, 57522
613, 6900, 37135, 0, 0, 13487, 57522
619, 6937, 37805, 0, 0, 12780, 57522
625, 6912, 37976, 0, 0, 12634, 57522
631, 6885, 38205, 0, 0, 12432, 57522
637, 6924, 38370, 0, 0, 12228, 57522
643, 6934, 38582, 0, 0, 12006, 57522
649, 6907, 38893, 0, 0, 11722, 57522
655, 6854, 39386, 0, 0, 11282, 57522
661, 6909, 39579, 0, 0, 11034, 57522
667, 6939, 39922, 0, 0, 10661, 57522
673, 6798, 41981, 0, 0, 8743, 57522
679, 6798, 42023, 0, 0, 8701, 57522
685, 6802, 42284, 0, 0, 8436, 57522
691, 6839, 42263, 0, 0, 8420, 57522
697, 6873, 42213, 0, 0, 8436, 57522
703, 6924, 42195, 0, 0, 8403, 57522
709, 6927, 42191, 0, 0, 8404, 57522
715, 6914, 41681, 0, 0, 8927, 57522
721, 6900, 41358, 0, 0, 9264, 57522
727, 6882, 40503, 0, 0, 10137, 57522
733, 6825, 40484, 0, 0, 10213, 57522
739, 6813, 40154, 0, 0, 10555, 57522
745, 6804, 40492, 0, 0, 10226, 57522
751, 6764, 39738, 0, 0, 11020, 57522
757, 6854, 39482, 0, 0, 11186, 57522
763, 6866, 38979, 0, 0, 11677, 57522
769, 6905, 39328, 0, 0, 11289, 57522
775, 6894, 39623, 0, 0, 11005, 57522
781, 6858, 40408, 0, 0, 10256, 57522
787, 6853, 40698, 0, 0, 9971, 57522
793, 6883, 41115, 0, 0, 9524, 57522
799, 6802, 41533, 0, 0, 9187, 57522
805, 6741, 41799, 0, 0, 8982, 57522
811, 6787, 42021, 0, 0, 8714, 57522
817, 6750, 43594, 0, 0, 7178, 57522
823, 6786, 44116, 0, 0, 6620, 57522
829, 6788, 44836, 0, 0, 5898, 57522
835, 6854, 46010, 0, 0, 4658, 57522
841, 6701, 46746, 0, 0, 4075, 57522
847, 6754, 47401, 0, 0, 3367, 57522
853, 6723, 47588, 0, 0, 3211, 57522
859, 6802, 47544, 0, 0, 3176, 57522
865, 6811, 47585, 0, 0, 3126, 57522
871, 6848, 47250, 0, 0, 3424, 57522
877, 6602, 47457, 0, 0, 3463, 57522
883, 6520, 46085, 0, 0, 4917, 57522
889, 6656, 44887, 0, 0, 5979, 57522
895, 6646, 44492, 0, 0, 6384, 57522
901, 6561, 44066, 0, 0, 6895, 57522
907, 6715, 40322, 0, 0, 10485, 57522
913, 6722, 40208, 0, 0, 10592, 57522
919, 6771, 37038, 0, 0, 13713, 57522
925, 6834, 35976, 0, 0, 14712, 57522
931, 6855, 34659, 0, 0, 16008, 57522
937, 6892, 35850, 0, 0, 14780, 57522
943, 6961, 36999, 0, 0, 13562, 57522
949, 6833, 39214, 0, 0, 11475, 57522
955, 6821, 40846, 0, 0, 9855, 57522
961, 6824, 42501, 0, 0, 8197, 57522
967, 6815, 44117, 0, 0, 6590, 57522
973, 6835, 44256, 0, 0, 6431, 57522
979, 6839, 44971, 0, 0, 5712, 57522
985, 6945, 45823, 0, 0, 4754, 57522
991, 6873, 46291, 0, 0, 4358, 57522
997, 6673, 46940, 0, 0, 3909, 57522
1003, 6705, 47112, 0, 0, 3705, 57522
1009, 6683, 47195, 0, 0, 3644, 57522
1015, 6777, 47389, 0, 0, 3356, 57522
1021, 6910, 47325, 0, 0, 3287, 57522
1027, 6911, 47445, 0, 0, 3166, 57522
1033, 6896, 47435, 0, 0, 3191, 57522
1039, 6879, 47150, 0, 0, 3493, 57522
1045, 6769, 47243, 0, 0, 3510, 57522
1051, 6791, 45488, 0, 0, 5243, 57522
1057, 6799, 44827, 0, 0, 5896, 57522
1063, 6792, 44237, 0, 0, 6493, 57522
1069, 6838, 44394, 0, 0, 6290, 57522
1075, 6833, 43367, 0, 0, 7322, 57522
1081, 6868, 43299, 0, 0, 7355, 57522
1087, 6880, 42351, 0, 0, 8291, 57522
1093, 6925, 42730, 0, 0, 7867, 57522
1099, 6967, 39858, 0, 0, 10697, 57522
1105, 6901, 40531, 0, 0, 10090, 57522
1111, 6958, 41272, 0, 0, 9292, 57522
1117, 6918, 43444, 0, 0, 7160, 57522
1123, 6851, 44779, 0, 0, 5892, 57522
1129, 6873, 45435, 0, 0, 5214, 57522
1135, 6822, 46584, 0, 0, 4116, 57522
1141, 6858, 47069, 0, 0, 3595, 57522
1147, 6861, 47326, 0, 0, 3335, 57522
1153, 6806, 47656, 0, 0, 3060, 57522
1159, 6751, 48086, 0, 0, 2685, 57522
1165, 6779, 48509, 0, 0, 2234, 57522
1171, 6880, 48692, 0, 0, 1950, 57522
1177, 6781, 49051, 0, 0, 1690, 57522
1183, 6871, 48961, 0, 0, 1690, 57522
1189, 6910, 48940, 0, 0, 1672, 57522
1195, 6979, 48860, 0, 0, 1683, 57522
1201, 6967, 48864, 0, 0, 1691, 57522
