ts, default broker, COLDPower18, Bunnie, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 6859, 0, 50653, 57512
367, 6906, 0, 50606, 57512
373, 6772, 0, 50740, 57512
379, 6827, 0, 50685, 57512
385, 6841, 0, 50671, 57512
391, 6868, 0, 50644, 57512
397, 6847, 0, 50665, 57512
403, 6801, 0, 50711, 57512
409, 6801, 0, 50711, 57512
415, 6837, 0, 50675, 57512
421, 6937, 0, 50575, 57512
427, 6963, 0, 50549, 57512
433, 6947, 0, 50565, 57512
439, 6942, 0, 50570, 57512
445, 6892, 0, 50620, 57512
451, 6881, 0, 50631, 57512
457, 6884, 0, 50628, 57512
463, 6894, 0, 50618, 57512
469, 6863, 0, 50649, 57512
475, 6834, 0, 50678, 57512
481, 6939, 0, 50573, 57512
487, 6904, 0, 50608, 57512
493, 6933, 0, 50579, 57512
499, 6949, 0, 50563, 57512
505, 6943, 0, 50569, 57512
511, 6778, 0, 50734, 57512
517, 6814, 0, 50698, 57512
523, 6761, 0, 50751, 57512
529, 6813, 0, 50699, 57512
535, 6834, 0, 50678, 57512
541, 6734, 0, 50778, 57512
547, 6706, 0, 50806, 57512
553, 6781, 0, 50731, 57512
559, 6847, 0, 50665, 57512
565, 6945, 0, 50567, 57512
571, 6944, 0, 50568, 57512
577, 6937, 0, 50575, 57512
583, 6890, 0, 50622, 57512
589, 6856, 0, 50656, 57512
595, 6830, 0, 50682, 57512
601, 6794, 0, 50718, 57512
607, 6741, 0, 50771, 57512
613, 6365, 0, 51147, 57512
619, 6460, 0, 51052, 57512
625, 6566, 0, 50946, 57512
631, 6701, 0, 50811, 57512
637, 6779, 0, 50733, 57512
643, 6858, 0, 50654, 57512
649, 6855, 0, 50657, 57512
655, 6913, 0, 50599, 57512
661, 6767, 0, 50745, 57512
667, 6644, 0, 50868, 57512
673, 6711, 0, 50801, 57512
679, 6697, 0, 50815, 57512
685, 6683, 0, 50829, 57512
691, 6784, 0, 50728, 57512
697, 6777, 0, 50735, 57512
703, 6811, 0, 50701, 57512
709, 6824, 0, 50688, 57512
715, 6697, 0, 50815, 57512
721, 6711, 0, 50801, 57512
727, 6713, 0, 50799, 57512
733, 6843, 0, 50669, 57512
739, 6909, 0, 50603, 57512
745, 6925, 0, 50587, 57512
751, 6922, 0, 50590, 57512
757, 6980, 0, 50532, 57512
763, 6968, 0, 50544, 57512
769, 6984, 0, 50528, 57512
775, 6959, 0, 50553, 57512
781, 6967, 0, 50545, 57512
787, 7006, 0, 50506, 57512
793, 7018, 0, 50494, 57512
799, 6954, 0, 50558, 57512
805, 6981, 0, 50531, 57512
811, 7017, 0, 50495, 57512
817, 7016, 0, 50496, 57512
823, 7018, 0, 50494, 57512
829, 6859, 0, 50653, 57512
835, 6830, 0, 50682, 57512
841, 6848, 0, 50664, 57512
847, 6878, 0, 50634, 57512
853, 6472, 0, 51040, 57512
859, 6573, 0, 50939, 57512
865, 6673, 0, 50839, 57512
871, 6713, 0, 50799, 57512
877, 6788, 0, 50724, 57512
883, 6877, 0, 50635, 57512
889, 6901, 0, 50611, 57512
895, 6966, 0, 50546, 57512
901, 6917, 0, 50595, 57512
907, 6907, 0, 50605, 57512
913, 6922, 0, 50590, 57512
919, 6921, 0, 50591, 57512
925, 6723, 0, 50789, 57512
931, 6700, 0, 50812, 57512
937, 6691, 0, 50821, 57512
943, 6649, 0, 50863, 57512
949, 6583, 0, 50929, 57512
955, 6561, 0, 50951, 57512
961, 6701, 0, 50811, 57512
967, 6850, 0, 50662, 57512
973, 6956, 0, 50556, 57512
979, 6943, 0, 50569, 57512
985, 6972, 0, 50540, 57512
991, 7008, 0, 50504, 57512
997, 7002, 0, 50510, 57512
1003, 6978, 0, 50534, 57512
1009, 6958, 0, 50554, 57512
1015, 6964, 0, 50548, 57512
1021, 6925, 0, 50587, 57512
1027, 6914, 0, 50598, 57512
