ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 13, 1664, 1525, 11788, 42520, 57510
367, 14, 1664, 792, 11830, 43210, 57510
373, 13, 1664, 583, 11858, 43392, 57510
379, 13, 1665, 485, 11858, 43489, 57510
385, 14, 93, 416, 12007, 44980, 57510
391, 13, 94, 306, 11995, 45102, 57510
397, 13, 94, 306, 11996, 45101, 57510
403, 5, 2814, 20534, 33651, 506, 57510
409, 7, 666, 19759, 36575, 503, 57510
415, 6, 867, 17473, 38658, 506, 57510
421, 4, 928, 16571, 39530, 477, 57510
427, 4, 982, 15637, 40410, 477, 57510
433, 4, 1062, 12517, 43451, 476, 57510
439, 5, 1092, 10634, 45363, 416, 57510
445, 12, 1090, 8970, 47436, 2, 57510
451, 12, 982, 6775, 49739, 2, 57510
457, 11, 901, 5967, 50628, 3, 57510
463, 11, 701, 4760, 52035, 3, 57510
469, 11, 601, 3155, 53740, 3, 57510
475, 11, 481, 2495, 54520, 3, 57510
481, 12, 33, 1808, 55650, 7, 57510
487, 12, 33, 1370, 56092, 3, 57510
493, 12, 151, 1200, 56144, 3, 57510
499, 12, 317, 1078, 56097, 6, 57510
505, 12, 586, 936, 55971, 5, 57510
511, 13, 2039, 933, 54520, 5, 57510
517, 12, 2815, 869, 53809, 5, 57510
523, 12, 3200, 639, 53655, 4, 57510
529, 13, 3455, 540, 53499, 3, 57510
535, 12, 3682, 459, 53353, 4, 57510
541, 12, 3621, 428, 53444, 5, 57510
547, 11, 3899, 405, 53190, 5, 57510
553, 11, 891, 382, 56220, 6, 57510
559, 11, 891, 382, 56219, 7, 57510
565, 11, 1024, 327, 56140, 8, 57510
571, 11, 1025, 316, 56151, 7, 57510
577, 10, 1034, 307, 56151, 8, 57510
583, 10, 1166, 266, 56061, 7, 57510
589, 9, 1166, 244, 55951, 140, 57510
595, 9, 475, 241, 56746, 39, 57510
601, 9, 445, 242, 56806, 8, 57510
607, 9, 384, 242, 56867, 8, 57510
613, 12, 268, 241, 56984, 5, 57510
619, 11, 239, 239, 57016, 5, 57510
625, 12, 238, 236, 57020, 4, 57510
631, 12, 107, 231, 57155, 5, 57510
637, 12, 107, 228, 57157, 6, 57510
643, 12, 77, 226, 57189, 6, 57510
649, 26, 77, 227, 57174, 6, 57510
655, 26, 59, 229, 57169, 27, 57510
661, 21, 71, 229, 57158, 31, 57510
667, 23, 222, 228, 56856, 181, 57510
673, 31, 808, 228, 56118, 325, 57510
679, 24, 1413, 229, 55604, 240, 57510
685, 16, 2467, 231, 54267, 529, 57510
691, 17, 3018, 234, 53861, 380, 57510
697, 23, 600, 235, 56473, 179, 57510
703, 24, 591, 233, 56562, 100, 57510
709, 28, 733, 232, 56300, 217, 57510
715, 21, 735, 229, 56223, 302, 57510
721, 24, 879, 225, 56179, 203, 57510
727, 19, 1050, 225, 56058, 158, 57510
733, 8, 1051, 226, 56000, 225, 57510
739, 13, 1097, 228, 56160, 12, 57510
745, 12, 1177, 229, 55945, 147, 57510
751, 13, 1044, 229, 56124, 100, 57510
757, 11, 1026, 228, 56069, 176, 57510
763, 11, 908, 227, 56233, 131, 57510
769, 12, 308, 229, 56688, 273, 57510
775, 10, 448, 230, 56661, 161, 57510
781, 8, 444, 219, 56829, 10, 57510
787, 8, 439, 217, 56837, 9, 57510
793, 8, 440, 217, 56836, 9, 57510
799, 7, 439, 215, 56837, 12, 57510
805, 7, 438, 211, 56842, 12, 57510
811, 7, 396, 206, 56889, 12, 57510
817, 7, 336, 203, 56952, 12, 57510
823, 11, 360, 202, 56930, 7, 57510
829, 11, 298, 202, 56993, 6, 57510
835, 13, 558, 202, 56732, 5, 57510
841, 12, 794, 193, 56505, 6, 57510
847, 11, 1065, 193, 56235, 6, 57510
853, 11, 1632, 182, 55534, 151, 57510
859, 11, 1980, 185, 55273, 61, 57510
865, 10, 1845, 174, 55475, 6, 57510
871, 7, 1782, 146, 55568, 7, 57510
877, 5, 1570, 145, 55783, 7, 57510
883, 4, 1475, 142, 55884, 5, 57510
889, 4, 1317, 137, 56047, 5, 57510
895, 3, 966, 126, 56411, 4, 57510
901, 4, 766, 115, 56621, 4, 57510
907, 2, 615, 116, 56773, 4, 57510
913, 2243, 593, 116, 54524, 34, 57510
919, 2491, 971, 120, 52895, 1033, 57510
925, 3532, 779, 119, 52413, 667, 57510
931, 3566, 670, 117, 52805, 352, 57510
937, 3412, 546, 117, 53305, 130, 57510
943, 3853, 547, 108, 52984, 18, 57510
949, 3790, 464, 105, 53148, 3, 57510
955, 3739, 464, 103, 53201, 3, 57510
961, 3673, 94, 92, 53648, 3, 57510
967, 3674, 93, 93, 53647, 3, 57510
973, 3471, 93, 87, 53856, 3, 57510
979, 3467, 93, 81, 53866, 3, 57510
985, 3466, 92, 81, 53868, 3, 57510
991, 3479, 61, 74, 53892, 4, 57510
997, 3382, 50, 73, 53986, 19, 57510
1003, 3502, 33, 76, 53866, 33, 57510
1009, 3467, 31, 75, 53895, 42, 57510
1015, 3384, 1506, 163, 51909, 548, 57510
1021, 3277, 1883, 132, 51432, 786, 57510
1027, 3367, 1881, 76, 51558, 628, 57510
1033, 3477, 92, 79, 53856, 6, 57510
1039, 3576, 92, 78, 53759, 5, 57510
1045, 3612, 92, 74, 53669, 63, 57510
1051, 3382, 93, 75, 53927, 33, 57510
1057, 3378, 95, 75, 53897, 65, 57510
1063, 3571, 92, 76, 53736, 35, 57510
1069, 3620, 92, 76, 53687, 35, 57510
1075, 3601, 92, 75, 53736, 6, 57510
1081, 4099, 244, 79, 53009, 79, 57510
1087, 3808, 370, 81, 53159, 92, 57510
1093, 3587, 372, 80, 53381, 90, 57510
1099, 3553, 525, 80, 53297, 55, 57510
1105, 3533, 586, 80, 53255, 56, 57510
1111, 3623, 590, 78, 53164, 55, 57510
1117, 3641, 585, 76, 53188, 20, 57510
1123, 3357, 551, 76, 53504, 22, 57510
1129, 3433, 314, 74, 53651, 38, 57510
