ts, default broker, CrocodileAgent, SPOT, AgentUDE, Bunnie, total
359, 57509, 0, 0, 0, 0, 57509
360, 57509, 0, 0, 0, 0, 57509
361, 6960, 0, 0, 24298, 26251, 57509
367, 6725, 70, 82, 24297, 26335, 57509
373, 6679, 195, 90, 28561, 21984, 57509
379, 6648, 207, 92, 30840, 19722, 57509
385, 6622, 265, 92, 33239, 17291, 57509
391, 6578, 311, 93, 34584, 15943, 57509
397, 6580, 329, 94, 35537, 14969, 57509
403, 6621, 315, 94, 10797, 39682, 57509
409, 6631, 287, 94, 11014, 39483, 57509
415, 6545, 262, 94, 13602, 37006, 57509
421, 6605, 258, 94, 14959, 35593, 57509
427, 6556, 255, 94, 16206, 34398, 57509
433, 6611, 190, 94, 17038, 33576, 57509
439, 6613, 224, 94, 17938, 32640, 57509
445, 6656, 224, 94, 1718, 48817, 57509
451, 6630, 237, 94, 1800, 48748, 57509
457, 6588, 221, 94, 2349, 48257, 57509
463, 6631, 246, 94, 2489, 48049, 57509
469, 6569, 412, 94, 2824, 47610, 57509
475, 6592, 801, 95, 2941, 47080, 57509
481, 6547, 2931, 93, 3121, 44817, 57509
487, 6605, 3737, 92, 3203, 43872, 57509
493, 6566, 5358, 92, 5539, 39954, 57509
499, 6622, 5830, 92, 6713, 38252, 57509
505, 6556, 7407, 91, 8511, 34944, 57509
511, 6539, 7426, 91, 9210, 34243, 57509
517, 6618, 7383, 92, 12214, 31202, 57509
523, 6670, 7349, 92, 12531, 30867, 57509
529, 6558, 7474, 93, 3968, 39416, 57509
535, 6597, 7467, 93, 4464, 38888, 57509
541, 6659, 7364, 93, 5139, 38254, 57509
547, 6787, 7210, 93, 5708, 37711, 57509
553, 6667, 6440, 93, 6749, 37560, 57509
559, 6622, 5433, 92, 7088, 38274, 57509
565, 6459, 4387, 92, 8332, 38239, 57509
571, 6585, 3775, 91, 1773, 45285, 57509
577, 6530, 2479, 92, 2119, 46289, 57509
583, 6505, 2210, 91, 2169, 46534, 57509
589, 6566, 1697, 91, 1950, 47205, 57509
595, 6498, 1029, 91, 2594, 47297, 57509
601, 6527, 825, 92, 3359, 46706, 57509
607, 6640, 674, 91, 3715, 46389, 57509
613, 6669, 590, 92, 533, 49625, 57509
619, 6631, 444, 92, 931, 49411, 57509
625, 6694, 269, 90, 1229, 49227, 57509
631, 6677, 280, 91, 1486, 48975, 57509
637, 6678, 243, 91, 1655, 48842, 57509
643, 6622, 399, 91, 2285, 48112, 57509
649, 6667, 1031, 91, 2399, 47321, 57509
655, 6737, 2092, 91, 1311, 47278, 57509
661, 6578, 4569, 90, 3183, 43089, 57509
667, 6701, 4888, 90, 4686, 41144, 57509
673, 6677, 5469, 90, 5782, 39491, 57509
679, 6722, 5443, 90, 6549, 38705, 57509
685, 6670, 5378, 90, 8644, 36727, 57509
691, 6595, 5419, 91, 9834, 35570, 57509
697, 6641, 5398, 92, 3768, 41610, 57509
703, 6628, 5434, 93, 4439, 40915, 57509
709, 6501, 5464, 92, 5929, 39523, 57509
715, 6521, 5409, 91, 7131, 38357, 57509
721, 6546, 5072, 92, 8213, 37586, 57509
727, 6562, 4885, 93, 8687, 37282, 57509
733, 6529, 3088, 94, 11273, 36525, 57509
739, 6614, 2455, 93, 773, 47574, 57509
745, 6664, 1899, 92, 890, 47964, 57509
751, 6589, 1326, 92, 1039, 48463, 57509
757, 6717, 948, 92, 1328, 48424, 57509
763, 6620, 911, 92, 1615, 48271, 57509
769, 6613, 819, 91, 2000, 47986, 57509
775, 6671, 675, 92, 2433, 47638, 57509
781, 6711, 601, 91, 926, 49180, 57509
787, 6720, 559, 90, 1245, 48895, 57509
793, 6653, 486, 91, 1567, 48712, 57509
799, 6765, 389, 91, 1722, 48542, 57509
805, 6771, 393, 91, 2031, 48223, 57509
811, 6754, 479, 91, 2307, 47878, 57509
817, 6736, 1604, 92, 2415, 46662, 57509
823, 6701, 2739, 92, 281, 47696, 57509
829, 6670, 3733, 92, 542, 46472, 57509
835, 6572, 4597, 92, 928, 45320, 57509
841, 6642, 5746, 92, 1407, 43622, 57509
847, 6728, 5740, 92, 1164, 43785, 57509
853, 6665, 6017, 92, 1493, 43242, 57509
859, 6655, 6024, 92, 1694, 43044, 57509
865, 6671, 5933, 92, 459, 44354, 57509
871, 6676, 5942, 93, 519, 44279, 57509
877, 6592, 5940, 94, 789, 44094, 57509
883, 6473, 6047, 94, 780, 44115, 57509
889, 6390, 5845, 94, 856, 44324, 57509
895, 6468, 5183, 95, 906, 44857, 57509
901, 6562, 4394, 95, 979, 45479, 57509
907, 6611, 3466, 95, 43, 47294, 57509
913, 6739, 2490, 92, 174, 48014, 57509
919, 6636, 2118, 94, 313, 48348, 57509
925, 6508, 1563, 94, 647, 48697, 57509
931, 6503, 1374, 94, 933, 48605, 57509
937, 6451, 969, 93, 1231, 48765, 57509
943, 6475, 692, 92, 1252, 48998, 57509
949, 6533, 501, 92, 1626, 48757, 57509
955, 6552, 424, 92, 1991, 48450, 57509
961, 6508, 449, 92, 2297, 48163, 57509
967, 6575, 518, 91, 2284, 48041, 57509
973, 6576, 585, 91, 2375, 47882, 57509
979, 6667, 953, 91, 2309, 47489, 57509
985, 6725, 2343, 90, 2938, 45413, 57509
991, 6762, 3888, 90, 551, 46218, 57509
997, 6600, 5666, 90, 840, 44313, 57509
1003, 6576, 6668, 90, 1147, 43028, 57509
1009, 6540, 7857, 90, 1724, 41298, 57509
1015, 6614, 7867, 90, 1702, 41236, 57509
1021, 6514, 8027, 90, 1919, 40959, 57509
1027, 6554, 7973, 90, 1818, 41074, 57509
1033, 6712, 7906, 90, 469, 42332, 57509
1039, 6808, 7754, 90, 560, 42297, 57509
1045, 6857, 7692, 90, 828, 42042, 57509
1051, 6801, 7455, 92, 1026, 42135, 57509
1057, 6605, 6892, 91, 1769, 42152, 57509
1063, 6483, 6421, 91, 1657, 42857, 57509
1069, 6437, 5592, 91, 1993, 43396, 57509
1075, 6583, 4731, 92, 1905, 44198, 57509
1081, 6485, 3084, 92, 3352, 44496, 57509
1087, 6572, 2561, 92, 3911, 44373, 57509
1093, 6611, 1842, 90, 5994, 42972, 57509
1099, 6629, 1278, 90, 6152, 43360, 57509
1105, 6563, 806, 90, 7138, 42912, 57509
1111, 6504, 627, 90, 8254, 42034, 57509
1117, 6581, 490, 90, 868, 49480, 57509
1123, 6554, 435, 90, 744, 49686, 57509
1129, 6560, 369, 90, 1188, 49302, 57509
1135, 6520, 364, 90, 1060, 49475, 57509
1141, 6490, 779, 91, 1312, 48837, 57509
1147, 6518, 1831, 91, 1445, 47624, 57509
1153, 6441, 3094, 91, 1765, 46118, 57509
1159, 6470, 3721, 91, 386, 46841, 57509
1165, 6640, 4880, 91, 778, 45120, 57509
1171, 6692, 5343, 91, 1421, 43962, 57509
1177, 6679, 6171, 91, 1736, 42832, 57509
1183, 6686, 6381, 90, 2330, 42022, 57509
1189, 6587, 6347, 90, 2761, 41724, 57509
1195, 6568, 6340, 90, 3669, 40842, 57509
1201, 6503, 6384, 90, 772, 43760, 57509
1207, 6591, 6353, 90, 1112, 43363, 57509
1213, 6690, 6332, 90, 1103, 43294, 57509
1219, 6708, 5790, 90, 1280, 43641, 57509
1225, 6615, 5064, 90, 1456, 44284, 57509
1231, 6597, 4281, 90, 1554, 44987, 57509
1237, 6481, 3596, 90, 1677, 45665, 57509
1243, 6468, 2920, 91, 701, 47329, 57509
1249, 6442, 2011, 91, 1299, 47666, 57509
1255, 6447, 1781, 91, 1539, 47651, 57509
1261, 6554, 1387, 91, 2449, 47028, 57509
1267, 6652, 992, 91, 2740, 47034, 57509
1273, 6655, 692, 90, 2912, 47160, 57509
1279, 6631, 551, 90, 2714, 47523, 57509
1285, 6679, 438, 90, 1584, 48718, 57509
1291, 6647, 384, 90, 1970, 48418, 57509
1297, 6608, 376, 90, 2507, 47928, 57509
1303, 6581, 488, 90, 2180, 48170, 57509
1309, 6636, 434, 90, 3045, 47304, 57509
1315, 6655, 710, 90, 3800, 46254, 57509
1321, 6703, 1086, 91, 3834, 45795, 57509
1327, 6617, 3158, 91, 766, 46877, 57509
1333, 6554, 4852, 91, 959, 45053, 57509
1339, 6493, 5332, 91, 1341, 44252, 57509
1345, 6465, 6149, 91, 1472, 43332, 57509
1351, 6396, 6671, 91, 1831, 42520, 57509
1357, 6239, 6746, 91, 1949, 42484, 57509
1363, 6249, 6665, 91, 2375, 42129, 57509
1369, 6392, 6589, 91, 2739, 41698, 57509
1375, 6315, 6623, 90, 4771, 39710, 57509
1381, 6519, 6529, 90, 9201, 35170, 57509
1387, 6598, 6364, 90, 10729, 33728, 57509
1393, 6607, 6264, 90, 12009, 32539, 57509
