ts, default broker, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 4, 40, 7395, 38609, 11471, 57519
367, 6, 17, 7394, 38624, 11478, 57519
373, 4, 20, 7433, 41612, 8450, 57519
379, 2, 19, 7432, 43169, 6897, 57519
385, 2, 20, 7433, 44438, 5626, 57519
391, 2, 17, 7433, 45402, 4665, 57519
397, 0, 16, 7433, 46033, 4037, 57519
403, 0, 288, 7978, 2372, 46881, 57519
409, 0, 287, 7977, 2393, 46862, 57519
415, 0, 304, 8113, 2637, 46465, 57519
421, 0, 274, 9882, 2735, 44628, 57519
427, 0, 331, 12763, 2736, 41689, 57519
433, 0, 291, 16377, 2944, 37907, 57519
439, 1, 253, 18239, 2964, 36062, 57519
445, 1, 239, 23063, 434, 33782, 57519
451, 1, 315, 25578, 455, 31170, 57519
457, 1, 294, 26361, 541, 30322, 57519
463, 2, 193, 26855, 748, 29721, 57519
469, 2, 132, 27309, 1413, 28663, 57519
475, 2, 128, 26976, 2215, 28198, 57519
481, 2, 87, 26861, 2965, 27604, 57519
487, 1, 88, 26552, 923, 29955, 57519
493, 0, 86, 25800, 1387, 30246, 57519
499, 0, 57, 24627, 1627, 31208, 57519
505, 0, 54, 22835, 2453, 32177, 57519
511, 0, 51, 21066, 2974, 33428, 57519
517, 0, 49, 18518, 3210, 35742, 57519
523, 0, 49, 16367, 3652, 37451, 57519
529, 1, 48, 9124, 1007, 47339, 57519
535, 0, 37, 7905, 1042, 48535, 57519
541, 1, 32, 7121, 1455, 48910, 57519
547, 2, 33, 7900, 1782, 47802, 57519
553, 1, 34, 7968, 2130, 47386, 57519
559, 0, 31, 8685, 2560, 46243, 57519
565, 2, 31, 8815, 2844, 45827, 57519
571, 3, 34, 8975, 560, 47947, 57519
577, 2, 34, 9592, 844, 47047, 57519
583, 2, 33, 10785, 1193, 45506, 57519
589, 2, 30, 16959, 1440, 39088, 57519
595, 2, 21, 24820, 1513, 31163, 57519
601, 2, 19, 33514, 1913, 22071, 57519
607, 1, 17, 38034, 1841, 17626, 57519
613, 1, 16, 40183, 370, 16949, 57519
619, 0, 17, 40821, 78, 16603, 57519
625, 0, 16, 41613, 121, 15769, 57519
631, 1, 16, 41377, 90, 16035, 57519
637, 1, 18, 41095, 88, 16317, 57519
643, 1, 15, 40600, 91, 16812, 57519
649, 1, 15, 40216, 121, 17166, 57519
655, 2, 15, 39584, 25, 17893, 57519
661, 2, 16, 38136, 25, 19340, 57519
667, 2, 14, 32310, 17, 25176, 57519
673, 2, 15, 26921, 18, 30563, 57519
679, 2, 15, 24145, 18, 33339, 57519
685, 3, 53, 21921, 18, 35524, 57519
691, 2, 43, 19310, 19, 38145, 57519
697, 2, 44, 17713, 189, 39571, 57519
703, 1, 45, 15156, 194, 42123, 57519
709, 2, 16, 12920, 238, 44343, 57519
715, 2, 17, 11462, 229, 45809, 57519
721, 1, 19, 10428, 333, 46738, 57519
727, 2, 19, 9557, 334, 47607, 57519
733, 1, 20, 9084, 353, 48061, 57519
739, 3, 18, 8725, 22, 48751, 57519
745, 3, 18, 8373, 25, 49100, 57519
751, 1, 19, 8639, 40, 48820, 57519
757, 1, 20, 11419, 36, 46043, 57519
763, 2, 19, 14855, 37, 42606, 57519
769, 1, 20, 17218, 148, 40132, 57519
775, 1, 21, 19652, 147, 37698, 57519
