ts, default broker, SPOT, Bunnie, total
359, 57514, 0, 0, 57514
360, 57514, 0, 0, 57514
361, 6975, 96, 50443, 57514
367, 6899, 95, 50520, 57514
373, 6688, 98, 50728, 57514
379, 6707, 99, 50708, 57514
385, 6779, 94, 50641, 57514
391, 6813, 95, 50606, 57514
397, 6869, 93, 50552, 57514
403, 6868, 95, 50551, 57514
409, 6892, 94, 50528, 57514
415, 6838, 94, 50582, 57514
421, 6471, 95, 50948, 57514
427, 6477, 94, 50943, 57514
433, 6598, 93, 50823, 57514
439, 6648, 95, 50771, 57514
445, 6729, 95, 50690, 57514
451, 6778, 95, 50641, 57514
457, 6772, 93, 50649, 57514
463, 6803, 94, 50617, 57514
469, 6880, 94, 50540, 57514
475, 6900, 95, 50519, 57514
481, 6921, 93, 50500, 57514
487, 6962, 94, 50458, 57514
493, 6832, 95, 50587, 57514
499, 6768, 96, 50650, 57514
505, 6720, 95, 50699, 57514
511, 6701, 95, 50718, 57514
517, 6505, 96, 50913, 57514
523, 6454, 97, 50963, 57514
529, 6596, 95, 50823, 57514
535, 6695, 59, 50760, 57514
541, 6819, 50, 50645, 57514
547, 6892, 55, 50567, 57514
553, 6809, 50, 50655, 57514
559, 6768, 89, 50657, 57514
565, 6865, 95, 50554, 57514
571, 6879, 96, 50539, 57514
577, 6874, 93, 50547, 57514
583, 6868, 95, 50551, 57514
589, 6924, 95, 50495, 57514
595, 6884, 95, 50535, 57514
601, 6897, 96, 50521, 57514
607, 6904, 95, 50515, 57514
613, 6949, 97, 50468, 57514
619, 6936, 98, 50480, 57514
625, 6919, 94, 50501, 57514
631, 6898, 95, 50521, 57514
637, 6675, 96, 50743, 57514
643, 6774, 97, 50643, 57514
649, 6779, 93, 50642, 57514
655, 6721, 93, 50700, 57514
661, 6762, 94, 50658, 57514
667, 6770, 94, 50650, 57514
673, 6806, 95, 50613, 57514
679, 6781, 94, 50639, 57514
685, 6832, 95, 50587, 57514
691, 6833, 95, 50586, 57514
697, 6826, 95, 50593, 57514
703, 6907, 96, 50511, 57514
709, 6847, 96, 50571, 57514
715, 6766, 96, 50652, 57514
721, 6857, 96, 50561, 57514
727, 6843, 97, 50574, 57514
733, 6847, 96, 50571, 57514
739, 6800, 96, 50618, 57514
745, 6768, 95, 50651, 57514
751, 6860, 94, 50560, 57514
757, 6719, 95, 50700, 57514
763, 6772, 97, 50645, 57514
769, 6816, 95, 50603, 57514
775, 6766, 96, 50652, 57514
781, 6589, 97, 50828, 57514
787, 6776, 97, 50641, 57514
793, 6829, 94, 50591, 57514
799, 6837, 93, 50584, 57514
805, 6913, 94, 50507, 57514
811, 6902, 94, 50518, 57514
817, 6937, 93, 50484, 57514
823, 6933, 96, 50485, 57514
829, 6926, 97, 50491, 57514
835, 6899, 97, 50518, 57514
841, 6774, 93, 50647, 57514
847, 6825, 93, 50596, 57514
853, 6776, 96, 50642, 57514
859, 6827, 97, 50590, 57514
865, 6851, 95, 50568, 57514
871, 6885, 96, 50533, 57514
877, 6940, 95, 50479, 57514
883, 6927, 95, 50492, 57514
889, 6923, 93, 50498, 57514
895, 6918, 93, 50503, 57514
901, 6932, 94, 50488, 57514
907, 6939, 94, 50481, 57514
913, 6947, 94, 50473, 57514
919, 6963, 94, 50457, 57514
925, 6968, 95, 50451, 57514
931, 6976, 95, 50443, 57514
937, 6955, 94, 50465, 57514
943, 6978, 94, 50442, 57514
949, 6997, 93, 50424, 57514
955, 6861, 96, 50557, 57514
961, 6918, 95, 50501, 57514
967, 6875, 97, 50542, 57514
973, 6387, 97, 51030, 57514
979, 6539, 96, 50879, 57514
985, 6672, 94, 50748, 57514
991, 6650, 94, 50770, 57514
997, 6727, 94, 50693, 57514
1003, 6785, 94, 50635, 57514
1009, 6803, 93, 50618, 57514
1015, 6700, 93, 50721, 57514
1021, 6830, 93, 50591, 57514
1027, 6898, 94, 50522, 57514
1033, 6940, 93, 50481, 57514
1039, 6952, 94, 50468, 57514
1045, 6965, 94, 50455, 57514
1051, 6980, 94, 50440, 57514
1057, 6946, 95, 50473, 57514
1063, 6853, 95, 50566, 57514
1069, 6853, 95, 50566, 57514
1075, 6902, 95, 50517, 57514
1081, 6911, 93, 50510, 57514
1087, 6926, 93, 50495, 57514
1093, 6927, 93, 50494, 57514
1099, 6927, 94, 50493, 57514
1105, 6928, 94, 50492, 57514
1111, 6894, 94, 50526, 57514
1117, 6897, 96, 50521, 57514
1123, 6932, 96, 50486, 57514
1129, 6912, 93, 50509, 57514
1135, 6919, 94, 50501, 57514
1141, 6901, 93, 50520, 57514
1147, 6799, 94, 50621, 57514
1153, 6782, 94, 50638, 57514
1159, 6791, 94, 50629, 57514
1165, 6766, 93, 50655, 57514
1171, 6764, 93, 50657, 57514
1177, 6778, 95, 50641, 57514
1183, 6777, 96, 50641, 57514
1189, 6856, 96, 50562, 57514
1195, 6809, 96, 50609, 57514
1201, 6858, 94, 50562, 57514
1207, 6899, 94, 50521, 57514
1213, 6960, 94, 50460, 57514
1219, 6899, 94, 50521, 57514
1225, 6818, 94, 50602, 57514
1231, 6829, 94, 50591, 57514
1237, 6782, 94, 50638, 57514
1243, 6645, 94, 50775, 57514
1249, 6749, 96, 50669, 57514
1255, 6758, 96, 50660, 57514
1261, 6592, 95, 50827, 57514
1267, 6697, 96, 50721, 57514
1273, 6737, 94, 50683, 57514
1279, 6741, 95, 50678, 57514
1285, 6724, 95, 50695, 57514
1291, 6751, 96, 50667, 57514
1297, 6755, 93, 50666, 57514
1303, 6765, 94, 50655, 57514
1309, 6834, 97, 50583, 57514
1315, 6856, 97, 50561, 57514
1321, 6881, 94, 50539, 57514
1327, 6915, 94, 50505, 57514
1333, 6832, 96, 50586, 57514
1339, 6770, 97, 50647, 57514
1345, 6786, 94, 50634, 57514
1351, 6779, 94, 50641, 57514
1357, 6821, 94, 50599, 57514
1363, 6783, 93, 50638, 57514
1369, 6852, 94, 50568, 57514
1375, 6878, 95, 50541, 57514
1381, 6752, 95, 50667, 57514
1387, 6732, 96, 50686, 57514
1393, 6830, 93, 50591, 57514
1399, 6835, 95, 50584, 57514
1405, 6885, 94, 50535, 57514
1411, 6832, 94, 50588, 57514
1417, 6898, 95, 50521, 57514
1423, 6873, 93, 50548, 57514
1429, 6847, 93, 50574, 57514
1435, 6748, 93, 50673, 57514
1441, 6797, 93, 50624, 57514
1447, 6810, 95, 50609, 57514
1453, 6871, 95, 50548, 57514
1459, 6884, 97, 50533, 57514
1465, 6826, 94, 50594, 57514
1471, 6846, 95, 50573, 57514
1477, 6806, 96, 50612, 57514
1483, 6840, 97, 50577, 57514
1489, 6923, 95, 50496, 57514
1495, 6924, 97, 50493, 57514
1501, 6823, 97, 50594, 57514
1507, 6781, 97, 50636, 57514
1513, 6867, 95, 50552, 57514
1519, 6815, 95, 50604, 57514
1525, 6713, 96, 50705, 57514
1531, 6751, 96, 50667, 57514
1537, 6744, 94, 50676, 57514
1543, 6803, 94, 50617, 57514
1549, 6818, 95, 50601, 57514
1555, 6858, 96, 50560, 57514
1561, 6834, 95, 50585, 57514
1567, 6841, 96, 50577, 57514
1573, 6828, 97, 50589, 57514
1579, 6815, 96, 50603, 57514
1585, 6850, 93, 50571, 57514
1591, 6805, 93, 50616, 57514
1597, 6891, 93, 50530, 57514
1603, 6890, 97, 50527, 57514
1609, 6925, 95, 50494, 57514
1615, 6864, 95, 50555, 57514
1621, 6898, 96, 50520, 57514
1627, 6855, 96, 50563, 57514
1633, 6811, 94, 50609, 57514
1639, 6817, 95, 50602, 57514
1645, 6798, 95, 50621, 57514
1651, 6861, 94, 50559, 57514
1657, 6870, 93, 50551, 57514
1663, 6918, 93, 50503, 57514
1669, 6924, 95, 50495, 57514
1675, 6944, 94, 50476, 57514
1681, 6892, 93, 50529, 57514
1687, 6828, 95, 50591, 57514
1693, 6866, 94, 50554, 57514
1699, 6851, 94, 50569, 57514
1705, 6921, 95, 50498, 57514
1711, 6887, 95, 50532, 57514
1717, 6874, 95, 50545, 57514
1723, 6886, 94, 50534, 57514
1729, 6868, 93, 50553, 57514
1735, 6872, 93, 50549, 57514
1741, 6775, 94, 50645, 57514
1747, 6748, 95, 50671, 57514
1753, 6720, 94, 50700, 57514
1759, 6739, 93, 50682, 57514
1765, 6819, 94, 50601, 57514
1771, 6847, 95, 50572, 57514
1777, 6851, 93, 50570, 57514
1783, 6859, 93, 50562, 57514
1789, 6773, 94, 50647, 57514
1795, 6794, 94, 50626, 57514
1801, 6815, 95, 50604, 57514
1807, 6795, 95, 50624, 57514
1813, 6825, 95, 50594, 57514
1819, 6827, 95, 50592, 57514
1825, 6869, 93, 50552, 57514
1831, 6857, 94, 50563, 57514
1837, 6886, 94, 50534, 57514
1843, 6925, 95, 50494, 57514
1849, 6851, 94, 50569, 57514
1855, 6842, 96, 50576, 57514
1861, 6787, 97, 50630, 57514
1867, 6835, 96, 50583, 57514
1873, 6786, 96, 50632, 57514
1879, 6856, 97, 50561, 57514
1885, 6836, 97, 50581, 57514
1891, 6879, 97, 50538, 57514
1897, 6895, 96, 50523, 57514
1903, 6890, 97, 50527, 57514
1909, 6945, 95, 50474, 57514
1915, 6939, 95, 50480, 57514
1921, 6784, 94, 50636, 57514
1927, 6801, 94, 50619, 57514
1933, 6681, 94, 50739, 57514
1939, 6689, 96, 50729, 57514
1945, 6779, 94, 50641, 57514
1951, 6787, 94, 50633, 57514
1957, 6626, 95, 50793, 57514
1963, 6766, 95, 50653, 57514
1969, 6778, 95, 50641, 57514
1975, 6795, 94, 50625, 57514
