ts, default broker, CrocodileAgent, SPOT, EWIIS3, AgentUDE, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6790, 320, 941, 657, 48802, 57510
367, 6697, 373, 963, 365, 49112, 57510
373, 6558, 498, 963, 228, 49263, 57510
379, 6646, 403, 978, 200, 49283, 57510
385, 6700, 327, 96, 192, 50195, 57510
391, 6755, 269, 100, 161, 50225, 57510
397, 6871, 148, 105, 101, 50285, 57510
403, 6844, 4889, 19501, 23787, 2489, 57510
409, 6791, 11408, 12026, 25110, 2175, 57510
415, 6797, 13954, 12679, 22410, 1670, 57510
421, 6720, 19626, 12904, 17340, 920, 57510
427, 6758, 24312, 12918, 12830, 692, 57510
433, 6728, 27087, 12721, 10492, 482, 57510
439, 6738, 29845, 12376, 8249, 302, 57510
445, 6828, 31088, 12273, 7307, 14, 57510
451, 6791, 38951, 7442, 4307, 19, 57510
457, 6826, 42087, 5362, 3213, 22, 57510
463, 6903, 44366, 3752, 2466, 23, 57510
469, 6815, 45598, 3006, 2067, 24, 57510
475, 6606, 45574, 3435, 1843, 52, 57510
481, 6627, 43701, 5323, 1627, 232, 57510
487, 6735, 41163, 7938, 1537, 137, 57510
493, 6533, 38566, 10804, 1335, 272, 57510
499, 6477, 33852, 15612, 1246, 323, 57510
505, 6496, 30240, 18984, 1206, 584, 57510
511, 6612, 26940, 22084, 1174, 700, 57510
517, 6731, 23762, 25162, 1151, 704, 57510
523, 6819, 21148, 27669, 1120, 754, 57510
529, 6809, 17512, 31534, 1029, 626, 57510
535, 6811, 14232, 34145, 998, 1324, 57510
541, 6799, 10045, 37137, 1034, 2495, 57510
547, 6775, 7635, 38954, 984, 3162, 57510
553, 6710, 6598, 39660, 966, 3576, 57510
559, 6717, 5736, 39914, 885, 4258, 57510
565, 6780, 4751, 40409, 843, 4727, 57510
571, 6816, 7237, 42184, 872, 401, 57510
577, 6809, 7974, 41542, 763, 422, 57510
583, 6802, 14009, 35459, 704, 536, 57510
589, 6839, 22467, 27027, 641, 536, 57510
595, 6836, 28186, 21397, 556, 535, 57510
601, 6761, 34086, 15662, 510, 491, 57510
607, 6831, 37563, 12276, 377, 463, 57510
613, 6726, 40195, 10249, 332, 8, 57510
619, 6745, 43242, 7204, 310, 9, 57510
625, 6683, 44889, 5621, 308, 9, 57510
631, 6760, 46023, 4451, 265, 11, 57510
637, 6857, 46593, 3825, 225, 10, 57510
643, 6838, 46261, 4147, 222, 42, 57510
649, 6795, 45374, 5079, 188, 74, 57510
655, 6808, 44019, 6440, 237, 6, 57510
661, 6821, 39359, 10957, 233, 140, 57510
667, 6838, 33658, 16316, 277, 421, 57510
673, 6880, 27218, 22528, 394, 490, 57510
679, 6812, 22393, 27399, 327, 579, 57510
685, 6481, 19220, 30752, 402, 655, 57510
691, 6634, 16322, 33507, 382, 665, 57510
697, 6630, 13159, 37222, 323, 176, 57510
703, 6660, 9944, 40176, 322, 408, 57510
709, 6699, 8147, 41617, 367, 680, 57510
715, 6651, 6690, 42897, 412, 860, 57510
721, 6647, 5106, 44503, 272, 982, 57510
727, 6702, 4615, 44806, 243, 1144, 57510
733, 6746, 4421, 44798, 301, 1244, 57510
739, 6771, 6572, 43884, 278, 5, 57510
745, 6713, 7940, 42604, 248, 5, 57510
751, 6712, 12893, 37539, 361, 5, 57510
757, 6738, 21428, 29079, 262, 3, 57510
763, 6801, 29501, 20970, 234, 4, 57510
769, 6793, 35462, 15059, 191, 5, 57510
775, 6822, 36472, 14021, 192, 3, 57510
781, 6645, 39596, 11102, 163, 4, 57510
787, 6705, 41890, 8748, 164, 3, 57510
793, 6705, 43085, 7550, 166, 4, 57510
799, 6758, 44449, 6137, 162, 4, 57510
805, 6828, 45108, 5410, 160, 4, 57510
811, 6822, 45226, 5295, 163, 4, 57510
817, 6850, 44475, 6008, 173, 4, 57510
823, 6790, 43774, 6759, 184, 3, 57510
829, 6693, 38074, 12523, 172, 48, 57510
835, 6651, 34398, 16251, 170, 40, 57510
841, 6719, 25491, 24581, 279, 440, 57510
847, 6732, 21519, 28371, 247, 641, 57510
853, 6570, 16855, 33121, 237, 727, 57510
859, 6416, 14031, 35973, 235, 855, 57510
865, 6611, 11964, 38406, 222, 307, 57510
871, 6664, 10000, 40286, 253, 307, 57510
877, 6672, 7775, 42520, 272, 271, 57510
883, 6735, 6037, 44123, 239, 376, 57510
889, 6844, 4820, 45146, 210, 490, 57510
895, 6881, 4507, 45122, 197, 803, 57510
901, 6764, 4426, 45319, 195, 806, 57510
907, 6682, 6493, 44045, 200, 90, 57510
913, 6655, 9310, 41270, 198, 77, 57510
919, 6657, 14470, 36117, 193, 73, 57510
925, 6598, 20830, 29818, 188, 76, 57510
931, 6638, 25529, 25094, 184, 65, 57510
937, 6640, 31615, 19037, 154, 64, 57510
943, 6739, 37105, 13448, 154, 64, 57510
949, 6828, 41058, 9465, 155, 4, 57510
955, 6802, 43997, 6552, 155, 4, 57510
961, 6700, 45063, 5581, 162, 4, 57510
967, 6737, 46445, 4172, 151, 5, 57510
973, 6795, 46699, 3857, 154, 5, 57510
979, 6857, 46444, 4046, 158, 5, 57510
985, 6763, 46209, 4363, 170, 5, 57510
991, 6687, 44484, 6099, 217, 23, 57510
997, 6373, 41935, 8838, 215, 149, 57510
1003, 6403, 38560, 12091, 244, 212, 57510
1009, 6356, 30656, 19543, 593, 362, 57510
1015, 6520, 24664, 25287, 520, 519, 57510
1021, 6575, 19550, 30216, 464, 705, 57510
1027, 6617, 14605, 35054, 367, 867, 57510
1033, 6623, 12144, 38280, 380, 83, 57510
1039, 6751, 9098, 41261, 317, 83, 57510
1045, 6635, 7676, 42794, 321, 84, 57510
1051, 6682, 5940, 44533, 272, 83, 57510
1057, 6775, 5189, 45031, 368, 147, 57510
1063, 6791, 5494, 44675, 407, 143, 57510
1069, 6781, 7228, 43045, 313, 143, 57510
1075, 6785, 10823, 39376, 410, 116, 57510
1081, 6688, 20943, 29311, 352, 216, 57510
