ts, default broker, EWIIS3, AgentUDE, total
359, 57510, 0, 0, 57510
360, 57510, 0, 0, 57510
361, 7112, 4686, 45712, 57510
367, 7109, 2394, 48007, 57510
373, 7108, 1656, 48746, 57510
379, 7107, 1283, 49120, 57510
385, 7107, 931, 49472, 57510
391, 7107, 764, 49639, 57510
397, 7107, 656, 49747, 57510
403, 7105, 3281, 47124, 57510
409, 7103, 2143, 48264, 57510
415, 7103, 2068, 48339, 57510
421, 7103, 1694, 48713, 57510
427, 7103, 1328, 49079, 57510
433, 7104, 1140, 49266, 57510
439, 7104, 964, 49442, 57510
445, 7102, 1301, 49107, 57510
451, 7102, 1129, 49279, 57510
457, 7100, 900, 49510, 57510
463, 7100, 739, 49671, 57510
469, 7099, 635, 49776, 57510
475, 7099, 541, 49870, 57510
481, 7098, 493, 49919, 57510
487, 7097, 396, 50017, 57510
493, 7097, 387, 50026, 57510
499, 7097, 315, 50098, 57510
505, 7098, 311, 50101, 57510
511, 7095, 246, 50169, 57510
517, 7095, 243, 50172, 57510
523, 7095, 242, 50173, 57510
529, 7101, 200, 50209, 57510
535, 7101, 199, 50210, 57510
541, 7101, 197, 50212, 57510
547, 7101, 173, 50236, 57510
553, 7101, 141, 50268, 57510
559, 7101, 139, 50270, 57510
565, 7100, 140, 50270, 57510
571, 7096, 130, 50284, 57510
577, 7097, 127, 50286, 57510
583, 7096, 115, 50299, 57510
589, 7093, 97, 50320, 57510
595, 7092, 87, 50331, 57510
601, 7094, 84, 50332, 57510
607, 7094, 84, 50332, 57510
613, 7093, 85, 50332, 57510
619, 7092, 86, 50332, 57510
625, 7091, 86, 50333, 57510
631, 7092, 85, 50333, 57510
637, 7091, 86, 50333, 57510
643, 7092, 83, 50335, 57510
649, 7092, 84, 50334, 57510
655, 7091, 88, 50331, 57510
661, 7091, 87, 50332, 57510
667, 7090, 85, 50335, 57510
673, 7091, 85, 50334, 57510
679, 7091, 79, 50340, 57510
685, 7090, 81, 50339, 57510
691, 7092, 78, 50340, 57510
697, 7091, 80, 50339, 57510
703, 7091, 79, 50340, 57510
709, 7091, 81, 50338, 57510
715, 7091, 82, 50337, 57510
721, 7090, 83, 50337, 57510
727, 7090, 83, 50337, 57510
