ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, Bunnie, total
359, 57504, 0, 0, 0, 0, 57504
360, 57504, 0, 0, 0, 0, 57504
361, 2, 9, 443, 7495, 49555, 57504
367, 0, 7, 213, 7495, 49789, 57504
373, 4, 7, 132, 7497, 49864, 57504
379, 3, 5, 287, 7497, 49712, 57504
385, 3, 6, 275, 7511, 49709, 57504
391, 1, 10, 366, 7658, 49469, 57504
397, 1, 13, 252, 9110, 48128, 57504
403, 2, 1004, 188, 11261, 45049, 57504
409, 1, 1552, 205, 12258, 43488, 57504
415, 2, 2134, 184, 14457, 40727, 57504
421, 1, 3021, 234, 18671, 35577, 57504
427, 0, 3747, 231, 19915, 33611, 57504
433, 2, 4329, 306, 22020, 30847, 57504
439, 21, 4343, 350, 22052, 30738, 57504
445, 22, 4421, 288, 22039, 30734, 57504
451, 26, 4415, 324, 22045, 30694, 57504
457, 26, 4369, 303, 21986, 30820, 57504
463, 12, 4307, 215, 21901, 31069, 57504
469, 2, 4233, 183, 21781, 31305, 57504
475, 1, 3635, 178, 20690, 33000, 57504
481, 1, 3333, 152, 20029, 33989, 57504
487, 1, 2678, 124, 18494, 36207, 57504
493, 3, 2199, 113, 16333, 38856, 57504
499, 1, 1741, 111, 14649, 41002, 57504
505, 2, 1359, 105, 12795, 43243, 57504
511, 1, 1220, 103, 11929, 44251, 57504
517, 1, 906, 102, 10785, 45710, 57504
523, 0, 616, 101, 9930, 46857, 57504
529, 1, 446, 77, 9465, 47515, 57504
535, 0, 446, 77, 9392, 47589, 57504
541, 3, 387, 75, 8970, 48069, 57504
547, 1, 386, 75, 8353, 48689, 57504
553, 2, 335, 77, 7978, 49112, 57504
559, 2, 380, 71, 8212, 48839, 57504
565, 1, 261, 72, 9818, 47352, 57504
571, 0, 401, 73, 11744, 45286, 57504
577, 1, 1304, 70, 14569, 41560, 57504
583, 0, 1802, 72, 16006, 39624, 57504
589, 1, 2604, 71, 19246, 35582, 57504
595, 1, 3068, 50, 21111, 33274, 57504
601, 1, 3449, 50, 21887, 32117, 57504
607, 3, 3529, 48, 22522, 31402, 57504
613, 0, 3537, 48, 22433, 31486, 57504
619, 1, 3508, 45, 22247, 31703, 57504
625, 1, 3502, 48, 22069, 31884, 57504
631, 1, 3469, 46, 22068, 31920, 57504
637, 0, 3396, 49, 21182, 32877, 57504
643, 2, 3257, 48, 20138, 34059, 57504
649, 2, 3008, 47, 18650, 35797, 57504
655, 1, 2676, 51, 17363, 37413, 57504
661, 0, 2497, 47, 16231, 38729, 57504
667, 0, 1935, 47, 14274, 41248, 57504
673, 0, 1266, 45, 12326, 43867, 57504
679, 2, 613, 38, 10481, 46370, 57504
685, 0, 505, 37, 9870, 47092, 57504
691, 2, 271, 38, 8851, 48342, 57504
697, 1, 172, 38, 8563, 48730, 57504
703, 2, 113, 39, 8364, 48986, 57504
709, 0, 113, 38, 8297, 49056, 57504
715, 1, 115, 35, 8342, 49011, 57504
721, 3, 83, 36, 8268, 49114, 57504
727, 1, 52, 40, 8143, 49268, 57504
733, 2, 130, 40, 8880, 48452, 57504
739, 0, 259, 39, 10503, 46703, 57504
745, 1, 351, 40, 11462, 45650, 57504
751, 1, 1708, 38, 13872, 41885, 57504
757, 1, 2933, 37, 17837, 36696, 57504
763, 0, 4269, 43, 21437, 31755, 57504
769, 3, 4994, 38, 22724, 29745, 57504
775, 2, 5160, 41, 22819, 29482, 57504
781, 1, 5159, 40, 22771, 29533, 57504
787, 4, 5158, 38, 22708, 29596, 57504
793, 1, 5155, 40, 22435, 29873, 57504
799, 1, 5156, 38, 22222, 30087, 57504
805, 2, 5137, 40, 21973, 30352, 57504
811, 3, 5071, 38, 21270, 31122, 57504
817, 2, 5051, 36, 20880, 31535, 57504
823, 2, 4670, 36, 19550, 33246, 57504
829, 2, 3958, 37, 17465, 36042, 57504
835, 2, 3009, 32, 14774, 39687, 57504
841, 3, 2039, 32, 11663, 43767, 57504
