ts, default broker, CrocodileAgent, SPOT, total
359, 57503, 0, 0, 57503
360, 57503, 0, 0, 57503
361, 6936, 50567, 0, 57503
367, 6879, 50583, 41, 57503
373, 6940, 50450, 113, 57503
379, 6930, 50418, 155, 57503
385, 6900, 50405, 198, 57503
391, 6858, 50409, 236, 57503
397, 6829, 50436, 238, 57503
403, 6786, 50461, 256, 57503
409, 6770, 50476, 257, 57503
415, 6726, 50520, 257, 57503
421, 6639, 50610, 254, 57503
427, 6706, 50533, 264, 57503
433, 6766, 42614, 8123, 57503
439, 6809, 39912, 10782, 57503
445, 6830, 39467, 11206, 57503
451, 6887, 39178, 11438, 57503
457, 6847, 39197, 11459, 57503
463, 6899, 49752, 852, 57503
469, 6907, 50525, 71, 57503
475, 6797, 50686, 20, 57503
481, 6843, 50660, 0, 57503
487, 6826, 50677, 0, 57503
493, 6824, 50679, 0, 57503
499, 6874, 50629, 0, 57503
505, 6857, 50646, 0, 57503
511, 6868, 50635, 0, 57503
517, 6898, 50605, 0, 57503
523, 6926, 50577, 0, 57503
529, 6947, 50556, 0, 57503
535, 6891, 50612, 0, 57503
541, 6742, 50761, 0, 57503
547, 6763, 50740, 0, 57503
553, 6821, 50682, 0, 57503
559, 6844, 50659, 0, 57503
565, 6812, 50691, 0, 57503
571, 6877, 50626, 0, 57503
577, 6799, 50704, 0, 57503
583, 6839, 50664, 0, 57503
589, 6951, 50552, 0, 57503
595, 6913, 50590, 0, 57503
601, 6927, 50576, 0, 57503
607, 6884, 50619, 0, 57503
613, 6812, 50691, 0, 57503
619, 6777, 50726, 0, 57503
625, 6747, 50756, 0, 57503
631, 6781, 50722, 0, 57503
637, 6758, 50745, 0, 57503
643, 6948, 50555, 0, 57503
649, 6968, 50535, 0, 57503
655, 6932, 50571, 0, 57503
661, 6981, 50522, 0, 57503
667, 6884, 50619, 0, 57503
673, 6873, 50630, 0, 57503
679, 6834, 50669, 0, 57503
685, 6878, 50625, 0, 57503
691, 6892, 50611, 0, 57503
697, 6896, 50607, 0, 57503
703, 6864, 50639, 0, 57503
