ts, default broker, SPOT, COLDPower18, VidyutVanika, Bunnie, total
359, 57511, 0, 0, 0, 0, 57511
360, 57511, 0, 0, 0, 0, 57511
361, 12, 0, 0, 20775, 36724, 57511
367, 10, 2, 0, 20768, 36731, 57511
373, 9, 117, 0, 21005, 36380, 57511
379, 8, 118, 0, 21001, 36384, 57511
385, 9, 2, 0, 20998, 36502, 57511
391, 9, 3, 0, 20997, 36502, 57511
397, 9, 6, 0, 20995, 36501, 57511
403, 10, 119, 0, 20994, 36388, 57511
409, 8, 120, 0, 20995, 36388, 57511
415, 9, 120, 0, 20997, 36385, 57511
421, 9, 120, 0, 21109, 36273, 57511
427, 10, 120, 0, 21108, 36273, 57511
433, 9, 119, 0, 18474, 38909, 57511
439, 10, 119, 0, 15785, 41597, 57511
445, 10, 89, 0, 13152, 44260, 57511
451, 10, 90, 0, 11201, 46210, 57511
457, 10, 36, 0, 10420, 47045, 57511
463, 10, 36, 0, 10238, 47227, 57511
469, 9, 36, 0, 9933, 47533, 57511
475, 10, 36, 0, 9032, 48433, 57511
481, 9, 37, 0, 8911, 48554, 57511
487, 10, 5, 0, 9145, 48351, 57511
493, 9, 6, 0, 11814, 45682, 57511
499, 8, 18, 0, 15458, 42027, 57511
505, 9, 4, 0, 16998, 40500, 57511
511, 6, 5, 0, 18528, 38972, 57511
517, 6, 5, 0, 20511, 36989, 57511
523, 5, 4, 0, 22422, 35080, 57511
529, 5, 3, 0, 23977, 33526, 57511
535, 5, 6, 0, 24537, 32963, 57511
541, 4, 9, 0, 24372, 33126, 57511
547, 4, 10, 0, 24189, 33308, 57511
553, 5, 106, 0, 23853, 33547, 57511
559, 5, 104, 0, 23334, 34068, 57511
565, 8, 101, 0, 22783, 34619, 57511
571, 8, 102, 0, 20395, 37006, 57511
577, 7, 4, 0, 20104, 37396, 57511
583, 7, 4, 0, 18703, 38797, 57511
589, 8, 4, 0, 18062, 39437, 57511
595, 8, 5, 0, 15324, 42174, 57511
601, 6, 6, 0, 14113, 43386, 57511
607, 5, 8, 0, 11869, 45629, 57511
613, 6, 6, 0, 10742, 46757, 57511
619, 7, 7, 0, 10272, 47225, 57511
625, 8, 6, 0, 10084, 47413, 57511
631, 8, 6, 0, 9661, 47836, 57511
637, 7, 8, 0, 9233, 48263, 57511
643, 9, 8, 0, 8949, 48545, 57511
649, 10, 8, 0, 8870, 48623, 57511
655, 10, 9, 0, 8933, 48559, 57511
661, 8, 10, 0, 12499, 44994, 57511
667, 7, 10, 0, 14961, 42533, 57511
673, 6, 12, 0, 16957, 40536, 57511
679, 4, 14, 0, 17700, 39793, 57511
685, 4, 42, 0, 19488, 37977, 57511
691, 8, 39, 0, 22526, 34938, 57511
697, 8, 39, 0, 23772, 33692, 57511
703, 9, 42, 0, 24673, 32787, 57511
709, 5, 41, 0, 24654, 32811, 57511
715, 6, 40, 0, 24230, 33235, 57511
721, 5, 41, 0, 24075, 33390, 57511
727, 6, 11, 0, 23754, 33740, 57511
733, 5, 12, 0, 22271, 35223, 57511
739, 7, 9, 0, 20629, 36866, 57511
745, 8, 3, 0, 18452, 39048, 57511
751, 7, 2, 0, 17766, 39736, 57511
757, 7, 4, 0, 15202, 42298, 57511
763, 6, 5, 0, 14389, 43111, 57511
769, 6, 6, 0, 12549, 44950, 57511
775, 6, 6, 0, 11830, 45669, 57511
781, 5, 7, 0, 10443, 47056, 57511
787, 7, 6, 0, 9232, 48266, 57511
793, 6, 7, 0, 8871, 48627, 57511
799, 6, 6, 0, 8623, 48876, 57511
805, 5, 9, 0, 8488, 49009, 57511
811, 6, 6, 0, 8629, 48870, 57511
817, 8, 7, 0, 8725, 48771, 57511
823, 8, 7, 0, 8393, 49103, 57511
829, 9, 10, 0, 9255, 48237, 57511
835, 8, 9, 0, 10601, 46893, 57511
841, 11, 6, 0, 15132, 42362, 57511
847, 11, 6, 0, 17509, 39985, 57511
853, 9, 6, 0, 21357, 36139, 57511
859, 5, 5, 0, 24178, 33323, 57511
865, 4, 5, 0, 29996, 27506, 57511
871, 3, 5, 0, 38462, 19041, 57511
877, 3, 6, 0, 40797, 16705, 57511
883, 4, 6, 0, 43204, 14297, 57511
889, 9, 56, 0, 47035, 10411, 57511
895, 8, 67, 0, 23139, 34297, 57511
901, 1653, 95, 0, 23002, 32761, 57511
907, 2089, 95, 0, 27359, 27968, 57511
913, 2257, 95, 0, 30404, 24755, 57511
919, 2626, 95, 0, 30008, 24782, 57511
925, 2749, 94, 0, 31808, 22860, 57511
931, 2768, 94, 0, 33043, 21606, 57511
937, 3071, 95, 0, 34289, 20056, 57511
943, 3235, 96, 0, 34274, 19906, 57511
949, 3355, 95, 0, 35571, 18490, 57511
955, 3385, 94, 0, 35812, 18220, 57511
961, 3429, 95, 0, 36037, 17950, 57511
967, 3428, 97, 0, 5353, 48633, 57511
973, 3272, 96, 0, 9526, 44617, 57511
979, 3195, 233, 0, 16158, 37925, 57511
985, 3225, 93, 0, 23341, 30852, 57511
991, 3552, 96, 0, 5098, 48765, 57511
997, 3520, 95, 0, 7372, 46524, 57511
1003, 3574, 94, 0, 13087, 40756, 57511
1009, 3477, 94, 0, 17244, 36696, 57511
1015, 3534, 98, 0, 22294, 31585, 57511
1021, 3551, 98, 0, 24818, 29044, 57511
1027, 3570, 99, 0, 28534, 25308, 57511
1033, 3669, 95, 0, 29634, 24113, 57511
1039, 3722, 96, 0, 31872, 21821, 57511
1045, 3847, 95, 0, 32834, 20735, 57511
1051, 3644, 95, 0, 35488, 18284, 57511
1057, 3724, 95, 0, 33798, 19894, 57511
1063, 3628, 97, 0, 13607, 40179, 57511
1069, 3524, 96, 0, 15972, 37919, 57511
1075, 3440, 96, 0, 19919, 34056, 57511
1081, 3390, 96, 0, 24988, 29037, 57511
1087, 3310, 95, 0, 28105, 26001, 57511
