ts, default broker, SPOT, EWIIS3, total
359, 57518, 0, 0, 57518
360, 57518, 0, 0, 57518
361, 7072, 349, 50097, 57518
367, 7037, 385, 50096, 57518
373, 7024, 398, 50096, 57518
379, 7023, 401, 50094, 57518
385, 7023, 155, 50340, 57518
391, 7021, 156, 50341, 57518
397, 7021, 156, 50341, 57518
403, 7023, 156, 50339, 57518
409, 7047, 102, 50369, 57518
415, 7042, 106, 50370, 57518
421, 7038, 110, 50370, 57518
427, 7046, 251, 50221, 57518
433, 7042, 222, 50254, 57518
439, 7027, 239, 50252, 57518
445, 7022, 345, 50151, 57518
451, 7021, 346, 50151, 57518
457, 7020, 348, 50150, 57518
463, 7020, 349, 50149, 57518
469, 7019, 350, 50149, 57518
475, 7017, 351, 50150, 57518
481, 7017, 361, 50140, 57518
487, 7018, 421, 50079, 57518
493, 7018, 509, 49991, 57518
499, 7018, 509, 49991, 57518
505, 7018, 535, 49965, 57518
511, 7018, 536, 49964, 57518
517, 7018, 566, 49934, 57518
523, 7017, 566, 49935, 57518
529, 7017, 765, 49736, 57518
535, 7017, 808, 49693, 57518
541, 7017, 868, 49633, 57518
547, 7017, 820, 49681, 57518
553, 7017, 1342, 49159, 57518
559, 7017, 1322, 49179, 57518
565, 7017, 1570, 48931, 57518
571, 7018, 1827, 48673, 57518
577, 7019, 3232, 47267, 57518
583, 7020, 3740, 46758, 57518
589, 7020, 4103, 46395, 57518
595, 7020, 4243, 46255, 57518
601, 7020, 4449, 46049, 57518
607, 7020, 4558, 45940, 57518
613, 7019, 4738, 45761, 57518
619, 7019, 4828, 45671, 57518
625, 7019, 4159, 46340, 57518
631, 7020, 4190, 46308, 57518
637, 7019, 4345, 46154, 57518
643, 7019, 4395, 46104, 57518
649, 7019, 3355, 47144, 57518
655, 7018, 3405, 47095, 57518
661, 7018, 3555, 46945, 57518
667, 7018, 3735, 46765, 57518
673, 7018, 3605, 46895, 57518
679, 7017, 3956, 46545, 57518
