ts, default broker, SPOT, COLDPower18, EWIIS3, AgentUDE, total
359, 57514, 0, 0, 0, 0, 57514
360, 57514, 0, 0, 0, 0, 57514
361, 7105, 0, 0, 4886, 45523, 57514
367, 7106, 0, 0, 2555, 47853, 57514
373, 7020, 88, 0, 1704, 48702, 57514
379, 7016, 92, 0, 1559, 48847, 57514
385, 7018, 93, 0, 1115, 49288, 57514
391, 7018, 93, 0, 961, 49442, 57514
397, 7016, 93, 0, 929, 49476, 57514
403, 7013, 3637, 0, 45586, 1278, 57514
409, 7013, 4773, 0, 44070, 1658, 57514
415, 7011, 5363, 0, 43363, 1777, 57514
421, 7009, 6502, 0, 41996, 2007, 57514
427, 7007, 7367, 0, 40914, 2226, 57514
433, 7006, 7572, 0, 40708, 2228, 57514
439, 7005, 8074, 0, 40205, 2230, 57514
445, 7016, 8087, 0, 42333, 78, 57514
451, 7018, 7554, 0, 42834, 108, 57514
457, 7019, 7527, 0, 42829, 139, 57514
463, 7019, 7840, 0, 42485, 170, 57514
469, 7021, 7968, 0, 41968, 557, 57514
475, 7019, 8244, 0, 41419, 832, 57514
481, 7017, 8518, 0, 41008, 971, 57514
487, 7012, 8689, 0, 40447, 1366, 57514
493, 7012, 8738, 0, 39195, 2569, 57514
499, 7009, 8286, 0, 38018, 4201, 57514
505, 7010, 8670, 0, 36774, 5060, 57514
511, 7009, 9128, 0, 35766, 5611, 57514
517, 7097, 0, 0, 35491, 14926, 57514
523, 7093, 0, 0, 34418, 16003, 57514
529, 7119, 0, 0, 34603, 15792, 57514
535, 7120, 0, 0, 34577, 15817, 57514
541, 7119, 0, 0, 34548, 15847, 57514
547, 7119, 0, 0, 34401, 15994, 57514
553, 7119, 0, 0, 34327, 16068, 57514
559, 7119, 0, 0, 34173, 16222, 57514
565, 7121, 0, 0, 34140, 16253, 57514
571, 7121, 0, 0, 34345, 16048, 57514
577, 7118, 0, 0, 34229, 16167, 57514
583, 7114, 0, 0, 34107, 16293, 57514
589, 7114, 0, 0, 34093, 16307, 57514
595, 7112, 0, 0, 34064, 16338, 57514
601, 7109, 0, 0, 33957, 16448, 57514
607, 7106, 0, 0, 33836, 16572, 57514
613, 7106, 0, 0, 34312, 16096, 57514
619, 7105, 0, 0, 34142, 16267, 57514
625, 7104, 0, 0, 34139, 16271, 57514
631, 7103, 0, 0, 33993, 16418, 57514
637, 7103, 0, 0, 33843, 16568, 57514
643, 7101, 0, 0, 33847, 16566, 57514
649, 7102, 0, 0, 33796, 16616, 57514
655, 7104, 0, 0, 34402, 16008, 57514
661, 7103, 0, 0, 34291, 16120, 57514
667, 7104, 0, 0, 34169, 16241, 57514
673, 7105, 0, 0, 33941, 16468, 57514
679, 7106, 0, 0, 33537, 16871, 57514
685, 7106, 0, 0, 33363, 17045, 57514
691, 7106, 0, 0, 32995, 17413, 57514
697, 7108, 0, 0, 31636, 18770, 57514
703, 7107, 0, 0, 31081, 19326, 57514
709, 7107, 0, 0, 30138, 20269, 57514
715, 7107, 0, 0, 29867, 20540, 57514
721, 7107, 0, 0, 29304, 21103, 57514
727, 7105, 0, 0, 28754, 21655, 57514
733, 7104, 0, 0, 27625, 22785, 57514
739, 7106, 0, 0, 27407, 23001, 57514
745, 7104, 0, 0, 27205, 23205, 57514
751, 7105, 0, 0, 27172, 23237, 57514
757, 7105, 0, 0, 27130, 23279, 57514
763, 7104, 0, 0, 27126, 23284, 57514
769, 7104, 0, 0, 27124, 23286, 57514
775, 7103, 0, 0, 27083, 23328, 57514
781, 7120, 0, 0, 27858, 22536, 57514
787, 7120, 0, 0, 27637, 22757, 57514
793, 7119, 0, 0, 27530, 22865, 57514
799, 7120, 0, 0, 27459, 22935, 57514
805, 7121, 0, 0, 27381, 23012, 57514
811, 7120, 0, 0, 27383, 23011, 57514
817, 7122, 0, 0, 27338, 23054, 57514
823, 7118, 0, 0, 26861, 23535, 57514
829, 7112, 0, 0, 26740, 23662, 57514
835, 7109, 0, 0, 26556, 23849, 57514
841, 7101, 0, 0, 26121, 24292, 57514
847, 7092, 0, 0, 25877, 24545, 57514
853, 7091, 0, 0, 25678, 24745, 57514
859, 7092, 0, 0, 25514, 24908, 57514
865, 7123, 0, 0, 26127, 24264, 57514
871, 7123, 0, 0, 26050, 24341, 57514
877, 7123, 0, 0, 25914, 24477, 57514
883, 7121, 0, 0, 25841, 24552, 57514
889, 7121, 0, 0, 25779, 24614, 57514
895, 7121, 0, 0, 25698, 24695, 57514
901, 7120, 0, 0, 25631, 24763, 57514
907, 7114, 0, 0, 26098, 24302, 57514
913, 7111, 0, 0, 25703, 24700, 57514
919, 7111, 0, 0, 25519, 24884, 57514
925, 7109, 0, 0, 25459, 24946, 57514
931, 7108, 0, 0, 25426, 24980, 57514
937, 7108, 0, 0, 25214, 25192, 57514
943, 7107, 0, 0, 25156, 25251, 57514
949, 7102, 0, 0, 24162, 26250, 57514
955, 7098, 0, 0, 23800, 26616, 57514
961, 7096, 0, 0, 23256, 27162, 57514
967, 7095, 0, 0, 23194, 27225, 57514
973, 7094, 0, 0, 23076, 27344, 57514
979, 7092, 0, 0, 23074, 27348, 57514
985, 7091, 0, 0, 23043, 27380, 57514
991, 7099, 0, 0, 26810, 23605, 57514
997, 7097, 0, 0, 25506, 24911, 57514
1003, 7097, 0, 0, 24858, 25559, 57514
1009, 7097, 0, 0, 24192, 26225, 57514
1015, 7097, 0, 0, 23859, 26558, 57514
1021, 7097, 0, 0, 23741, 26676, 57514
1027, 7096, 0, 0, 23742, 26676, 57514
1033, 7120, 0, 0, 30633, 19761, 57514
1039, 7120, 0, 0, 29670, 20724, 57514
1045, 7120, 0, 0, 28848, 21546, 57514
1051, 7120, 0, 0, 27782, 22612, 57514
1057, 7120, 0, 0, 27031, 23363, 57514
1063, 7120, 0, 0, 26368, 24026, 57514
1069, 7120, 0, 0, 25338, 25056, 57514
1075, 7118, 0, 0, 34094, 16302, 57514
1081, 7118, 0, 0, 31319, 19077, 57514
1087, 7119, 0, 0, 29861, 20534, 57514
1093, 7118, 0, 0, 28516, 21880, 57514
1099, 7118, 0, 0, 27377, 23019, 57514
1105, 7118, 0, 0, 26530, 23866, 57514
1111, 7118, 0, 0, 25977, 24419, 57514
1117, 7110, 0, 0, 25769, 24635, 57514
