ts, default broker, CrocodileAgent, SPOT, COLDPower18, AgentUDE, total
359, 57507, 0, 0, 0, 0, 57507
360, 57507, 0, 0, 0, 0, 57507
361, 7113, 0, 0, 0, 50394, 57507
367, 6978, 98, 130, 0, 50301, 57507
373, 6924, 143, 192, 0, 50248, 57507
379, 6897, 170, 206, 0, 50234, 57507
385, 6958, 115, 200, 0, 50234, 57507
391, 6895, 171, 208, 0, 50233, 57507
397, 6872, 188, 211, 0, 50236, 57507
403, 6785, 738, 49577, 0, 407, 57507
409, 6860, 660, 49577, 0, 410, 57507
415, 6789, 731, 49577, 0, 410, 57507
421, 6758, 759, 49579, 0, 411, 57507
427, 6762, 758, 49575, 0, 412, 57507
433, 6733, 786, 49576, 0, 412, 57507
439, 6733, 785, 49578, 0, 411, 57507
445, 6754, 1115, 49483, 0, 155, 57507
451, 6790, 1659, 48904, 0, 154, 57507
457, 6822, 4563, 45966, 0, 156, 57507
463, 6866, 7345, 43141, 0, 155, 57507
469, 6661, 21644, 29045, 0, 157, 57507
475, 6636, 30532, 20182, 0, 157, 57507
481, 6736, 33561, 17051, 0, 159, 57507
487, 6788, 37659, 13052, 0, 8, 57507
493, 6736, 40454, 10288, 0, 29, 57507
499, 6798, 44018, 6656, 0, 35, 57507
505, 6830, 45735, 4909, 0, 33, 57507
511, 6783, 47754, 2939, 0, 31, 57507
517, 6586, 48301, 2579, 0, 41, 57507
523, 6644, 47904, 2933, 0, 26, 57507
529, 6735, 47654, 3087, 0, 31, 57507
535, 6710, 45643, 5090, 0, 64, 57507
541, 6613, 42729, 7933, 0, 232, 57507
547, 6587, 39699, 10895, 0, 326, 57507
553, 6665, 34381, 15950, 0, 511, 57507
559, 6693, 27529, 22143, 0, 1142, 57507
565, 6763, 24013, 25353, 0, 1378, 57507
571, 6751, 18739, 32010, 0, 7, 57507
577, 6745, 15521, 35233, 0, 8, 57507
583, 6787, 11905, 38807, 0, 8, 57507
589, 6915, 8149, 42369, 0, 74, 57507
595, 6891, 7306, 43222, 0, 88, 57507
601, 6842, 6005, 44560, 0, 100, 57507
607, 6821, 5483, 45098, 0, 105, 57507
613, 6809, 5472, 45206, 0, 20, 57507
619, 6787, 7885, 42820, 0, 15, 57507
625, 6667, 13046, 37780, 0, 14, 57507
631, 6725, 16134, 34639, 0, 9, 57507
637, 6759, 20697, 30040, 0, 11, 57507
643, 6784, 27862, 22848, 0, 13, 57507
649, 6762, 34122, 16611, 0, 12, 57507
655, 6859, 40272, 10369, 0, 7, 57507
661, 6695, 42553, 8249, 0, 10, 57507
667, 6652, 43745, 7097, 0, 13, 57507
673, 6638, 45735, 5120, 0, 14, 57507
679, 6704, 47329, 3461, 0, 13, 57507
685, 6779, 47423, 3292, 0, 13, 57507
691, 6778, 46984, 3730, 0, 15, 57507
697, 6728, 44275, 6409, 0, 95, 57507
703, 6785, 42098, 8528, 0, 96, 57507
709, 6860, 37517, 12844, 0, 286, 57507
715, 6842, 36170, 14210, 0, 285, 57507
721, 6793, 29617, 20902, 0, 195, 57507
727, 6750, 25967, 24594, 0, 196, 57507
733, 6465, 19726, 31064, 0, 252, 57507
739, 6389, 16221, 34890, 0, 7, 57507
