ts, default broker, CrocodileAgent, Bunnie, total
359, 57517, 0, 0, 57517
360, 57517, 0, 0, 57517
361, 6905, 2, 50610, 57517
367, 6778, 132, 50607, 57517
373, 6864, 95, 50558, 57517
379, 6876, 91, 50550, 57517
385, 6736, 205, 50576, 57517
391, 6746, 233, 50538, 57517
397, 6532, 312, 50673, 57517
403, 6222, 447, 50848, 57517
409, 6252, 403, 50862, 57517
415, 6331, 329, 50857, 57517
421, 6271, 332, 50914, 57517
427, 6380, 267, 50870, 57517
433, 6537, 327, 50653, 57517
439, 6718, 389, 50410, 57517
445, 6788, 788, 49941, 57517
451, 6793, 1899, 48825, 57517
457, 6679, 4177, 46661, 57517
463, 6686, 4975, 45856, 57517
469, 6414, 6816, 44287, 57517
475, 6396, 7693, 43428, 57517
481, 6501, 8833, 42183, 57517
487, 6536, 9150, 41831, 57517
493, 6275, 9455, 41787, 57517
499, 6131, 9623, 41763, 57517
505, 6214, 9521, 41782, 57517
511, 6298, 9317, 41902, 57517
517, 6446, 8962, 42109, 57517
523, 6612, 7897, 43008, 57517
529, 6526, 5973, 45018, 57517
535, 6621, 5185, 45711, 57517
541, 6696, 3775, 47046, 57517
547, 6720, 3218, 47579, 57517
553, 6739, 2620, 48158, 57517
559, 6728, 2169, 48620, 57517
565, 6705, 2078, 48734, 57517
571, 6735, 1176, 49606, 57517
577, 6602, 882, 50033, 57517
583, 6616, 717, 50184, 57517
589, 6471, 587, 50459, 57517
595, 6514, 596, 50407, 57517
601, 6556, 510, 50451, 57517
607, 6545, 502, 50470, 57517
613, 5776, 1506, 50235, 57517
619, 5393, 2605, 49519, 57517
625, 5809, 4152, 47556, 57517
631, 6332, 5581, 45604, 57517
637, 6544, 6685, 44288, 57517
643, 6645, 7257, 43615, 57517
649, 6715, 7533, 43269, 57517
655, 6765, 7989, 42763, 57517
661, 6758, 8023, 42736, 57517
667, 6842, 7956, 42719, 57517
673, 6696, 7922, 42899, 57517
679, 6745, 7710, 43062, 57517
685, 6796, 7480, 43241, 57517
691, 6738, 7082, 43697, 57517
697, 6789, 6342, 44386, 57517
703, 6837, 5135, 45545, 57517
709, 6641, 3782, 47094, 57517
715, 6783, 2513, 48221, 57517
721, 6719, 1600, 49198, 57517
727, 6767, 1089, 49661, 57517
733, 6805, 1003, 49709, 57517
739, 6816, 871, 49830, 57517
745, 6806, 715, 49996, 57517
751, 6808, 564, 50145, 57517
757, 6768, 456, 50293, 57517
763, 6719, 438, 50360, 57517
769, 6759, 344, 50414, 57517
775, 6779, 291, 50447, 57517
781, 6773, 901, 49843, 57517
787, 6753, 1165, 49599, 57517
793, 6691, 2263, 48563, 57517
799, 6701, 3338, 47478, 57517
805, 6529, 4686, 46302, 57517
811, 6348, 5785, 45384, 57517
817, 6411, 7184, 43922, 57517
823, 6521, 7235, 43761, 57517
829, 6317, 7292, 43908, 57517
835, 6275, 7296, 43946, 57517
841, 6409, 7191, 43917, 57517
847, 6458, 7048, 44011, 57517
853, 6673, 6666, 44178, 57517
859, 6704, 5846, 44967, 57517
865, 6756, 5148, 45613, 57517
871, 6730, 4072, 46715, 57517
877, 6791, 3146, 47580, 57517
883, 6763, 2618, 48136, 57517
889, 6814, 2002, 48701, 57517
895, 6784, 1583, 49150, 57517
901, 6825, 1158, 49534, 57517
907, 6772, 1100, 49645, 57517
913, 6783, 917, 49817, 57517
919, 6826, 710, 49981, 57517
925, 6681, 788, 50048, 57517
931, 6493, 711, 50313, 57517
937, 6600, 538, 50379, 57517
943, 6570, 587, 50360, 57517
949, 6640, 613, 50264, 57517
955, 6687, 526, 50304, 57517
961, 6625, 2761, 48131, 57517
967, 6661, 3295, 47561, 57517
973, 6615, 5579, 45323, 57517
979, 6614, 6846, 44057, 57517
985, 6630, 7778, 43109, 57517
991, 6476, 8030, 43011, 57517
997, 6447, 8167, 42903, 57517
1003, 6577, 7996, 42944, 57517
1009, 6566, 8016, 42935, 57517
1015, 6725, 7862, 42930, 57517
1021, 6725, 7673, 43119, 57517
1027, 6739, 7257, 43521, 57517
1033, 6671, 6211, 44635, 57517
1039, 6748, 5773, 44996, 57517
1045, 6757, 4488, 46272, 57517
1051, 6745, 3878, 46894, 57517
1057, 6775, 2462, 48280, 57517
1063, 6795, 1616, 49106, 57517
1069, 6793, 1102, 49622, 57517
1075, 6713, 768, 50036, 57517
1081, 6730, 616, 50171, 57517
1087, 6590, 580, 50347, 57517
1093, 6434, 725, 50358, 57517
1099, 6065, 807, 50645, 57517
1105, 6264, 602, 50651, 57517
1111, 6502, 442, 50573, 57517
1117, 6613, 490, 50414, 57517
1123, 6739, 1004, 49774, 57517
1129, 6680, 3527, 47310, 57517
1135, 6555, 5179, 45783, 57517
1141, 6545, 7203, 43769, 57517
1147, 6590, 9210, 41717, 57517
1153, 6696, 11319, 39502, 57517
1159, 6793, 11419, 39305, 57517
1165, 6861, 11441, 39215, 57517
1171, 6802, 11458, 39257, 57517
1177, 6834, 11435, 39248, 57517
1183, 6830, 11441, 39246, 57517
1189, 6803, 11328, 39386, 57517
1195, 6726, 10945, 39846, 57517
1201, 6733, 10704, 40080, 57517
1207, 6741, 9740, 41036, 57517
1213, 6658, 8478, 42381, 57517
1219, 6687, 6278, 44552, 57517
1225, 6680, 4962, 45875, 57517
1231, 6728, 3000, 47789, 57517
1237, 6742, 1986, 48789, 57517
1243, 6764, 1553, 49200, 57517
1249, 6752, 1355, 49410, 57517
1255, 6738, 1314, 49465, 57517
1261, 6608, 954, 49955, 57517
1267, 6376, 1015, 50126, 57517
1273, 6430, 884, 50203, 57517
1279, 6595, 747, 50175, 57517
1285, 6644, 656, 50217, 57517
1291, 6822, 1438, 49257, 57517
1297, 6820, 2290, 48407, 57517
1303, 6795, 2724, 47998, 57517
1309, 6873, 4389, 46255, 57517
1315, 6913, 5456, 45148, 57517
1321, 6869, 6599, 44049, 57517
1327, 6712, 6684, 44121, 57517
1333, 6627, 6693, 44197, 57517
1339, 6547, 6570, 44400, 57517
1345, 6480, 6784, 44253, 57517
1351, 6599, 6571, 44347, 57517
1357, 6769, 6474, 44274, 57517
1363, 6796, 6100, 44621, 57517
1369, 6840, 5943, 44734, 57517
1375, 6771, 5380, 45366, 57517
1381, 6358, 4968, 46191, 57517
1387, 6219, 4841, 46457, 57517
1393, 6444, 2920, 48153, 57517
1399, 6483, 1787, 49247, 57517
1405, 6657, 1029, 49831, 57517
1411, 6786, 790, 49941, 57517
1417, 6750, 585, 50182, 57517
1423, 6695, 577, 50245, 57517
1429, 6701, 454, 50362, 57517
1435, 6630, 378, 50509, 57517
1441, 6678, 254, 50585, 57517
1447, 6731, 523, 50263, 57517
1453, 6744, 501, 50272, 57517
1459, 6736, 934, 49847, 57517
1465, 6704, 2633, 48180, 57517
1471, 6561, 2901, 48055, 57517
1477, 6653, 3616, 47248, 57517
1483, 6677, 5264, 45576, 57517
1489, 6668, 5735, 45114, 57517
1495, 6665, 6075, 44777, 57517
1501, 6563, 6152, 44802, 57517
1507, 6583, 6138, 44796, 57517
1513, 6487, 6183, 44847, 57517
1519, 6484, 6048, 44985, 57517
1525, 6100, 6114, 45303, 57517
1531, 6217, 5556, 45744, 57517
1537, 6333, 4846, 46338, 57517
1543, 6404, 4667, 46446, 57517
1549, 6418, 4081, 47018, 57517
1555, 6611, 2800, 48106, 57517
1561, 6564, 2261, 48692, 57517
1567, 6525, 1623, 49369, 57517
1573, 6580, 1231, 49706, 57517
1579, 6500, 1191, 49826, 57517
