ts, default broker, COLDPower18, EWIIS3, AgentUDE, Bunnie, total
359, 57512, 0, 0, 0, 0, 57512
360, 57512, 0, 0, 0, 0, 57512
361, 6918, 0, 404, 27026, 23164, 57512
367, 6935, 0, 200, 27055, 23322, 57512
373, 6745, 0, 135, 31698, 18934, 57512
379, 6668, 0, 86, 34342, 16416, 57512
385, 6738, 0, 67, 36071, 14636, 57512
391, 6761, 0, 74, 37050, 13627, 57512
397, 6518, 0, 72, 38144, 12778, 57512
403, 6622, 0, 165, 37758, 12967, 57512
409, 6791, 0, 52, 42967, 7702, 57512
415, 6856, 0, 101, 45812, 4743, 57512
421, 6949, 0, 80, 48265, 2218, 57512
427, 6928, 0, 57, 49118, 1409, 57512
433, 6947, 0, 56, 49685, 824, 57512
439, 6956, 0, 59, 49884, 613, 57512
445, 6974, 0, 215, 27054, 23269, 57512
451, 7009, 0, 170, 27058, 23275, 57512
457, 6933, 0, 198, 28772, 21609, 57512
463, 6912, 0, 139, 29477, 20984, 57512
469, 6449, 0, 92, 30127, 20844, 57512
475, 6571, 0, 51, 32167, 18723, 57512
481, 6643, 0, 46, 33754, 17069, 57512
487, 6855, 0, 45, 10585, 40027, 57512
493, 6888, 0, 42, 11291, 39291, 57512
499, 6924, 0, 41, 13221, 37326, 57512
505, 6950, 0, 42, 14996, 35524, 57512
511, 6910, 0, 42, 16432, 34128, 57512
517, 6822, 0, 35, 18469, 32186, 57512
523, 6880, 0, 36, 19678, 30918, 57512
529, 6915, 0, 33, 7586, 42978, 57512
535, 6903, 0, 35, 8114, 42460, 57512
541, 6897, 0, 34, 9946, 40635, 57512
547, 6951, 0, 34, 11622, 38905, 57512
553, 6959, 0, 34, 13088, 37431, 57512
559, 6968, 0, 35, 13483, 37026, 57512
565, 6935, 0, 37, 14085, 36455, 57512
571, 6893, 0, 37, 11395, 39187, 57512
577, 6984, 0, 35, 15922, 34571, 57512
583, 7006, 0, 35, 18650, 31821, 57512
589, 6990, 0, 33, 21407, 29082, 57512
595, 6990, 0, 33, 23335, 27154, 57512
601, 6867, 0, 33, 27096, 23516, 57512
607, 6876, 0, 35, 29135, 21466, 57512
613, 6822, 0, 36, 13456, 37198, 57512
619, 6806, 0, 34, 14245, 36427, 57512
625, 6861, 0, 31, 16417, 34203, 57512
631, 6926, 0, 31, 18480, 32075, 57512
637, 6994, 0, 31, 19928, 30559, 57512
643, 7027, 0, 31, 21402, 29052, 57512
649, 7000, 0, 30, 23229, 27253, 57512
655, 6926, 0, 66, 10755, 39765, 57512
661, 6940, 0, 66, 11829, 38677, 57512
667, 6904, 0, 66, 14342, 36200, 57512
673, 6908, 0, 60, 16968, 33576, 57512
679, 6890, 0, 58, 19035, 31529, 57512
685, 6817, 0, 30, 20823, 29842, 57512
691, 6825, 0, 28, 23872, 26787, 57512
697, 6855, 0, 29, 15646, 34982, 57512
703, 6837, 0, 28, 16933, 33714, 57512
709, 6776, 0, 30, 20968, 29738, 57512
715, 6858, 0, 29, 23349, 27276, 57512
721, 6834, 0, 29, 25703, 24946, 57512
727, 6756, 0, 24, 27315, 23417, 57512
733, 6796, 0, 24, 28828, 21864, 57512
739, 6871, 0, 24, 28578, 22039, 57512
745, 6825, 0, 23, 31225, 19439, 57512
751, 6886, 0, 23, 33621, 16982, 57512
757, 6866, 0, 25, 37451, 13170, 57512
763, 6896, 0, 23, 39810, 10783, 57512
769, 6946, 0, 25, 41846, 8695, 57512
775, 6990, 0, 24, 42034, 8464, 57512
781, 6985, 0, 21, 25763, 24743, 57512
787, 6900, 0, 19, 26380, 24213, 57512
