ts, default broker, CrocodileAgent, COLDPower18, AgentUDE, Bunnie, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 6753, 5136, 0, 27463, 18154, 57506
367, 6610, 5165, 0, 27467, 18264, 57506
373, 6721, 5197, 0, 30624, 14964, 57506
379, 6724, 5171, 0, 31437, 14174, 57506
385, 6589, 5217, 0, 33050, 12650, 57506
391, 6540, 5235, 0, 34263, 11468, 57506
397, 6376, 5343, 0, 35710, 10077, 57506
403, 6534, 5036, 0, 2233, 43703, 57506
409, 6617, 4885, 0, 291, 45713, 57506
415, 6572, 4671, 0, 119, 46144, 57506
421, 6545, 4510, 0, 107, 46344, 57506
427, 6571, 4331, 0, 108, 46496, 57506
433, 6635, 3441, 0, 237, 47193, 57506
439, 6576, 2100, 0, 237, 48593, 57506
445, 6329, 507, 0, 491, 50179, 57506
451, 6416, 352, 0, 640, 50098, 57506
457, 6477, 320, 0, 795, 49914, 57506
463, 6579, 234, 0, 791, 49902, 57506
469, 6702, 180, 0, 941, 49683, 57506
475, 6709, 132, 0, 944, 49721, 57506
481, 6730, 154, 0, 1238, 49384, 57506
487, 6758, 129, 0, 235, 50384, 57506
493, 6715, 210, 0, 52, 50529, 57506
499, 6753, 843, 0, 53, 49857, 57506
505, 6753, 2776, 0, 53, 47924, 57506
511, 6787, 3818, 0, 54, 46847, 57506
517, 6797, 4947, 0, 60, 45702, 57506
523, 6642, 5876, 0, 63, 44925, 57506
529, 6671, 8367, 0, 10, 42458, 57506
535, 6506, 8792, 0, 10, 42198, 57506
541, 6536, 8921, 0, 10, 42039, 57506
547, 6543, 8919, 0, 15, 42029, 57506
553, 6461, 8956, 0, 11, 42078, 57506
559, 6460, 8965, 0, 11, 42070, 57506
565, 6630, 8576, 0, 10, 42290, 57506
571, 6736, 8033, 0, 6, 42731, 57506
577, 6774, 7556, 0, 5, 43171, 57506
583, 6770, 6688, 0, 9, 44039, 57506
589, 6871, 5743, 0, 124, 44768, 57506
595, 6645, 4855, 0, 125, 45881, 57506
601, 6480, 4066, 0, 124, 46836, 57506
607, 6475, 3046, 0, 126, 47859, 57506
613, 6313, 2359, 0, 7, 48827, 57506
619, 6326, 1836, 0, 4, 49340, 57506
625, 6409, 1413, 0, 4, 49680, 57506
631, 6352, 1350, 0, 5, 49799, 57506
637, 6438, 948, 0, 7, 50113, 57506
643, 6536, 714, 0, 7, 50249, 57506
649, 6655, 576, 0, 7, 50268, 57506
655, 6671, 243, 0, 6, 50586, 57506
661, 6715, 420, 0, 8, 50363, 57506
667, 6705, 2660, 0, 11, 48130, 57506
673, 6748, 8471, 0, 9, 42278, 57506
679, 6753, 11137, 0, 9, 39607, 57506
685, 6667, 17829, 0, 10, 33000, 57506
691, 6742, 21318, 0, 17, 29429, 57506
697, 6735, 24827, 0, 5, 25939, 57506
703, 6724, 25531, 0, 6, 25245, 57506
709, 6812, 25605, 0, 5, 25084, 57506
715, 6824, 25601, 0, 29, 25052, 57506
721, 6687, 25591, 0, 30, 25198, 57506
727, 6709, 25462, 0, 25, 25310, 57506
733, 6478, 24574, 0, 20, 26434, 57506
