ts, default broker, CrocodileAgent, SPOT, COLDPower18, Bunnie, total
359, 57516, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 57516
361, 6797, 0, 104, 0, 50615, 57516
367, 6788, 105, 98, 0, 50525, 57516
373, 6720, 95, 98, 0, 50603, 57516
379, 6625, 146, 98, 0, 50647, 57516
385, 6626, 146, 94, 0, 50650, 57516
391, 6633, 123, 93, 0, 50667, 57516
397, 6234, 295, 94, 0, 50893, 57516
403, 6102, 369, 95, 0, 50950, 57516
409, 6216, 343, 98, 0, 50859, 57516
415, 6191, 376, 99, 0, 50850, 57516
421, 6221, 515, 100, 0, 50680, 57516
427, 6364, 408, 400, 0, 50344, 57516
433, 6464, 363, 95, 0, 50594, 57516
439, 6560, 339, 50, 0, 50567, 57516
445, 6644, 284, 57, 0, 50531, 57516
451, 6669, 1247, 47, 0, 49553, 57516
457, 6572, 1633, 56, 0, 49255, 57516
463, 6619, 2159, 51, 0, 48687, 57516
469, 6564, 4629, 95, 0, 46228, 57516
475, 6610, 5864, 98, 0, 44944, 57516
481, 6647, 7133, 95, 0, 43641, 57516
487, 6626, 7647, 95, 0, 43148, 57516
493, 6768, 7533, 216, 0, 42999, 57516
499, 6730, 7546, 216, 0, 43024, 57516
505, 6717, 7557, 217, 0, 43025, 57516
511, 6727, 7556, 217, 0, 43016, 57516
517, 6498, 7671, 216, 0, 43131, 57516
523, 6498, 7329, 214, 0, 43475, 57516
529, 6488, 6904, 214, 0, 43910, 57516
535, 6603, 6500, 154, 0, 44259, 57516
541, 6201, 5339, 153, 0, 45823, 57516
547, 6264, 3889, 154, 0, 47209, 57516
553, 6312, 3464, 155, 0, 47585, 57516
559, 6294, 2545, 165, 0, 48512, 57516
565, 6232, 1973, 94, 0, 49217, 57516
571, 6137, 1771, 95, 0, 49513, 57516
577, 6154, 1494, 95, 0, 49773, 57516
583, 6174, 1330, 97, 0, 49915, 57516
589, 6485, 948, 97, 0, 49986, 57516
595, 6648, 724, 96, 0, 50048, 57516
601, 6643, 547, 94, 0, 50232, 57516
607, 6512, 513, 94, 0, 50397, 57516
613, 6626, 572, 94, 0, 50224, 57516
619, 6697, 863, 94, 0, 49862, 57516
625, 6758, 4045, 95, 0, 46618, 57516
631, 6799, 5149, 94, 0, 45474, 57516
637, 6735, 6283, 95, 0, 44403, 57516
643, 6631, 8072, 96, 0, 42717, 57516
649, 6642, 8551, 95, 0, 42228, 57516
655, 6798, 8662, 95, 0, 41961, 57516
661, 6244, 8914, 94, 0, 42264, 57516
667, 6228, 8879, 96, 0, 42313, 57516
673, 6372, 8789, 96, 0, 42259, 57516
679, 6483, 8680, 96, 0, 42257, 57516
685, 6610, 8560, 96, 0, 42250, 57516
691, 6602, 8246, 96, 0, 42572, 57516
697, 6593, 6977, 96, 0, 43850, 57516
703, 6621, 5235, 94, 0, 45566, 57516
709, 6682, 4211, 94, 0, 46529, 57516
715, 6690, 3056, 125, 0, 47645, 57516
721, 6645, 2232, 125, 0, 48514, 57516
727, 6701, 1872, 135, 0, 48808, 57516
733, 6482, 1480, 135, 0, 49419, 57516
739, 6431, 1073, 126, 0, 49886, 57516
745, 6496, 866, 126, 0, 50028, 57516
751, 6553, 604, 126, 0, 50233, 57516
757, 6607, 473, 125, 0, 50311, 57516
763, 6718, 316, 125, 0, 50357, 57516
769, 6606, 325, 94, 0, 50491, 57516
775, 6649, 282, 94, 0, 50491, 57516
781, 6688, 391, 94, 0, 50343, 57516
787, 6642, 726, 95, 0, 50053, 57516
793, 6545, 1447, 95, 0, 49429, 57516
799, 6510, 2394, 93, 0, 48519, 57516
805, 6445, 3449, 93, 0, 47529, 57516
811, 6398, 4658, 93, 0, 46367, 57516
817, 6524, 4960, 95, 0, 45937, 57516
823, 6560, 5067, 95, 0, 45794, 57516
829, 6666, 5013, 94, 0, 45743, 57516
835, 6686, 4990, 94, 0, 45746, 57516
841, 6594, 5070, 94, 0, 45758, 57516
847, 6640, 4950, 94, 0, 45832, 57516
853, 6661, 4884, 94, 0, 45877, 57516
859, 6730, 4525, 94, 0, 46167, 57516
865, 6740, 4298, 95, 0, 46383, 57516
871, 6668, 4154, 94, 0, 46600, 57516
877, 6759, 3447, 94, 0, 47216, 57516
883, 6594, 2883, 95, 0, 47944, 57516
889, 6577, 2257, 97, 0, 48585, 57516
895, 6618, 1748, 96, 0, 49054, 57516
901, 6615, 1305, 96, 0, 49500, 57516
907, 6535, 1115, 95, 0, 49771, 57516
913, 6605, 793, 95, 0, 50023, 57516
919, 6560, 696, 95, 0, 50165, 57516
925, 6649, 472, 95, 0, 50300, 57516
931, 6566, 497, 94, 0, 50359, 57516
937, 6654, 397, 94, 0, 50371, 57516
