ts, default broker, CrocodileAgent, VidyutVanika, total
1429, 3464, 6666, 47394, 57524
1435, 3406, 6930, 47188, 57524
1441, 3558, 6997, 46969, 57524
1447, 3546, 7133, 46845, 57524
1453, 3505, 7347, 46672, 57524
1459, 3582, 7417, 46525, 57524
1465, 3511, 7262, 46751, 57524
1471, 3434, 6727, 47363, 57524
1477, 3369, 6039, 48116, 57524
1483, 3294, 5164, 49066, 57524
1489, 3429, 4675, 49420, 57524
1495, 3484, 3870, 50170, 57524
1501, 3561, 3563, 50400, 57524
1507, 3738, 3085, 50701, 57524
1513, 3718, 2607, 51199, 57524
1519, 3867, 2085, 51572, 57524
1525, 3807, 1585, 52132, 57524
1531, 3851, 1342, 52331, 57524
1537, 3593, 1184, 52747, 57524
1543, 3615, 1274, 52635, 57524
1549, 3763, 1282, 52479, 57524
1555, 3713, 1299, 52512, 57524
1561, 3644, 2525, 51355, 57524
1567, 3556, 3908, 50060, 57524
1573, 3565, 4732, 49227, 57524
1579, 3529, 5891, 48104, 57524
1585, 3370, 6724, 47430, 57524
1591, 3415, 7384, 46725, 57524
1597, 3482, 7792, 46250, 57524
1603, 3459, 7529, 46536, 57524
1609, 3418, 7670, 46436, 57524
1615, 3461, 7583, 46480, 57524
1621, 3398, 7355, 46771, 57524
1627, 3337, 7358, 46829, 57524
1633, 3505, 6882, 47137, 57524
1639, 3475, 6048, 48001, 57524
1645, 3392, 5452, 48680, 57524
1651, 3569, 4422, 49533, 57524
1657, 3645, 3513, 50366, 57524
1663, 3654, 2878, 50992, 57524
1669, 3649, 2158, 51717, 57524
1675, 3478, 1783, 52263, 57524
1681, 3430, 1562, 52532, 57524
1687, 3528, 1495, 52501, 57524
1693, 3515, 1130, 52879, 57524
1699, 3569, 1004, 52951, 57524
1705, 3532, 1186, 52806, 57524
1711, 3561, 1038, 52925, 57524
1717, 3477, 1127, 52920, 57524
