ts, default broker, CrocodileAgent, EWIIS3, AgentUDE, Bunnie, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6676, 5917, 185, 25429, 19303, 57510
367, 6687, 5938, 99, 25510, 19276, 57510
373, 6502, 6689, 100, 27941, 16278, 57510
379, 6416, 7255, 103, 29824, 13912, 57510
385, 6488, 7445, 80, 32062, 11435, 57510
391, 6586, 7408, 53, 33076, 10387, 57510
397, 6712, 7325, 88, 34600, 8785, 57510
403, 6690, 7472, 435, 33, 42880, 57510
409, 6748, 7414, 349, 33, 42966, 57510
415, 6685, 7446, 320, 33, 43026, 57510
421, 6751, 7416, 294, 33, 43016, 57510
427, 6705, 7425, 297, 33, 43050, 57510
433, 6661, 5928, 373, 33, 44515, 57510
439, 6671, 5154, 320, 35, 45330, 57510
445, 6570, 4277, 311, 3, 46349, 57510
451, 6589, 3221, 291, 3, 47406, 57510
457, 6578, 2545, 301, 3, 48083, 57510
463, 6663, 1694, 255, 3, 48895, 57510
469, 6648, 1487, 241, 3, 49131, 57510
475, 6575, 1269, 214, 4, 49448, 57510
481, 6541, 1079, 192, 3, 49695, 57510
487, 6582, 878, 190, 4, 49856, 57510
493, 6492, 749, 149, 4, 50116, 57510
499, 6512, 637, 147, 4, 50210, 57510
505, 6493, 610, 142, 4, 50261, 57510
511, 6477, 628, 138, 4, 50263, 57510
517, 6429, 559, 121, 6, 50395, 57510
523, 6438, 588, 117, 5, 50362, 57510
529, 6513, 2057, 115, 7, 48818, 57510
535, 6533, 2495, 91, 7, 48384, 57510
541, 6663, 3303, 89, 8, 47447, 57510
547, 6496, 3641, 89, 7, 47277, 57510
553, 6640, 4038, 67, 7, 46758, 57510
559, 6667, 4111, 65, 10, 46657, 57510
565, 6625, 4194, 55, 8, 46628, 57510
571, 6595, 4130, 55, 12, 46718, 57510
577, 6531, 4135, 54, 16, 46774, 57510
583, 6488, 4132, 53, 159, 46678, 57510
589, 6660, 4060, 53, 299, 46438, 57510
595, 6637, 4032, 53, 303, 46485, 57510
601, 6664, 3646, 51, 310, 46839, 57510
607, 6518, 3224, 51, 283, 47434, 57510
613, 6296, 1718, 50, 10, 49436, 57510
619, 6348, 1196, 48, 7, 49911, 57510
625, 6380, 719, 47, 5, 50359, 57510
631, 6517, 500, 48, 6, 50439, 57510
637, 6658, 374, 50, 4, 50424, 57510
643, 6644, 386, 39, 4, 50437, 57510
649, 6611, 321, 39, 5, 50534, 57510
655, 6706, 235, 39, 5, 50525, 57510
661, 6816, 220, 39, 4, 50431, 57510
667, 6776, 276, 38, 5, 50415, 57510
673, 6769, 295, 39, 5, 50402, 57510
679, 6795, 442, 39, 6, 50228, 57510
685, 6800, 561, 38, 107, 50004, 57510
691, 6822, 1444, 36, 87, 49121, 57510
697, 6841, 3091, 37, 7, 47534, 57510
703, 6849, 4148, 38, 7, 46468, 57510
709, 6775, 4947, 27, 107, 45654, 57510
715, 6750, 5516, 27, 107, 45110, 57510
721, 6793, 6443, 28, 107, 44139, 57510
727, 6776, 7048, 28, 107, 43551, 57510
733, 6709, 7069, 26, 107, 43599, 57510
739, 6703, 7148, 28, 4, 43627, 57510
745, 6694, 7162, 28, 4, 43622, 57510
751, 6745, 7000, 28, 4, 43733, 57510
757, 6625, 6940, 26, 4, 43915, 57510
763, 6630, 6097, 28, 5, 44750, 57510
769, 6636, 4518, 30, 4, 46322, 57510
775, 6666, 3374, 30, 4, 47436, 57510
781, 6674, 3132, 30, 3, 47671, 57510
787, 6735, 2818, 19, 3, 47935, 57510
793, 6721, 2244, 19, 3, 48523, 57510
799, 6739, 1996, 18, 3, 48754, 57510
805, 6720, 1538, 18, 3, 49231, 57510
811, 6639, 1022, 19, 3, 49827, 57510
817, 6676, 726, 20, 3, 50085, 57510
823, 6725, 656, 20, 3, 50106, 57510
829, 6745, 511, 20, 3, 50231, 57510
835, 6788, 332, 19, 5, 50366, 57510
841, 6642, 474, 18, 5, 50371, 57510
847, 6632, 482, 17, 6, 50373, 57510
853, 6584, 1403, 18, 6, 49499, 57510
859, 6630, 1827, 18, 6, 49029, 57510
865, 6636, 3610, 18, 6, 47240, 57510
871, 6679, 4670, 17, 4, 46140, 57510
877, 6498, 6093, 18, 4, 44897, 57510
883, 6589, 6521, 19, 4, 44377, 57510
889, 6748, 7165, 19, 3, 43575, 57510
895, 6727, 7518, 18, 3, 43244, 57510
901, 6669, 7852, 16, 3, 42970, 57510
907, 6774, 7789, 17, 5, 42925, 57510
913, 6811, 7735, 17, 7, 42940, 57510
919, 6815, 7743, 18, 10, 42924, 57510
925, 6626, 7791, 18, 11, 43064, 57510
931, 6647, 7543, 16, 13, 43291, 57510
937, 6707, 6488, 16, 14, 44285, 57510
943, 6679, 5408, 17, 14, 45392, 57510
949, 6524, 4547, 18, 3, 46418, 57510
955, 6571, 3504, 19, 4, 47412, 57510
961, 6543, 2665, 20, 4, 48278, 57510
967, 6557, 1686, 20, 3, 49244, 57510
973, 6488, 1427, 20, 3, 49572, 57510
979, 6523, 1329, 19, 3, 49636, 57510
985, 6545, 1099, 18, 4, 49844, 57510
991, 6617, 1040, 19, 6, 49828, 57510
997, 6560, 805, 19, 6, 50120, 57510
1003, 6629, 580, 17, 6, 50278, 57510
1009, 6722, 438, 17, 6, 50327, 57510
1015, 6717, 584, 17, 156, 50036, 57510
1021, 6615, 713, 17, 156, 50009, 57510
1027, 6625, 1445, 17, 155, 49268, 57510
1033, 6676, 3830, 18, 3, 46983, 57510
1039, 6760, 4736, 18, 3, 45993, 57510
1045, 6787, 6002, 19, 6, 44696, 57510
1051, 6742, 6537, 19, 6, 44206, 57510
1057, 6581, 7555, 19, 6, 43349, 57510
1063, 6611, 8035, 18, 6, 42840, 57510
1069, 6410, 8099, 20, 6, 42975, 57510
1075, 6361, 8183, 18, 11, 42937, 57510
1081, 6534, 8032, 17, 15, 42912, 57510
1087, 6432, 8107, 17, 19, 42935, 57510
1093, 6533, 8034, 17, 23, 42903, 57510
