ts, default broker, CrocodileAgent, COLDPower18, VidyutVanika, Bunnie, total
359, 57501, 0, 0, 0, 0, 57501
360, 57501, 0, 0, 0, 0, 57501
361, 8, 7166, 0, 25259, 25068, 57501
367, 4, 7171, 0, 25256, 25070, 57501
373, 4, 8114, 0, 26917, 22466, 57501
379, 4, 8637, 0, 28865, 19995, 57501
385, 4, 8821, 0, 29757, 18919, 57501
391, 3, 9085, 0, 30069, 18344, 57501
397, 2, 9080, 0, 30165, 18254, 57501
403, 6, 9071, 0, 30156, 18268, 57501
409, 5, 9063, 0, 30163, 18270, 57501
415, 4, 9061, 0, 30161, 18275, 57501
421, 5, 9064, 0, 30159, 18273, 57501
427, 5, 9062, 0, 30160, 18274, 57501
433, 6, 7333, 0, 25987, 24175, 57501
439, 7, 5603, 0, 22345, 29546, 57501
445, 7, 4301, 0, 19962, 33231, 57501
451, 7, 3331, 0, 16804, 37359, 57501
457, 5, 2662, 0, 14661, 40173, 57501
463, 5, 1974, 0, 12704, 42818, 57501
469, 5, 1278, 0, 10906, 45312, 57501
475, 5, 901, 0, 9934, 46661, 57501
481, 4, 704, 0, 9332, 47461, 57501
487, 5, 460, 0, 8474, 48562, 57501
493, 5, 458, 0, 8453, 48585, 57501
499, 4, 382, 0, 8022, 49093, 57501
505, 6, 237, 0, 7868, 49390, 57501
511, 6, 238, 0, 8043, 49214, 57501
517, 7, 608, 0, 10223, 46663, 57501
523, 6, 1583, 0, 14133, 41779, 57501
529, 6, 2392, 0, 16846, 38257, 57501
535, 7, 3740, 0, 19035, 34719, 57501
541, 4, 4537, 0, 20354, 32606, 57501
547, 4, 4830, 0, 21275, 31392, 57501
553, 3, 5453, 0, 22022, 30023, 57501
559, 3, 5501, 0, 22062, 29935, 57501
565, 5, 5447, 0, 21938, 30111, 57501
571, 4, 5385, 0, 21907, 30205, 57501
577, 2, 5305, 0, 21767, 30427, 57501
583, 3, 5307, 0, 21518, 30673, 57501
589, 3, 5183, 0, 21336, 30979, 57501
595, 3, 4575, 0, 19250, 33673, 57501
601, 5, 4010, 0, 17454, 36032, 57501
607, 7, 3029, 0, 14841, 39624, 57501
613, 8, 2262, 0, 13242, 41989, 57501
619, 4, 1821, 0, 11613, 44063, 57501
625, 5, 1372, 0, 10446, 45678, 57501
631, 4, 1045, 0, 9671, 46781, 57501
637, 1, 682, 0, 9093, 47725, 57501
643, 2, 523, 0, 8741, 48235, 57501
