ts, default broker, CrocodileAgent, SPOT, COLDPower18, Bunnie, total
745, 6768, 1015, 95, 0, 49625, 57503
751, 6750, 799, 95, 0, 49859, 57503
757, 6821, 569, 95, 0, 50018, 57503
763, 6781, 558, 96, 0, 50068, 57503
769, 6728, 518, 96, 0, 50161, 57503
775, 6723, 462, 97, 0, 50221, 57503
781, 6611, 675, 97, 0, 50120, 57503
787, 6326, 1011, 97, 0, 50069, 57503
793, 6406, 3167, 98, 0, 47832, 57503
799, 6434, 4111, 96, 0, 46862, 57503
805, 6523, 6524, 97, 0, 44359, 57503
811, 6545, 7064, 98, 0, 43796, 57503
817, 6611, 8112, 94, 0, 42686, 57503
823, 6585, 8366, 95, 0, 42457, 57503
829, 6067, 8604, 95, 0, 42737, 57503
835, 6183, 8493, 95, 0, 42732, 57503
841, 6358, 8336, 94, 0, 42715, 57503
847, 6365, 8234, 96, 0, 42808, 57503
853, 6440, 8111, 95, 0, 42857, 57503
859, 6460, 7771, 95, 0, 43177, 57503
865, 6383, 6828, 94, 0, 44198, 57503
871, 6474, 5574, 95, 0, 45360, 57503
877, 6419, 4694, 96, 0, 46294, 57503
883, 6306, 3519, 96, 0, 47582, 57503
889, 6391, 2882, 95, 0, 48135, 57503
895, 6470, 2510, 97, 0, 48426, 57503
901, 6438, 1799, 97, 0, 49169, 57503
907, 6455, 1594, 96, 0, 49358, 57503
913, 6510, 1204, 96, 0, 49693, 57503
919, 6545, 850, 94, 0, 50014, 57503
925, 6460, 816, 95, 0, 50132, 57503
931, 6505, 549, 95, 0, 50354, 57503
937, 6587, 463, 95, 0, 50358, 57503
943, 6574, 440, 95, 0, 50394, 57503
949, 6441, 1458, 96, 0, 49508, 57503
955, 6546, 2412, 99, 0, 48446, 57503
961, 6487, 3399, 99, 0, 47518, 57503
967, 6517, 4486, 98, 0, 46402, 57503
973, 6491, 6693, 97, 0, 44222, 57503
979, 5883, 7375, 96, 0, 44149, 57503
985, 6023, 9150, 94, 0, 42236, 57503
991, 6267, 9562, 95, 0, 41579, 57503
997, 6658, 9368, 94, 0, 41383, 57503
1003, 6818, 9215, 94, 0, 41376, 57503
1009, 6833, 9106, 95, 0, 41469, 57503
1015, 6829, 8733, 97, 0, 41844, 57503
1021, 6808, 8192, 96, 0, 42407, 57503
1027, 6578, 7071, 96, 0, 43758, 57503
1033, 6587, 5898, 97, 0, 44921, 57503
1039, 6572, 4845, 97, 0, 45989, 57503
1045, 6421, 4581, 97, 0, 46404, 57503
1051, 6449, 3817, 97, 0, 47140, 57503
1057, 6562, 3102, 96, 0, 47743, 57503
1063, 6657, 1786, 96, 0, 48964, 57503
1069, 6663, 1452, 95, 0, 49293, 57503
1075, 6714, 1127, 96, 0, 49566, 57503
1081, 6775, 1021, 95, 0, 49612, 57503
1087, 6744, 858, 95, 0, 49806, 57503
1093, 6839, 737, 94, 0, 49833, 57503
1099, 6800, 599, 94, 0, 50010, 57503
1105, 6678, 473, 94, 0, 50258, 57503
1111, 6722, 340, 94, 0, 50347, 57503
1117, 6473, 632, 96, 0, 50302, 57503
1123, 6341, 1334, 97, 0, 49731, 57503
1129, 6372, 2452, 97, 0, 48582, 57503
1135, 6294, 3382, 95, 0, 47732, 57503
1141, 6263, 4907, 96, 0, 46237, 57503
1147, 6159, 6046, 95, 0, 45203, 57503
1153, 6415, 6086, 96, 0, 44906, 57503
1159, 6379, 6400, 55, 0, 44669, 57503
1165, 6429, 6310, 43, 0, 44721, 57503
1171, 6461, 6251, 37, 0, 44754, 57503
1177, 6589, 6073, 37, 0, 44804, 57503
1183, 6687, 5956, 41, 0, 44819, 57503
1189, 6827, 5747, 40, 0, 44889, 57503
1195, 6769, 5300, 44, 0, 45390, 57503
1201, 6698, 5108, 65, 0, 45632, 57503
1207, 6772, 4318, 92, 0, 46321, 57503
1213, 6770, 2963, 97, 0, 47673, 57503
1219, 6682, 2287, 97, 0, 48437, 57503
1225, 6714, 1893, 98, 0, 48798, 57503
1231, 6652, 1457, 97, 0, 49297, 57503
1237, 6299, 1257, 98, 0, 49849, 57503
1243, 6003, 1057, 98, 0, 50345, 57503
1249, 6223, 809, 96, 0, 50375, 57503
1255, 6316, 581, 97, 0, 50509, 57503
1261, 6331, 548, 97, 0, 50527, 57503
1267, 6446, 403, 97, 0, 50557, 57503
1273, 6440, 438, 96, 0, 50529, 57503
1279, 6681, 353, 98, 0, 50371, 57503
1285, 6822, 511, 98, 0, 50072, 57503
1291, 6857, 2114, 244, 0, 48288, 57503
1297, 6836, 2684, 214, 0, 47769, 57503
1303, 6823, 3705, 187, 0, 46788, 57503
1309, 6551, 5233, 186, 0, 45533, 57503
1315, 6583, 6340, 127, 0, 44453, 57503
1321, 6641, 7670, 127, 0, 43065, 57503
1327, 6705, 7967, 127, 0, 42704, 57503
1333, 6399, 8305, 95, 0, 42704, 57503
1339, 6025, 8661, 97, 0, 42720, 57503
1345, 6288, 8219, 96, 0, 42900, 57503
1351, 6422, 7027, 96, 0, 43958, 57503
1357, 6537, 6453, 96, 0, 44417, 57503
1363, 6552, 5397, 94, 0, 45460, 57503
1369, 6610, 4178, 94, 0, 46621, 57503
1375, 6627, 3457, 94, 0, 47325, 57503
1381, 6769, 2894, 94, 0, 47746, 57503
1387, 6773, 2197, 94, 0, 48439, 57503
1393, 6700, 1874, 95, 0, 48834, 57503
1399, 6615, 1730, 96, 0, 49062, 57503
1405, 6391, 1517, 97, 0, 49498, 57503
1411, 6419, 1169, 98, 0, 49817, 57503
1417, 6411, 799, 97, 0, 50196, 57503
1423, 6524, 602, 96, 0, 50281, 57503
1429, 6494, 509, 95, 0, 50405, 57503
1435, 6541, 448, 96, 0, 50418, 57503
1441, 6554, 398, 97, 0, 50454, 57503
1447, 6679, 293, 96, 0, 50435, 57503
1453, 6416, 718, 95, 0, 50274, 57503
1459, 6260, 1949, 95, 0, 49199, 57503
1465, 6353, 3670, 95, 0, 47385, 57503
1471, 6401, 4402, 95, 0, 46605, 57503
1477, 6596, 5817, 95, 0, 44995, 57503
1483, 6582, 6246, 94, 0, 44581, 57503
1489, 6550, 6398, 94, 0, 44461, 57503
1495, 6577, 6809, 95, 0, 44022, 57503
1501, 6605, 6749, 96, 0, 44053, 57503
1507, 6598, 6728, 96, 0, 44081, 57503
1513, 6597, 6686, 97, 0, 44123, 57503
1519, 6677, 6529, 96, 0, 44201, 57503
1525, 6754, 6441, 96, 0, 44212, 57503
1531, 6696, 5735, 95, 0, 44977, 57503
1537, 6740, 4592, 96, 0, 46075, 57503
1543, 6731, 4009, 96, 0, 46667, 57503
1549, 6250, 3414, 95, 0, 47744, 57503
1555, 6345, 3130, 94, 0, 47934, 57503
1561, 6468, 2437, 95, 0, 48503, 57503
1567, 6484, 1729, 95, 0, 49195, 57503
1573, 6601, 1326, 95, 0, 49481, 57503
1579, 6550, 795, 95, 0, 50063, 57503
1585, 6569, 728, 94, 0, 50112, 57503
1591, 6518, 639, 94, 0, 50252, 57503
1597, 6589, 552, 96, 0, 50266, 57503
1603, 6531, 457, 97, 0, 50418, 57503
1609, 6480, 422, 99, 0, 50502, 57503
1615, 6562, 415, 100, 0, 50426, 57503
1621, 6574, 842, 99, 0, 49988, 57503
1627, 6527, 1403, 99, 0, 49474, 57503
1633, 6587, 5683, 99, 0, 45134, 57503
1639, 6608, 7282, 96, 0, 43517, 57503
1645, 6297, 9005, 96, 0, 42105, 57503
1651, 6308, 10190, 97, 0, 40908, 57503
1657, 6316, 12043, 95, 0, 39049, 57503
1663, 6433, 11942, 95, 0, 39033, 57503
1669, 6434, 11908, 95, 0, 39066, 57503
1675, 6413, 11924, 97, 0, 39069, 57503
1681, 6478, 11802, 97, 0, 39126, 57503
