ts, default broker, CrocodileAgent, SPOT, COLDPower18, Bunnie, total
359, 57503, 0, 0, 0, 0, 57503
360, 57503, 0, 0, 0, 0, 57503
361, 6552, 181, 45, 0, 50725, 57503
367, 6690, 168, 83, 0, 50562, 57503
373, 6736, 130, 95, 0, 50542, 57503
379, 6664, 167, 97, 0, 50575, 57503
385, 6519, 338, 92, 0, 50554, 57503
391, 6523, 354, 93, 0, 50533, 57503
397, 6405, 429, 93, 0, 50576, 57503
403, 6482, 374, 94, 0, 50553, 57503
409, 6602, 287, 94, 0, 50520, 57503
415, 6636, 254, 94, 0, 50519, 57503
421, 6737, 183, 95, 0, 50488, 57503
427, 6709, 206, 96, 0, 50492, 57503
433, 6651, 215, 97, 0, 50540, 57503
439, 6517, 264, 248, 0, 50474, 57503
445, 6391, 515, 248, 0, 50349, 57503
451, 6532, 1170, 248, 0, 49553, 57503
457, 6521, 3018, 220, 0, 47744, 57503
463, 6546, 4071, 179, 0, 46707, 57503
469, 6526, 5377, 178, 0, 45422, 57503
475, 6515, 6371, 167, 0, 44450, 57503
481, 6585, 7058, 166, 0, 43694, 57503
487, 6511, 7331, 130, 0, 43531, 57503
493, 6627, 7271, 105, 0, 43500, 57503
499, 6631, 7383, 71, 0, 43418, 57503
505, 6616, 7340, 63, 0, 43484, 57503
511, 6666, 7224, 66, 0, 43547, 57503
517, 6690, 6987, 67, 0, 43759, 57503
523, 6667, 6196, 67, 0, 44573, 57503
529, 6597, 5115, 68, 0, 45723, 57503
535, 6628, 4555, 70, 0, 46250, 57503
541, 6751, 4271, 88, 0, 46393, 57503
547, 6778, 3676, 95, 0, 46954, 57503
553, 6779, 3040, 94, 0, 47590, 57503
559, 6789, 2145, 95, 0, 48474, 57503
565, 6847, 1645, 66, 0, 48945, 57503
571, 6866, 953, 52, 0, 49632, 57503
577, 6745, 718, 45, 0, 49995, 57503
583, 6732, 495, 36, 0, 50240, 57503
589, 6764, 414, 67, 0, 50258, 57503
595, 6791, 289, 93, 0, 50330, 57503
601, 6736, 265, 94, 0, 50408, 57503
607, 6547, 371, 95, 0, 50490, 57503
613, 6475, 1257, 96, 0, 49675, 57503
619, 6556, 2237, 96, 0, 48614, 57503
625, 6629, 3277, 96, 0, 47501, 57503
631, 6651, 4048, 96, 0, 46708, 57503
637, 6367, 6201, 96, 0, 44839, 57503
643, 5972, 7418, 96, 0, 44017, 57503
649, 6237, 8837, 95, 0, 42334, 57503
655, 6332, 9561, 95, 0, 41515, 57503
661, 6480, 9549, 95, 0, 41379, 57503
667, 6520, 9537, 95, 0, 41351, 57503
673, 6522, 9540, 96, 0, 41345, 57503
679, 6645, 9341, 96, 0, 41421, 57503
685, 6731, 9095, 96, 0, 41581, 57503
691, 6698, 8099, 96, 0, 42610, 57503
697, 6664, 7012, 93, 0, 43734, 57503
703, 6667, 6143, 93, 0, 44600, 57503
709, 6646, 4770, 93, 0, 45994, 57503
715, 6363, 4301, 93, 0, 46746, 57503
721, 6468, 3216, 94, 0, 47725, 57503
727, 6566, 1950, 94, 0, 48893, 57503
733, 6605, 1620, 94, 0, 49184, 57503
739, 6752, 1221, 95, 0, 49435, 57503
