ts, default broker, CrocodileAgent, COLDPower18, EWIIS3, AgentUDE, total
1129, 6825, 49790, 0, 197, 700, 57512
1135, 6832, 49365, 0, 209, 1106, 57512
1141, 6855, 47778, 0, 270, 2609, 57512
1147, 6778, 42030, 0, 1646, 7058, 57512
1153, 6763, 36296, 0, 1748, 12705, 57512
1159, 6806, 35296, 0, 3586, 11824, 57512
1165, 6673, 31980, 0, 3303, 15556, 57512
1171, 6714, 28615, 0, 2989, 19194, 57512
1177, 6757, 26762, 0, 2846, 21147, 57512
1183, 6752, 24720, 0, 2271, 23769, 57512
1189, 6794, 20917, 0, 1998, 27803, 57512
1195, 6798, 18830, 0, 1884, 30000, 57512
1201, 6834, 24764, 0, 2632, 23282, 57512
1207, 6920, 25375, 0, 2229, 22988, 57512
1213, 6961, 25865, 0, 1957, 22729, 57512
1219, 6967, 27280, 0, 1640, 21625, 57512
1225, 6969, 31281, 0, 1189, 18073, 57512
1231, 6991, 34898, 0, 952, 14671, 57512
1237, 6931, 38525, 0, 788, 11268, 57512
1243, 6974, 50066, 0, 458, 14, 57512
1249, 6987, 50106, 0, 405, 14, 57512
1255, 6967, 50199, 0, 322, 24, 57512
1261, 6720, 50473, 0, 296, 23, 57512
1267, 6757, 50485, 0, 247, 23, 57512
1273, 6753, 50491, 0, 255, 13, 57512
1279, 6802, 50430, 0, 267, 13, 57512
1285, 6788, 50467, 0, 228, 29, 57512
1291, 6789, 50333, 0, 192, 198, 57512
1297, 6831, 49230, 0, 212, 1239, 57512
1303, 6782, 47582, 0, 321, 2827, 57512
1309, 6883, 41811, 0, 558, 8260, 57512
1315, 6898, 35960, 0, 821, 13833, 57512
1321, 6962, 28557, 0, 963, 21030, 57512
1327, 7002, 27871, 0, 2597, 20042, 57512
1333, 6986, 25605, 0, 2334, 22587, 57512
1339, 6889, 23908, 0, 2313, 24402, 57512
1345, 6943, 18423, 0, 1942, 30204, 57512
1351, 6896, 14974, 0, 2014, 33628, 57512
1357, 6840, 12404, 0, 1509, 36759, 57512
1363, 6521, 9294, 0, 1376, 40321, 57512
1369, 6629, 15326, 0, 2741, 32816, 57512
1375, 6651, 15601, 0, 1814, 33446, 57512
1381, 6612, 15954, 0, 1039, 33907, 57512
1387, 6715, 15955, 0, 864, 33978, 57512
1393, 6828, 16039, 0, 621, 34024, 57512
1399, 6805, 16090, 0, 596, 34021, 57512
1405, 6922, 16236, 0, 480, 33874, 57512
1411, 6909, 50332, 0, 252, 19, 57512
1417, 6957, 50278, 0, 243, 34, 57512
1423, 6937, 50313, 0, 227, 35, 57512
1429, 6831, 50465, 0, 189, 27, 57512
1435, 6743, 50578, 0, 162, 29, 57512
1441, 6699, 50569, 0, 164, 80, 57512
1447, 6733, 50524, 0, 164, 91, 57512
1453, 6665, 50649, 0, 160, 38, 57512
1459, 6463, 50794, 0, 184, 71, 57512
1465, 6561, 50661, 0, 198, 92, 57512
1471, 6615, 50060, 0, 188, 649, 57512
1477, 6741, 49396, 0, 252, 1123, 57512
1483, 6861, 41908, 0, 1414, 7329, 57512
1489, 6848, 36061, 0, 1712, 12891, 57512
1495, 6932, 28194, 0, 1940, 20446, 57512
1501, 6973, 24896, 0, 1722, 23921, 57512
1507, 6912, 19810, 0, 1963, 28827, 57512
1513, 6926, 14279, 0, 1766, 34541, 57512
1519, 6928, 12498, 0, 1509, 36577, 57512
1525, 6832, 9285, 0, 1015, 40380, 57512
1531, 6842, 7796, 0, 790, 42084, 57512
1537, 6869, 7878, 0, 1190, 41575, 57512
1543, 6914, 7437, 0, 1062, 42099, 57512
1549, 6880, 7360, 0, 932, 42340, 57512
1555, 6921, 7404, 0, 612, 42575, 57512
1561, 6912, 7547, 0, 483, 42570, 57512
1567, 6893, 7763, 0, 419, 42437, 57512
1573, 6536, 8420, 0, 359, 42197, 57512
