ts, default broker, SPOT, COLDPower18, VidyutVanika, AgentUDE, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 16, 0, 0, 21322, 36177, 57515
367, 15, 1, 0, 21315, 36184, 57515
373, 10, 3, 0, 21320, 36182, 57515
379, 11, 5, 0, 21314, 36185, 57515
385, 11, 8, 0, 21314, 36182, 57515
391, 12, 6, 0, 21315, 36182, 57515
397, 11, 6, 0, 21330, 36168, 57515
403, 15, 42, 0, 54429, 3029, 57515
409, 14, 42, 0, 57173, 286, 57515
415, 12, 42, 0, 57396, 65, 57515
421, 12, 41, 0, 57428, 34, 57515
427, 13, 39, 0, 57429, 34, 57515
433, 11, 37, 0, 57432, 35, 57515
439, 11, 39, 0, 57429, 36, 57515
445, 11, 42, 0, 57426, 36, 57515
451, 11, 61, 0, 57405, 38, 57515
457, 10, 97, 0, 57370, 38, 57515
463, 10, 96, 0, 57370, 39, 57515
469, 9, 362, 0, 57105, 39, 57515
475, 11, 357, 0, 57108, 39, 57515
481, 10, 501, 0, 56963, 41, 57515
487, 12, 648, 0, 56817, 38, 57515
493, 12, 645, 0, 56820, 38, 57515
499, 10, 760, 0, 56705, 40, 57515
505, 10, 30, 0, 57432, 43, 57515
511, 8, 0, 0, 57465, 42, 57515
517, 9, 0, 0, 57465, 41, 57515
523, 7, 0, 0, 57465, 43, 57515
529, 7, 0, 0, 57320, 188, 57515
535, 9, 0, 0, 57175, 331, 57515
541, 9, 0, 0, 57172, 334, 57515
547, 11, 0, 0, 57169, 335, 57515
553, 11, 0, 0, 57171, 333, 57515
559, 12, 0, 0, 57162, 341, 57515
565, 9, 0, 0, 57161, 345, 57515
571, 4, 0, 0, 57380, 131, 57515
577, 4, 0, 0, 57422, 89, 57515
583, 5, 0, 0, 57410, 100, 57515
589, 5, 0, 0, 57405, 105, 57515
595, 4, 0, 0, 57411, 100, 57515
601, 2, 0, 0, 57409, 104, 57515
607, 2, 0, 0, 57409, 104, 57515
613, 7, 0, 0, 57295, 213, 57515
619, 4, 0, 0, 56993, 518, 57515
625, 5, 0, 0, 55188, 2322, 57515
631, 5, 0, 0, 54806, 2704, 57515
637, 5, 0, 0, 50210, 7300, 57515
643, 6, 0, 0, 50196, 7313, 57515
649, 6, 0, 0, 50199, 7310, 57515
655, 8, 0, 0, 56172, 1335, 57515
661, 5, 0, 0, 56506, 1004, 57515
667, 5, 0, 0, 56532, 978, 57515
673, 5, 0, 0, 56528, 982, 57515
679, 3, 0, 0, 56397, 1115, 57515
685, 4, 0, 0, 56269, 1242, 57515
691, 5, 0, 0, 56147, 1363, 57515
697, 6, 0, 0, 56748, 761, 57515
703, 5, 0, 0, 56857, 653, 57515
709, 5, 0, 0, 56854, 656, 57515
715, 5, 0, 0, 56851, 659, 57515
721, 4, 0, 0, 56726, 785, 57515
727, 4, 0, 0, 56726, 785, 57515
733, 3, 0, 0, 56725, 787, 57515
739, 5, 0, 0, 57419, 91, 57515
745, 3, 0, 0, 57427, 85, 57515
751, 3, 0, 0, 57283, 229, 57515
757, 2, 0, 0, 57183, 330, 57515
763, 3, 0, 0, 57198, 314, 57515
769, 2, 0, 0, 57196, 317, 57515
775, 3, 0, 0, 57195, 317, 57515
781, 6, 0, 0, 56019, 1490, 57515
787, 5, 0, 0, 54840, 2670, 57515
793, 5, 0, 0, 52420, 5090, 57515
799, 4, 0, 0, 48659, 8852, 57515
805, 3, 0, 0, 41503, 16009, 57515
811, 3, 0, 0, 40790, 16722, 57515
817, 4, 0, 0, 40472, 17039, 57515
823, 5, 0, 0, 54801, 2709, 57515
829, 4, 0, 0, 55932, 1579, 57515
835, 4, 0, 0, 56050, 1461, 57515
841, 5, 0, 0, 55811, 1699, 57515
847, 5, 0, 0, 55667, 1843, 57515
853, 6, 0, 0, 55593, 1916, 57515
859, 6, 0, 0, 55593, 1916, 57515
865, 6, 0, 0, 57410, 99, 57515
871, 6, 0, 0, 57440, 69, 57515
877, 6, 0, 0, 57441, 68, 57515
883, 4, 0, 0, 57440, 71, 57515
889, 3, 0, 0, 56366, 1146, 57515
895, 4, 0, 0, 56317, 1194, 57515
901, 3, 0, 0, 56315, 1197, 57515
907, 4, 0, 0, 57379, 132, 57515
913, 2057, 0, 0, 55365, 93, 57515
919, 2420, 0, 0, 55003, 92, 57515
925, 3086, 0, 0, 54337, 92, 57515
931, 3010, 0, 0, 54414, 91, 57515
937, 3136, 0, 0, 54287, 92, 57515
943, 3060, 0, 0, 54361, 94, 57515
949, 3060, 0, 0, 54394, 61, 57515
955, 3032, 0, 0, 54158, 325, 57515
961, 3110, 0, 0, 53726, 679, 57515
967, 3234, 0, 0, 52518, 1763, 57515
973, 3323, 0, 0, 51388, 2804, 57515
979, 3467, 0, 0, 50590, 3458, 57515
