ts, default broker, CrocodileAgent, SPOT, VidyutVanika, Bunnie, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 11, 320, 0, 8091, 49086, 57508
367, 9, 326, 1, 8092, 49080, 57508
373, 5, 933, 6, 14542, 42022, 57508
379, 9, 2557, 4, 19123, 35815, 57508
385, 3, 5161, 7, 27540, 24797, 57508
391, 1, 6597, 5, 31967, 18938, 57508
397, 3, 7852, 3, 35509, 14141, 57508
403, 5, 8546, 7, 38375, 10575, 57508
409, 6, 9077, 6, 39959, 8460, 57508
415, 6, 9200, 5, 40459, 7838, 57508
421, 5, 9204, 9, 40555, 7735, 57508
427, 5, 9199, 5, 40554, 7745, 57508
433, 4, 9113, 5, 39765, 8621, 57508
439, 3, 9079, 6, 39672, 8748, 57508
445, 2, 8785, 12, 33868, 14841, 57508
451, 6, 8126, 4, 29161, 20211, 57508
457, 5, 6793, 6, 21272, 29432, 57508
463, 3, 6260, 5, 16394, 34846, 57508
469, 7, 5165, 2, 13050, 39284, 57508
475, 9, 3736, 4, 10126, 43633, 57508
481, 4, 2858, 8, 8495, 46143, 57508
487, 6, 2359, 5, 7514, 47624, 57508
493, 4, 1844, 6, 7675, 47979, 57508
499, 5, 1269, 5, 7900, 48329, 57508
505, 4, 1005, 8, 7862, 48629, 57508
511, 3, 950, 10, 7951, 48594, 57508
517, 7, 720, 2, 8220, 48559, 57508
523, 6, 639, 0, 8566, 48297, 57508
529, 8, 457, 0, 8822, 48221, 57508
535, 3, 435, 0, 9961, 47109, 57508
541, 6, 681, 0, 15800, 41021, 57508
547, 8, 1218, 0, 21148, 35134, 57508
553, 8, 3502, 0, 29138, 24860, 57508
559, 7, 4425, 0, 31979, 21097, 57508
565, 4, 5751, 0, 36784, 14969, 57508
571, 5, 6046, 0, 39150, 12307, 57508
577, 3, 6643, 0, 40962, 9900, 57508
583, 3, 6785, 0, 40869, 9851, 57508
589, 7, 6707, 0, 40394, 10400, 57508
595, 5, 6688, 0, 39777, 11038, 57508
601, 9, 6622, 0, 39591, 11286, 57508
607, 8, 6556, 0, 38338, 12606, 57508
