ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6728, 406, 0, 0, 50376, 57510
367, 6715, 339, 77, 0, 50379, 57510
373, 6709, 333, 4394, 0, 46074, 57510
379, 6866, 173, 9214, 0, 41257, 57510
385, 6854, 291, 13017, 0, 37348, 57510
391, 6860, 381, 15200, 0, 35069, 57510
397, 6902, 515, 17452, 0, 32641, 57510
403, 6896, 753, 19463, 0, 30398, 57510
409, 6740, 1578, 21221, 0, 27971, 57510
415, 6704, 2400, 21861, 0, 26545, 57510
421, 6713, 6179, 20506, 0, 24112, 57510
427, 6736, 13752, 17136, 0, 19886, 57510
433, 6742, 22414, 14059, 0, 14295, 57510
439, 6868, 26786, 12284, 0, 11572, 57510
445, 6589, 32843, 9865, 0, 8213, 57510
451, 6517, 36849, 7665, 0, 6479, 57510
457, 6618, 39369, 6211, 0, 5312, 57510
463, 6688, 41780, 4672, 0, 4370, 57510
469, 6765, 42260, 4406, 0, 4079, 57510
475, 6872, 42441, 4742, 0, 3455, 57510
481, 6884, 47173, 0, 0, 3453, 57510
487, 6982, 47103, 0, 0, 3425, 57510
493, 7018, 47077, 0, 0, 3415, 57510
499, 7025, 47048, 0, 0, 3437, 57510
505, 6895, 47179, 0, 0, 3436, 57510
511, 6907, 46995, 0, 0, 3608, 57510
517, 6854, 47047, 0, 0, 3609, 57510
523, 6858, 46923, 0, 0, 3729, 57510
529, 6931, 46852, 0, 0, 3727, 57510
535, 6942, 46211, 0, 0, 4357, 57510
541, 6971, 46398, 0, 0, 4141, 57510
547, 6992, 45516, 0, 0, 5002, 57510
553, 6952, 45798, 0, 0, 4760, 57510
559, 6959, 46321, 0, 0, 4230, 57510
565, 6746, 46776, 0, 0, 3988, 57510
571, 6705, 46971, 0, 0, 3834, 57510
577, 6717, 47131, 0, 0, 3662, 57510
583, 6790, 47149, 0, 0, 3571, 57510
589, 6899, 47372, 0, 0, 3239, 57510
595, 6964, 47452, 0, 0, 3094, 57510
601, 7015, 47856, 0, 0, 2639, 57510
607, 7028, 48473, 0, 0, 2009, 57510
613, 6940, 48964, 0, 0, 1606, 57510
619, 6790, 49293, 0, 0, 1427, 57510
625, 6879, 49544, 0, 0, 1087, 57510
631, 6900, 49743, 0, 0, 867, 57510
637, 6830, 49814, 0, 0, 866, 57510
643, 6877, 49764, 0, 0, 869, 57510
649, 6865, 49776, 0, 0, 869, 57510
655, 6826, 49831, 0, 0, 853, 57510
661, 6802, 49850, 0, 0, 858, 57510
667, 6801, 49763, 0, 0, 946, 57510
673, 6843, 49502, 0, 0, 1165, 57510
679, 6781, 49367, 0, 0, 1362, 57510
685, 6714, 49199, 0, 0, 1597, 57510
691, 6786, 48647, 0, 0, 2077, 57510
697, 6846, 48697, 0, 0, 1967, 57510
703, 6855, 48410, 0, 0, 2245, 57510
709, 6712, 48386, 0, 0, 2412, 57510
715, 6677, 47152, 0, 0, 3681, 57510
721, 6769, 47348, 0, 0, 3393, 57510
727, 6904, 47846, 0, 0, 2760, 57510
733, 6891, 48324, 0, 0, 2295, 57510
739, 6866, 48412, 0, 0, 2232, 57510
745, 6870, 48819, 0, 0, 1821, 57510
751, 6798, 49263, 0, 0, 1449, 57510
757, 6851, 49297, 0, 0, 1362, 57510
763, 6902, 49301, 0, 0, 1307, 57510
769, 6905, 49502, 0, 0, 1103, 57510
775, 6887, 49590, 0, 0, 1033, 57510
781, 6923, 49566, 0, 0, 1021, 57510
787, 6953, 49619, 0, 0, 938, 57510
793, 6979, 49593, 0, 0, 938, 57510
799, 7019, 49592, 0, 0, 899, 57510
805, 6974, 49660, 0, 0, 876, 57510
811, 6921, 49600, 0, 0, 989, 57510
817, 6985, 49654, 0, 0, 871, 57510
823, 7019, 49659, 0, 0, 832, 57510
829, 7006, 49672, 0, 0, 832, 57510
835, 6997, 49001, 0, 0, 1512, 57510
841, 7029, 48538, 0, 0, 1943, 57510
847, 7049, 48242, 0, 0, 2219, 57510
853, 6886, 48733, 0, 0, 1891, 57510
859, 6886, 48388, 0, 0, 2236, 57510
865, 6900, 48462, 0, 0, 2148, 57510
871, 6842, 48562, 0, 0, 2106, 57510
877, 6621, 48590, 0, 0, 2299, 57510
883, 6652, 48167, 0, 0, 2691, 57510
889, 6729, 48036, 0, 0, 2745, 57510
895, 6794, 47943, 0, 0, 2773, 57510
901, 6872, 48012, 0, 0, 2626, 57510
907, 6919, 48702, 0, 0, 1889, 57510
913, 6888, 49035, 0, 0, 1587, 57510
919, 6897, 49309, 0, 0, 1304, 57510
925, 6961, 49377, 0, 0, 1172, 57510
931, 6981, 49420, 0, 0, 1109, 57510
937, 6972, 49583, 0, 0, 955, 57510
943, 6972, 49614, 0, 0, 924, 57510
949, 6958, 49761, 0, 0, 791, 57510
955, 6783, 49998, 0, 0, 729, 57510
961, 6813, 49990, 0, 0, 707, 57510
967, 6812, 50022, 0, 0, 676, 57510
973, 6630, 50234, 0, 0, 646, 57510
979, 6690, 50199, 0, 0, 621, 57510
985, 6716, 50189, 0, 0, 605, 57510
991, 6724, 50175, 0, 0, 611, 57510
997, 6829, 49489, 0, 0, 1192, 57510
1003, 6933, 48993, 0, 0, 1584, 57510
1009, 6922, 48789, 0, 0, 1799, 57510
1015, 6931, 47056, 0, 0, 3523, 57510
1021, 6978, 46789, 0, 0, 3743, 57510
1027, 6984, 46392, 0, 0, 4134, 57510
1033, 6925, 46853, 0, 0, 3732, 57510
1039, 6858, 46875, 0, 0, 3777, 57510
1045, 6853, 47304, 0, 0, 3353, 57510
1051, 6836, 45435, 0, 0, 5239, 57510
1057, 6803, 46410, 0, 0, 4297, 57510
1063, 6857, 46662, 0, 0, 3991, 57510
1069, 6921, 47690, 0, 0, 2899, 57510
1075, 6949, 48150, 0, 0, 2411, 57510
1081, 6944, 48542, 0, 0, 2024, 57510
1087, 6959, 48735, 0, 0, 1816, 57510
1093, 6972, 49020, 0, 0, 1518, 57510
