ts, default broker, COLDPower18, VidyutVanika, total
359, 57507, 0, 0, 57507
360, 57507, 0, 0, 57507
361, 59, 0, 57448, 57507
367, 56, 0, 57451, 57507
373, 57, 0, 57450, 57507
379, 57, 0, 57450, 57507
385, 57, 0, 57450, 57507
391, 57, 0, 57450, 57507
397, 57, 0, 57450, 57507
403, 58, 0, 57449, 57507
415, 56, 0, 57451, 57507
421, 56, 0, 57451, 57507
427, 56, 0, 57451, 57507
433, 55, 0, 57452, 57507
439, 54, 0, 57453, 57507
445, 55, 0, 57452, 57507
457, 57, 0, 57450, 57507
463, 57, 0, 57450, 57507
469, 58, 0, 57449, 57507
475, 58, 0, 57449, 57507
481, 58, 0, 57449, 57507
487, 57, 0, 57450, 57507
493, 58, 0, 57449, 57507
499, 57, 0, 57450, 57507
505, 56, 0, 57451, 57507
511, 60, 0, 57447, 57507
523, 60, 0, 57447, 57507
529, 59, 0, 57448, 57507
535, 59, 0, 57448, 57507
541, 59, 0, 57448, 57507
547, 58, 0, 57449, 57507
553, 58, 0, 57449, 57507
559, 57, 0, 57450, 57507
565, 58, 0, 57449, 57507
571, 59, 0, 57448, 57507
577, 62, 0, 57445, 57507
583, 61, 0, 57446, 57507
589, 58, 0, 57449, 57507
595, 59, 0, 57448, 57507
601, 60, 0, 57447, 57507
607, 60, 0, 57447, 57507
613, 62, 0, 57445, 57507
619, 61, 0, 57446, 57507
625, 61, 0, 57446, 57507
631, 60, 0, 57447, 57507
637, 62, 0, 57445, 57507
643, 62, 0, 57445, 57507
649, 63, 0, 57444, 57507
655, 62, 0, 57445, 57507
661, 62, 0, 57445, 57507
667, 61, 0, 57446, 57507
673, 57, 0, 57450, 57507
679, 59, 0, 57448, 57507
685, 59, 0, 57448, 57507
691, 57, 0, 57450, 57507
703, 58, 0, 57449, 57507
715, 55, 0, 57452, 57507
721, 56, 0, 57451, 57507
727, 57, 0, 57450, 57507
733, 56, 0, 57451, 57507
745, 54, 0, 57453, 57507
751, 54, 0, 57453, 57507
757, 57, 0, 57450, 57507
775, 54, 0, 57453, 57507
781, 56, 0, 57451, 57507
787, 55, 0, 57452, 57507
793, 56, 0, 57451, 57507
799, 58, 0, 57449, 57507
805, 60, 0, 57447, 57507
811, 59, 0, 57448, 57507
817, 59, 0, 57448, 57507
823, 59, 0, 57448, 57507
829, 60, 0, 57447, 57507
841, 58, 0, 57449, 57507
847, 58, 0, 57449, 57507
853, 59, 0, 57448, 57507
859, 59, 0, 57448, 57507
865, 61, 0, 57446, 57507
871, 60, 0, 57447, 57507
877, 62, 0, 57445, 57507
883, 61, 0, 57446, 57507
889, 57, 0, 57450, 57507
895, 60, 0, 57447, 57507
901, 55, 0, 57452, 57507
907, 53, 0, 57454, 57507
913, 51, 0, 57456, 57507
919, 50, 0, 57457, 57507
925, 45, 0, 57462, 57507
931, 45, 0, 57462, 57507
937, 47, 0, 57460, 57507
943, 46, 0, 57461, 57507
949, 46, 0, 57461, 57507
955, 47, 0, 57460, 57507
961, 46, 0, 57461, 57507
967, 42, 0, 57465, 57507
973, 42, 0, 57465, 57507
979, 44, 0, 57463, 57507
985, 46, 0, 57461, 57507
991, 44, 0, 57463, 57507
997, 44, 0, 57463, 57507
1003, 43, 0, 57464, 57507
1009, 44, 0, 57463, 57507
1015, 41, 0, 57466, 57507
1021, 41, 0, 57466, 57507
1027, 42, 0, 57465, 57507
1033, 44, 0, 57463, 57507
1039, 58, 0, 57449, 57507
1045, 57, 0, 57450, 57507
1051, 52, 0, 57455, 57507
1057, 52, 0, 57455, 57507
1063, 49, 0, 57458, 57507
1069, 47, 0, 57460, 57507
1075, 46, 0, 57461, 57507
1081, 49, 0, 57458, 57507
1087, 48, 0, 57459, 57507
1093, 48, 0, 57459, 57507
1099, 47, 0, 57460, 57507
1105, 47, 0, 57460, 57507
1111, 45, 0, 57462, 57507
1117, 43, 0, 57464, 57507
1123, 44, 0, 57463, 57507
1129, 45, 0, 57462, 57507
1135, 43, 0, 57464, 57507
1141, 44, 0, 57463, 57507
1147, 43, 0, 57464, 57507
1153, 43, 0, 57464, 57507
1159, 41, 0, 57466, 57507
1165, 42, 0, 57465, 57507
1171, 43, 0, 57464, 57507
1177, 43, 0, 57464, 57507
1183, 43, 0, 57464, 57507
1189, 43, 0, 57464, 57507
1195, 43, 0, 57464, 57507
1201, 46, 0, 57461, 57507
1207, 47, 0, 57460, 57507
1213, 58, 0, 57449, 57507
1219, 51, 0, 57456, 57507
1225, 53, 0, 57454, 57507
1231, 50, 0, 57457, 57507
1237, 56, 0, 57451, 57507
1243, 56, 0, 57451, 57507
1249, 52, 0, 57455, 57507
1255, 51, 0, 57456, 57507
1261, 48, 0, 57459, 57507
1267, 45, 0, 57462, 57507
1273, 45, 0, 57462, 57507
1279, 44, 0, 57463, 57507
1285, 43, 0, 57464, 57507
1291, 42, 0, 57465, 57507
1297, 44, 0, 57463, 57507
1303, 42, 0, 57465, 57507
1309, 42, 0, 57465, 57507
1315, 41, 0, 57466, 57507
1321, 44, 0, 57463, 57507
1327, 43, 0, 57464, 57507
1333, 46, 0, 57461, 57507
1339, 45, 0, 57462, 57507
1345, 41, 0, 57466, 57507
1351, 41, 0, 57466, 57507
1357, 40, 0, 57467, 57507
1363, 41, 0, 57466, 57507
1369, 56, 0, 57451, 57507
1375, 58, 0, 57449, 57507
1381, 56, 0, 57451, 57507
1387, 54, 0, 57453, 57507
1393, 57, 0, 57450, 57507
1399, 58, 0, 57449, 57507
1405, 57, 0, 57450, 57507
1411, 56, 0, 57451, 57507
1417, 58, 0, 57449, 57507
1423, 59, 0, 57448, 57507
1429, 59, 0, 57448, 57507
1435, 54, 0, 57453, 57507
1441, 54, 0, 57453, 57507
1447, 56, 0, 57451, 57507
1453, 56, 0, 57451, 57507
1459, 56, 0, 57451, 57507
1465, 55, 0, 57452, 57507
1471, 56, 0, 57451, 57507
1477, 57, 0, 57450, 57507
1483, 56, 0, 57451, 57507
1489, 56, 0, 57451, 57507
1501, 55, 0, 57452, 57507
1507, 55, 0, 57452, 57507
1513, 54, 0, 57453, 57507
1519, 54, 0, 57453, 57507
1525, 53, 0, 57454, 57507
1531, 53, 0, 57454, 57507
1537, 54, 0, 57453, 57507
1543, 53, 0, 57454, 57507
1555, 53, 0, 57454, 57507
1561, 56, 0, 57451, 57507
1567, 58, 0, 57449, 57507
1573, 58, 0, 57449, 57507
1579, 60, 0, 57447, 57507
1585, 59, 0, 57448, 57507
1591, 59, 0, 57448, 57507
1597, 57, 0, 57450, 57507
1603, 56, 0, 57451, 57507
1609, 58, 0, 57449, 57507
1615, 55, 0, 57452, 57507
1621, 55, 0, 57452, 57507
1627, 56, 0, 57451, 57507
1633, 55, 0, 57452, 57507
1639, 55, 0, 57452, 57507
1645, 57, 0, 57450, 57507
1651, 56, 0, 57451, 57507
1657, 55, 0, 57452, 57507
1663, 56, 0, 57451, 57507
1669, 57, 0, 57450, 57507
1675, 56, 0, 57451, 57507
1681, 55, 0, 57452, 57507
1687, 55, 0, 57452, 57507
1693, 58, 0, 57449, 57507
1699, 59, 0, 57448, 57507
1705, 56, 0, 57451, 57507
1711, 57, 0, 57450, 57507
1717, 56, 0, 57451, 57507
1723, 59, 0, 57448, 57507
1729, 59, 0, 57448, 57507
1735, 60, 0, 57447, 57507
1741, 62, 0, 57445, 57507
1747, 61, 0, 57446, 57507
1753, 57, 0, 57450, 57507
1759, 56, 0, 57451, 57507
1765, 57, 0, 57450, 57507
1771, 57, 0, 57450, 57507
1777, 59, 0, 57448, 57507
1783, 60, 0, 57447, 57507
1789, 59, 0, 57448, 57507
1795, 61, 0, 57446, 57507
1801, 60, 0, 57447, 57507
1807, 59, 0, 57448, 57507
1813, 59, 0, 57448, 57507
1825, 62, 0, 57445, 57507
1831, 60, 0, 57447, 57507
1837, 61, 0, 57446, 57507
1843, 59, 0, 57448, 57507
