ts, default broker, COLDPower18, EWIIS3, total
359, 57524, 0, 0, 57524
360, 57524, 0, 0, 57524
361, 7126, 0, 50398, 57524
367, 7124, 0, 50400, 57524
373, 7124, 0, 50400, 57524
379, 7123, 0, 50401, 57524
385, 7123, 0, 50401, 57524
391, 7122, 0, 50402, 57524
397, 7122, 0, 50402, 57524
403, 7120, 0, 50404, 57524
409, 7121, 0, 50403, 57524
415, 7120, 0, 50404, 57524
421, 7121, 0, 50403, 57524
427, 7121, 0, 50403, 57524
433, 7120, 0, 50404, 57524
439, 7118, 0, 50406, 57524
445, 7119, 0, 50405, 57524
451, 7120, 0, 50404, 57524
457, 7121, 0, 50403, 57524
463, 7121, 0, 50403, 57524
469, 7120, 0, 50404, 57524
475, 7121, 0, 50403, 57524
481, 7121, 0, 50403, 57524
487, 7121, 0, 50403, 57524
493, 7119, 0, 50405, 57524
499, 7120, 0, 50404, 57524
505, 7122, 0, 50402, 57524
511, 7121, 0, 50403, 57524
517, 7122, 0, 50402, 57524
523, 7124, 0, 50400, 57524
529, 7123, 0, 50401, 57524
535, 7122, 0, 50402, 57524
541, 7121, 0, 50403, 57524
547, 7121, 0, 50403, 57524
553, 7120, 0, 50404, 57524
559, 7119, 0, 50405, 57524
565, 7119, 0, 50405, 57524
571, 7120, 0, 50404, 57524
577, 7120, 0, 50404, 57524
583, 7121, 0, 50403, 57524
589, 7121, 0, 50403, 57524
595, 7121, 0, 50403, 57524
601, 7120, 0, 50404, 57524
607, 7119, 0, 50405, 57524
613, 7118, 0, 50406, 57524
619, 7118, 0, 50406, 57524
625, 7117, 0, 50407, 57524
631, 7117, 0, 50407, 57524
637, 7119, 0, 50405, 57524
643, 7119, 0, 50405, 57524
649, 7119, 0, 50405, 57524
655, 7119, 0, 50405, 57524
661, 7121, 0, 50403, 57524
667, 7120, 0, 50404, 57524
673, 7119, 0, 50405, 57524
679, 7118, 0, 50406, 57524
685, 7117, 0, 50407, 57524
691, 7117, 0, 50407, 57524
697, 7117, 0, 50407, 57524
703, 7117, 0, 50407, 57524
709, 7118, 0, 50406, 57524
715, 7117, 0, 50407, 57524
721, 7117, 0, 50407, 57524
727, 7117, 0, 50407, 57524
733, 7117, 0, 50407, 57524
739, 7117, 0, 50407, 57524
745, 7117, 0, 50407, 57524
751, 7117, 0, 50407, 57524
757, 7117, 0, 50407, 57524
763, 7118, 0, 50406, 57524
769, 7119, 0, 50405, 57524
775, 7120, 0, 50404, 57524
781, 7122, 0, 50402, 57524
787, 7121, 0, 50403, 57524
793, 7121, 0, 50403, 57524
