ts, default broker, COLDPower18, VidyutVanika, AgentUDE, Bunnie, total
359, 57510, 0, 0, 0, 0, 57510
360, 57510, 0, 0, 0, 0, 57510
361, 6, 0, 13607, 23224, 20673, 57510
367, 8, 0, 13599, 23237, 20666, 57510
373, 6, 0, 13663, 26540, 17301, 57510
379, 6, 0, 13661, 27916, 15927, 57510
385, 6, 0, 13660, 30002, 13842, 57510
391, 8, 0, 13658, 31034, 12810, 57510
397, 6, 0, 13658, 32477, 11369, 57510
403, 6, 0, 13661, 2358, 41485, 57510
409, 6, 0, 13660, 255, 43589, 57510
415, 6, 0, 13660, 94, 43750, 57510
421, 6, 0, 13786, 94, 43624, 57510
427, 5, 0, 13877, 94, 43534, 57510
433, 6, 0, 13242, 96, 44166, 57510
439, 6, 0, 11862, 97, 45545, 57510
445, 5, 0, 8069, 19, 49417, 57510
451, 3, 0, 7668, 26, 49813, 57510
457, 1, 0, 7491, 30, 49988, 57510
463, 2, 0, 7377, 32, 50099, 57510
469, 1, 0, 7462, 33, 50014, 57510
475, 2, 0, 7400, 35, 50073, 57510
481, 2, 0, 7695, 186, 49627, 57510
487, 6, 0, 7842, 5, 49657, 57510
493, 6, 0, 8142, 5, 49357, 57510
499, 4, 0, 10821, 5, 46680, 57510
505, 2, 0, 16147, 6, 41355, 57510
511, 2, 0, 18027, 6, 39475, 57510
517, 2, 0, 21061, 8, 36439, 57510
523, 2, 0, 24055, 8, 33445, 57510
529, 17, 0, 26054, 6, 31433, 57510
535, 21, 0, 26958, 30, 30501, 57510
541, 19, 0, 27004, 37, 30450, 57510
547, 20, 0, 27061, 44, 30385, 57510
553, 20, 0, 26820, 45, 30625, 57510
559, 19, 0, 26785, 42, 30664, 57510
565, 20, 0, 26681, 42, 30767, 57510
571, 24, 0, 25854, 45, 31587, 57510
577, 24, 0, 23469, 49, 33968, 57510
583, 18, 0, 21691, 52, 35749, 57510
589, 24, 0, 19678, 50, 37758, 57510
595, 28, 0, 17305, 41, 40136, 57510
601, 27, 0, 15389, 41, 42053, 57510
607, 13, 0, 13817, 27, 43653, 57510
613, 10, 0, 11614, 16, 45870, 57510
619, 7, 0, 9896, 13, 47594, 57510
625, 3, 0, 9464, 9, 48034, 57510
631, 3, 0, 9109, 7, 48391, 57510
637, 3, 0, 8891, 7, 48609, 57510
643, 4, 0, 8478, 7, 49021, 57510
649, 3, 0, 8087, 8, 49412, 57510
655, 3, 0, 8049, 7, 49451, 57510
661, 4, 0, 11810, 7, 45689, 57510
667, 3, 0, 13568, 10, 43929, 57510
673, 5, 0, 18033, 133, 39339, 57510
679, 5, 0, 20937, 43, 36525, 57510
685, 5, 0, 22955, 43, 34507, 57510
691, 5, 0, 25434, 44, 32027, 57510
697, 5, 0, 26631, 5, 30869, 57510
703, 4, 0, 27284, 7, 30215, 57510
709, 5, 0, 27219, 7, 30279, 57510
715, 5, 0, 27100, 7, 30398, 57510
721, 5, 0, 26842, 6, 30657, 57510
727, 5, 0, 26690, 6, 30809, 57510
733, 5, 0, 25490, 8, 32007, 57510
739, 8, 0, 24248, 88, 33166, 57510
745, 4, 0, 22590, 70, 34846, 57510
751, 4, 0, 18347, 46, 39113, 57510
757, 3, 0, 16477, 52, 40978, 57510
763, 3, 0, 13996, 84, 43427, 57510
769, 3, 0, 12647, 86, 44774, 57510
775, 5, 0, 11370, 87, 46048, 57510
781, 8, 0, 10688, 20, 46794, 57510
787, 7, 0, 9365, 21, 48117, 57510
793, 7, 0, 9004, 23, 48476, 57510
799, 4, 0, 8489, 28, 48989, 57510
805, 4, 0, 8368, 28, 49110, 57510
811, 6, 0, 8244, 175, 49085, 57510
817, 7, 0, 7995, 175, 49333, 57510
823, 7, 0, 7923, 57, 49523, 57510
829, 5, 0, 11038, 28, 46439, 57510
835, 5, 0, 12608, 29, 44868, 57510
841, 5, 0, 16369, 32, 41104, 57510
847, 4, 0, 18246, 34, 39226, 57510
853, 4, 0, 19678, 31, 37797, 57510
859, 4, 0, 21307, 30, 36169, 57510
865, 4, 0, 27032, 12, 30462, 57510
871, 18, 0, 31653, 11, 25828, 57510
877, 24, 0, 35944, 31, 21511, 57510
883, 21, 0, 38384, 43, 19062, 57510
889, 18, 0, 43186, 52, 14254, 57510
895, 17, 0, 43533, 34, 13926, 57510
901, 12, 0, 46586, 24, 10888, 57510
907, 5, 0, 48170, 18, 9317, 57510
913, 3, 0, 49342, 16, 8149, 57510
919, 4, 0, 49391, 14, 8101, 57510
925, 4, 0, 49866, 14, 7626, 57510
931, 3, 0, 51388, 15, 6104, 57510
937, 3, 0, 51130, 16, 6361, 57510
943, 3, 0, 14758, 20, 42729, 57510
949, 4, 0, 15890, 18, 41598, 57510
955, 4, 0, 24909, 21, 32576, 57510
961, 2, 0, 29606, 22, 27880, 57510
967, 2, 0, 33592, 80, 23836, 57510
973, 2, 0, 39833, 24, 17651, 57510
979, 1, 0, 43707, 23, 13779, 57510
985, 2, 0, 45572, 22, 11914, 57510
991, 2, 0, 46929, 8, 10571, 57510
997, 3, 0, 48067, 8, 9432, 57510
1003, 3, 0, 51036, 10, 6461, 57510
1009, 3, 0, 52637, 11, 4859, 57510
1015, 2, 0, 52284, 12, 5212, 57510
1021, 3, 0, 52432, 10, 5065, 57510
1027, 2, 0, 52860, 10, 4638, 57510
1033, 6, 0, 51677, 6, 5821, 57510
1039, 5, 0, 52138, 5, 5362, 57510
1045, 4, 0, 52625, 6, 4875, 57510
1051, 4, 0, 52743, 6, 4757, 57510
1057, 4, 0, 53410, 8, 4088, 57510
1063, 6, 0, 53535, 7, 3962, 57510
1069, 5, 0, 15578, 222, 41705, 57510
1075, 4, 0, 16437, 5, 41064, 57510
1081, 3, 0, 23770, 5, 33732, 57510
1087, 4, 0, 31540, 4, 25962, 57510
1093, 4, 0, 33927, 3, 23576, 57510
1099, 4, 0, 38996, 3, 18507, 57510
1105, 5, 0, 42765, 3, 14737, 57510
1111, 6, 0, 11628, 5, 45871, 57510
1117, 9, 0, 14680, 9, 42812, 57510
