ts, default broker, CrocodileAgent, COLDPower18, total
359, 57501, 0, 0, 57501
360, 57501, 0, 0, 57501
361, 6831, 50670, 0, 57501
367, 6936, 50565, 0, 57501
373, 6569, 50932, 0, 57501
379, 6699, 50802, 0, 57501
385, 6786, 50715, 0, 57501
391, 6845, 50656, 0, 57501
397, 6827, 50674, 0, 57501
403, 6866, 50635, 0, 57501
409, 6916, 50585, 0, 57501
415, 6918, 50583, 0, 57501
421, 6944, 50557, 0, 57501
427, 6951, 50550, 0, 57501
433, 6916, 50585, 0, 57501
439, 6859, 50642, 0, 57501
445, 6882, 50619, 0, 57501
451, 6908, 50593, 0, 57501
457, 6904, 50597, 0, 57501
463, 6875, 50626, 0, 57501
469, 6877, 50624, 0, 57501
475, 6740, 50761, 0, 57501
481, 6798, 50703, 0, 57501
487, 6851, 50650, 0, 57501
493, 6444, 51057, 0, 57501
499, 6224, 51277, 0, 57501
505, 6455, 51046, 0, 57501
511, 6645, 50856, 0, 57501
517, 6694, 50807, 0, 57501
523, 6833, 50668, 0, 57501
529, 6829, 50672, 0, 57501
535, 6842, 50659, 0, 57501
541, 6662, 50839, 0, 57501
547, 6723, 50778, 0, 57501
553, 6811, 50690, 0, 57501
559, 6873, 50628, 0, 57501
565, 6904, 50597, 0, 57501
571, 6930, 50571, 0, 57501
577, 6883, 50618, 0, 57501
583, 6952, 50549, 0, 57501
589, 6976, 50525, 0, 57501
595, 6984, 50517, 0, 57501
601, 6956, 50545, 0, 57501
607, 6974, 50527, 0, 57501
613, 6734, 50767, 0, 57501
619, 6709, 50792, 0, 57501
625, 6828, 50673, 0, 57501
631, 6869, 50632, 0, 57501
637, 6916, 50585, 0, 57501
643, 6947, 50554, 0, 57501
649, 7016, 50485, 0, 57501
655, 7072, 50429, 0, 57501
661, 7074, 50427, 0, 57501
667, 6990, 50511, 0, 57501
673, 6982, 50519, 0, 57501
679, 6961, 50540, 0, 57501
685, 6924, 50577, 0, 57501
691, 6845, 50656, 0, 57501
697, 6910, 50591, 0, 57501
703, 6841, 50660, 0, 57501
709, 6693, 50808, 0, 57501
715, 6755, 50746, 0, 57501
721, 6814, 50687, 0, 57501
727, 6850, 50651, 0, 57501
733, 6704, 50797, 0, 57501
739, 6668, 50833, 0, 57501
745, 6670, 50831, 0, 57501
751, 6705, 50796, 0, 57501
757, 6738, 50763, 0, 57501
763, 6599, 50902, 0, 57501
769, 6694, 50807, 0, 57501
775, 6739, 50762, 0, 57501
781, 6739, 50762, 0, 57501
787, 6821, 50680, 0, 57501
793, 6804, 50697, 0, 57501
799, 6888, 50613, 0, 57501
805, 6939, 50562, 0, 57501
811, 6979, 50522, 0, 57501
817, 6927, 50574, 0, 57501
823, 6996, 50505, 0, 57501
829, 6832, 50669, 0, 57501
835, 6859, 50642, 0, 57501
841, 6889, 50612, 0, 57501
847, 6940, 50561, 0, 57501
853, 6939, 50562, 0, 57501
859, 6921, 50580, 0, 57501
865, 6937, 50564, 0, 57501
871, 6856, 50645, 0, 57501
877, 6868, 50633, 0, 57501
883, 6945, 50556, 0, 57501
889, 6854, 50647, 0, 57501
895, 6889, 50612, 0, 57501
901, 6930, 50571, 0, 57501
907, 6948, 50553, 0, 57501
913, 6853, 50648, 0, 57501
919, 6920, 50581, 0, 57501
925, 6898, 50603, 0, 57501
931, 6892, 50609, 0, 57501
937, 6912, 50589, 0, 57501
943, 6902, 50599, 0, 57501
949, 6908, 50593, 0, 57501
955, 6825, 50676, 0, 57501
961, 6875, 50626, 0, 57501
967, 6933, 50568, 0, 57501
973, 6975, 50526, 0, 57501
979, 6948, 50553, 0, 57501
985, 6901, 50600, 0, 57501
991, 6799, 50702, 0, 57501
997, 6774, 50727, 0, 57501
1003, 6740, 50761, 0, 57501
1009, 6835, 50666, 0, 57501
1015, 6848, 50653, 0, 57501
1021, 6581, 50920, 0, 57501
1027, 6423, 51078, 0, 57501
1033, 6610, 50891, 0, 57501
1039, 6826, 50675, 0, 57501
1045, 6922, 50579, 0, 57501
1051, 6996, 50505, 0, 57501
1057, 6925, 50576, 0, 57501
1063, 6955, 50546, 0, 57501
1069, 6814, 50687, 0, 57501
1075, 6683, 50818, 0, 57501
1081, 6725, 50776, 0, 57501
1087, 6814, 50687, 0, 57501
1093, 6821, 50680, 0, 57501
1099, 6745, 50756, 0, 57501
1105, 6801, 50700, 0, 57501
1111, 6866, 50635, 0, 57501
1117, 6740, 50761, 0, 57501
1123, 6777, 50724, 0, 57501
