ts, default broker, COLDPower18, AgentUDE, total
359, 57519, 0, 0, 57519
360, 57519, 0, 0, 57519
361, 14174, 0, 43345, 57519
367, 11835, 0, 45684, 57519
373, 10524, 0, 46995, 57519
379, 9928, 0, 47591, 57519
385, 9238, 0, 48281, 57519
391, 8758, 0, 48761, 57519
397, 8463, 0, 49056, 57519
403, 7286, 0, 50233, 57519
409, 7157, 0, 50362, 57519
415, 7188, 0, 50331, 57519
421, 7274, 0, 50245, 57519
427, 7130, 0, 50389, 57519
433, 7196, 0, 50323, 57519
439, 7404, 0, 50115, 57519
445, 7142, 0, 50377, 57519
451, 7075, 0, 50444, 57519
457, 7083, 0, 50436, 57519
463, 7088, 0, 50431, 57519
469, 7095, 0, 50424, 57519
475, 7097, 0, 50422, 57519
481, 7097, 0, 50422, 57519
487, 7586, 0, 49933, 57519
493, 7438, 0, 50081, 57519
499, 7250, 0, 50269, 57519
505, 7279, 0, 50240, 57519
511, 7545, 0, 49974, 57519
517, 7170, 0, 50349, 57519
523, 7111, 0, 50408, 57519
529, 7100, 0, 50419, 57519
535, 7097, 0, 50422, 57519
541, 7096, 0, 50423, 57519
547, 7097, 0, 50422, 57519
553, 7098, 0, 50421, 57519
559, 7098, 0, 50421, 57519
565, 7097, 0, 50422, 57519
571, 7122, 0, 50397, 57519
577, 7122, 0, 50397, 57519
583, 7111, 0, 50408, 57519
589, 7112, 0, 50407, 57519
595, 7111, 0, 50408, 57519
601, 7106, 0, 50413, 57519
607, 7102, 0, 50417, 57519
613, 7147, 0, 50372, 57519
619, 7111, 0, 50408, 57519
625, 7110, 0, 50409, 57519
631, 7104, 0, 50415, 57519
637, 7105, 0, 50414, 57519
643, 7099, 0, 50420, 57519
649, 7100, 0, 50419, 57519
655, 7246, 0, 50273, 57519
661, 7108, 0, 50411, 57519
667, 7100, 0, 50419, 57519
673, 7099, 0, 50420, 57519
679, 7254, 0, 50265, 57519
685, 7099, 0, 50420, 57519
691, 7102, 0, 50417, 57519
697, 7130, 0, 50389, 57519
703, 7311, 0, 50208, 57519
709, 7139, 0, 50380, 57519
715, 7103, 0, 50416, 57519
721, 7102, 0, 50417, 57519
727, 7103, 0, 50416, 57519
733, 7104, 0, 50415, 57519
739, 7112, 0, 50407, 57519
745, 7111, 0, 50408, 57519
751, 7103, 0, 50416, 57519
757, 7103, 0, 50416, 57519
763, 7104, 0, 50415, 57519
769, 7103, 0, 50416, 57519
775, 7105, 0, 50414, 57519
781, 7677, 0, 49842, 57519
