ts, default broker, COLDPower18, EWIIS3, AgentUDE, Bunnie, total
359, 57508, 0, 0, 0, 0, 57508
360, 57508, 0, 0, 0, 0, 57508
361, 6825, 0, 52, 29506, 21125, 57508
367, 6917, 0, 37, 29519, 21035, 57508
373, 6918, 0, 106, 32668, 17816, 57508
379, 6863, 0, 90, 35752, 14803, 57508
385, 6871, 0, 34, 37564, 13039, 57508
391, 6869, 0, 78, 38552, 12009, 57508
397, 6908, 0, 56, 39587, 10957, 57508
403, 6980, 0, 479, 6389, 43660, 57508
409, 6942, 0, 91, 4121, 46354, 57508
415, 6845, 0, 455, 4919, 45289, 57508
421, 6919, 0, 219, 5751, 44619, 57508
427, 6958, 0, 180, 6481, 43889, 57508
433, 6958, 0, 214, 7477, 42859, 57508
439, 6904, 0, 176, 8530, 41898, 57508
445, 6815, 0, 182, 4065, 46446, 57508
451, 6840, 0, 236, 4585, 45847, 57508
457, 6906, 0, 258, 5746, 44598, 57508
463, 6887, 0, 225, 7241, 43155, 57508
469, 6861, 0, 158, 8527, 41962, 57508
475, 6817, 0, 152, 10260, 40279, 57508
481, 6837, 0, 122, 10985, 39564, 57508
487, 6824, 0, 118, 2126, 48440, 57508
493, 6744, 0, 61, 3501, 47202, 57508
499, 6746, 0, 54, 4413, 46295, 57508
505, 6795, 0, 54, 5236, 45423, 57508
511, 6837, 0, 22, 5951, 44698, 57508
517, 6915, 0, 24, 6993, 43576, 57508
523, 6964, 0, 23, 8587, 41934, 57508
529, 6955, 0, 21, 6427, 44105, 57508
535, 7002, 0, 20, 6942, 43544, 57508
541, 7001, 0, 18, 7723, 42766, 57508
547, 6947, 0, 17, 10097, 40447, 57508
553, 6936, 0, 17, 11668, 38887, 57508
559, 6940, 0, 15, 12880, 37673, 57508
565, 6925, 0, 15, 15414, 35154, 57508
571, 6945, 0, 15, 5582, 44966, 57508
577, 6955, 0, 15, 5930, 44608, 57508
583, 6978, 0, 14, 6265, 44251, 57508
589, 7002, 0, 15, 6826, 43665, 57508
595, 6908, 0, 14, 7634, 42952, 57508
601, 6927, 0, 13, 8107, 42461, 57508
