ts, default broker, VidyutVanika, AgentUDE, total
359, 57511, 0, 0, 57511
360, 57511, 0, 0, 57511
361, 17, 7969, 49525, 57511
367, 19, 7967, 49525, 57511
373, 20, 7966, 49525, 57511
379, 20, 7965, 49526, 57511
385, 21, 7964, 49526, 57511
391, 21, 7963, 49527, 57511
403, 21, 20966, 36524, 57511
409, 20, 22568, 34923, 57511
415, 21, 22713, 34777, 57511
421, 18, 22749, 34744, 57511
427, 19, 22748, 34744, 57511
433, 21, 22749, 34741, 57511
439, 21, 22758, 34732, 57511
445, 16, 54038, 3457, 57511
451, 16, 56892, 603, 57511
457, 15, 57046, 450, 57511
463, 15, 57044, 452, 57511
469, 14, 57059, 438, 57511
475, 15, 56681, 815, 57511
481, 11, 55561, 1939, 57511
487, 15, 54342, 3154, 57511
493, 16, 52547, 4948, 57511
499, 16, 52054, 5441, 57511
505, 15, 51480, 6016, 57511
511, 15, 51278, 6218, 57511
517, 13, 49664, 7834, 57511
523, 13, 48356, 9142, 57511
529, 14, 46667, 10830, 57511
535, 15, 43906, 13590, 57511
541, 14, 39823, 17674, 57511
547, 15, 37384, 20112, 57511
553, 15, 35180, 22316, 57511
559, 12, 33569, 23930, 57511
565, 14, 31462, 26035, 57511
571, 20, 40633, 16858, 57511
577, 19, 39933, 17559, 57511
583, 21, 39916, 17574, 57511
589, 21, 39823, 17667, 57511
595, 19, 40351, 17141, 57511
601, 18, 40995, 16498, 57511
607, 19, 41061, 16431, 57511
613, 11, 55590, 1910, 57511
619, 9, 56716, 786, 57511
625, 11, 56513, 987, 57511
631, 11, 56180, 1320, 57511
637, 10, 53797, 3704, 57511
643, 13, 43828, 13670, 57511
649, 10, 33633, 23868, 57511
655, 19, 38293, 19199, 57511
661, 17, 36805, 20689, 57511
667, 16, 36361, 21134, 57511
673, 14, 36197, 21300, 57511
679, 15, 35988, 21508, 57511
685, 15, 35150, 22346, 57511
691, 17, 34779, 22715, 57511
697, 18, 35012, 22481, 57511
703, 19, 33176, 24316, 57511
709, 18, 30860, 26633, 57511
715, 16, 28757, 28738, 57511
721, 15, 27175, 30321, 57511
727, 12, 25814, 31685, 57511
733, 9, 23897, 33605, 57511
739, 16, 43205, 14290, 57511
745, 12, 42111, 15388, 57511
751, 12, 42055, 15444, 57511
757, 12, 42113, 15386, 57511
763, 12, 42412, 15087, 57511
769, 13, 42670, 14828, 57511
775, 14, 42753, 14744, 57511
781, 16, 55574, 1921, 57511
787, 13, 56564, 934, 57511
793, 15, 56601, 895, 57511
799, 14, 56481, 1016, 57511
805, 13, 55760, 1738, 57511
811, 13, 51605, 5893, 57511
817, 13, 45574, 11924, 57511
823, 17, 45749, 11745, 57511
829, 16, 40121, 17374, 57511
835, 15, 39091, 18405, 57511
841, 18, 38604, 18889, 57511
847, 19, 38197, 19295, 57511
853, 18, 36052, 21441, 57511
859, 16, 35557, 21938, 57511
865, 18, 55645, 1848, 57511
871, 16, 51206, 6289, 57511
877, 2421, 48106, 6984, 57511
883, 2588, 47483, 7440, 57511
889, 3782, 45199, 8530, 57511
895, 3759, 44993, 8759, 57511
901, 3782, 44190, 9539, 57511
907, 3775, 49298, 4438, 57511
913, 4750, 46305, 6456, 57511
919, 4619, 45880, 7012, 57511
925, 4206, 46131, 7174, 57511
931, 4048, 46164, 7299, 57511
937, 3959, 46079, 7473, 57511
943, 3870, 46264, 7377, 57511
949, 3529, 52143, 1839, 57511
955, 3505, 52245, 1761, 57511
961, 3444, 51751, 2316, 57511
967, 3532, 50835, 3144, 57511
973, 3570, 48932, 5009, 57511
979, 3675, 48006, 5830, 57511
985, 3682, 44360, 9469, 57511
991, 3761, 36463, 17287, 57511
997, 3523, 32369, 21619, 57511
1003, 3540, 31596, 22375, 57511
1009, 3458, 29932, 24121, 57511
1015, 3537, 29461, 24513, 57511
1021, 3522, 27935, 26054, 57511
1027, 3643, 27238, 26630, 57511
1033, 3532, 38184, 15795, 57511
1039, 3435, 36881, 17195, 57511
1045, 3169, 34448, 19894, 57511
1051, 3244, 32735, 21532, 57511
1057, 3482, 28417, 25612, 57511
1063, 3401, 26283, 27827, 57511
1069, 3511, 24074, 29926, 57511
1075, 3385, 44625, 9501, 57511
1081, 3452, 44743, 9316, 57511
1087, 3376, 44160, 9975, 57511
1093, 3307, 43971, 10233, 57511
1099, 3287, 43731, 10493, 57511
1105, 3214, 43416, 10881, 57511
1111, 3336, 43400, 10775, 57511
1117, 3568, 51218, 2725, 57511
1123, 3669, 51019, 2823, 57511
1129, 3649, 50698, 3164, 57511
1135, 3803, 50432, 3276, 57511
1141, 3667, 50156, 3688, 57511
1147, 3598, 49930, 3983, 57511
1153, 3583, 48794, 5134, 57511
1159, 3527, 46849, 7135, 57511
1165, 3548, 45400, 8563, 57511
1171, 3555, 44172, 9784, 57511
1177, 3598, 37941, 15972, 57511
1183, 3776, 32395, 21340, 57511
1189, 3790, 25397, 28324, 57511
1195, 3761, 22981, 30769, 57511
1201, 3852, 29296, 24363, 57511
1207, 3929, 18729, 34853, 57511
1213, 4010, 16984, 36517, 57511
1219, 3881, 16483, 37147, 57511
1225, 3683, 14653, 39175, 57511
1231, 3720, 13761, 40030, 57511
1237, 3801, 13013, 40697, 57511
1243, 3777, 15592, 38142, 57511
1249, 3718, 11496, 42297, 57511
1255, 3692, 10286, 43533, 57511
1261, 3813, 9782, 43916, 57511
1267, 3859, 9310, 44342, 57511
1273, 3598, 8854, 45059, 57511
1279, 3663, 8553, 45295, 57511
1285, 3619, 29019, 24873, 57511
1291, 3510, 28770, 25231, 57511
1297, 3545, 27692, 26274, 57511
1303, 3484, 27260, 26767, 57511
1309, 3484, 26559, 27468, 57511
1315, 3452, 25906, 28153, 57511
1321, 3405, 25179, 28927, 57511
1327, 3385, 25077, 29049, 57511
1333, 3435, 24562, 29514, 57511
1339, 3480, 24470, 29561, 57511
1345, 3294, 24417, 29800, 57511
1351, 3309, 24202, 30000, 57511
1357, 3157, 22663, 31691, 57511
1363, 3271, 21423, 32817, 57511
1369, 3275, 29783, 24453, 57511
1375, 3105, 11429, 42977, 57511
1381, 3102, 8241, 46168, 57511
1387, 2906, 6895, 47710, 57511
1393, 3094, 5981, 48436, 57511
1399, 3154, 5508, 48849, 57511
1405, 3238, 4828, 49445, 57511
1411, 3468, 14854, 39189, 57511
1417, 3446, 11317, 42748, 57511
1423, 3452, 10991, 43068, 57511
1429, 3445, 10830, 43236, 57511
1435, 3506, 10715, 43290, 57511
1441, 3503, 10391, 43617, 57511
1447, 3573, 10527, 43411, 57511
1453, 3498, 42265, 11748, 57511
1459, 3708, 44677, 9126, 57511
1465, 3626, 45163, 8722, 57511
1471, 3572, 45362, 8577, 57511
1477, 3502, 45472, 8537, 57511
1483, 3515, 45421, 8575, 57511
1489, 3447, 44872, 9192, 57511
1495, 3351, 43224, 10936, 57511
1501, 3419, 42121, 11971, 57511
1507, 3613, 41418, 12480, 57511
1513, 3508, 39824, 14179, 57511
1519, 3508, 39386, 14617, 57511
1525, 3388, 22695, 31428, 57511
1531, 3486, 16115, 37910, 57511
1537, 3763, 26720, 27028, 57511
1543, 3786, 12700, 41025, 57511
1549, 3844, 11882, 41785, 57511
1555, 3800, 11415, 42296, 57511
1561, 3742, 10971, 42798, 57511
1567, 3666, 10677, 43168, 57511
1573, 3740, 10480, 43291, 57511
1579, 3627, 34043, 19841, 57511
1585, 3738, 27089, 26684, 57511
1591, 3752, 26090, 27669, 57511
1597, 3639, 25918, 27954, 57511
1603, 3609, 25870, 28032, 57511
1609, 3674, 25383, 28454, 57511
1615, 3746, 25462, 28303, 57511
1621, 3761, 45048, 8702, 57511
1627, 3759, 44840, 8912, 57511
1633, 3564, 44229, 9718, 57511
1639, 3638, 43907, 9966, 57511
1645, 3482, 43570, 10459, 57511
1651, 3655, 42353, 11503, 57511
1657, 3620, 41238, 12653, 57511
1663, 3595, 39515, 14401, 57511
1669, 3548, 39139, 14824, 57511
1675, 3501, 38592, 15418, 57511
1681, 3506, 37237, 16768, 57511
1687, 3472, 35808, 18231, 57511
1693, 3730, 26852, 26929, 57511
1699, 3818, 23766, 29927, 57511
1705, 3743, 24559, 29209, 57511
1711, 3685, 14099, 39727, 57511
1717, 3704, 11570, 42237, 57511
1723, 3634, 9634, 44243, 57511
1729, 3751, 8004, 45756, 57511
1735, 3754, 7772, 45985, 57511
1741, 3746, 7681, 46084, 57511
1747, 3666, 9117, 44728, 57511
1753, 3664, 6273, 47574, 57511
1759, 3735, 5747, 48029, 57511
1765, 3522, 5690, 48299, 57511
1771, 3637, 5266, 48608, 57511
1777, 3600, 5050, 48861, 57511
1783, 3736, 4854, 48921, 57511
1789, 3836, 16962, 36713, 57511
1795, 3871, 16479, 37161, 57511
1801, 3750, 15949, 37812, 57511
1807, 3894, 15584, 38033, 57511
1813, 3801, 15633, 38077, 57511
1819, 3815, 15438, 38258, 57511
1825, 3679, 15271, 38561, 57511
1831, 3744, 15514, 38253, 57511
1837, 3685, 16135, 37691, 57511
1843, 3669, 15807, 38035, 57511
1849, 3315, 15911, 38285, 57511
1855, 3333, 15764, 38414, 57511
1861, 3395, 13519, 40597, 57511
1867, 3308, 12168, 42035, 57511
1873, 3506, 18568, 35437, 57511
1879, 3375, 15532, 38604, 57511
1885, 3315, 14056, 40140, 57511
1891, 3012, 12830, 41669, 57511
1897, 2954, 10388, 44169, 57511
1903, 3049, 9062, 45400, 57511
1909, 3107, 8333, 46071, 57511
1915, 3406, 24667, 29438, 57511
1921, 3743, 18628, 35140, 57511
1927, 3665, 18052, 35794, 57511
1933, 3630, 17711, 36170, 57511
1939, 3709, 17408, 36394, 57511
1945, 3784, 17005, 36722, 57511
1951, 3690, 17110, 36711, 57511
1957, 3697, 35193, 18621, 57511
1963, 3795, 35322, 18394, 57511
