ts, default broker, CrocodileAgent, SPOT, total
359, 57512, 0, 0, 57512
360, 57512, 0, 0, 57512
361, 57512, 0, 0, 57512
367, 9069, 48442, 1, 57512
373, 8135, 48458, 919, 57512
379, 7630, 48611, 1271, 57512
385, 7388, 48732, 1392, 57512
391, 7221, 48837, 1454, 57512
397, 7072, 48940, 1500, 57512
403, 7068, 48937, 1507, 57512
409, 6913, 49097, 1502, 57512
415, 6891, 49393, 1228, 57512
421, 6869, 49675, 968, 57512
427, 6815, 49834, 863, 57512
433, 6779, 50120, 613, 57512
439, 6775, 50122, 615, 57512
445, 6707, 49454, 1351, 57512
451, 6709, 47289, 3514, 57512
457, 6718, 41943, 8851, 57512
463, 6795, 31022, 19695, 57512
469, 6598, 24498, 26416, 57512
475, 6797, 48560, 2155, 57512
481, 6877, 50314, 321, 57512
487, 6866, 50586, 60, 57512
493, 6965, 50547, 0, 57512
499, 7017, 50495, 0, 57512
505, 7063, 50449, 0, 57512
511, 7039, 50473, 0, 57512
517, 6786, 50726, 0, 57512
523, 6789, 50723, 0, 57512
529, 6824, 50688, 0, 57512
535, 6810, 50702, 0, 57512
541, 6887, 50625, 0, 57512
547, 6917, 50595, 0, 57512
553, 6933, 50579, 0, 57512
559, 6919, 50593, 0, 57512
565, 6905, 50607, 0, 57512
571, 6834, 50678, 0, 57512
577, 6818, 50694, 0, 57512
583, 6815, 50697, 0, 57512
589, 6851, 50661, 0, 57512
595, 6876, 50636, 0, 57512
601, 6836, 50676, 0, 57512
607, 6871, 50641, 0, 57512
613, 6796, 50716, 0, 57512
619, 6730, 50782, 0, 57512
625, 6670, 50842, 0, 57512
631, 6818, 50694, 0, 57512
637, 6792, 50720, 0, 57512
643, 6932, 50580, 0, 57512
649, 6924, 50588, 0, 57512
655, 6919, 50593, 0, 57512
661, 6901, 50611, 0, 57512
667, 6848, 50664, 0, 57512
673, 6868, 50644, 0, 57512
679, 6899, 50613, 0, 57512
685, 6941, 50571, 0, 57512
691, 6949, 50563, 0, 57512
697, 6875, 50637, 0, 57512
703, 6926, 50586, 0, 57512
709, 6888, 50624, 0, 57512
715, 6929, 50583, 0, 57512
721, 6885, 50627, 0, 57512
727, 6882, 50630, 0, 57512
733, 6908, 50604, 0, 57512
739, 6856, 50656, 0, 57512
745, 6785, 50727, 0, 57512
751, 6904, 50608, 0, 57512
757, 6910, 50602, 0, 57512
763, 6929, 50583, 0, 57512
769, 6948, 50564, 0, 57512
775, 6855, 50657, 0, 57512
781, 6844, 50668, 0, 57512
787, 6886, 50626, 0, 57512
793, 6869, 50643, 0, 57512
799, 6913, 50599, 0, 57512
805, 6840, 50672, 0, 57512
811, 6892, 50620, 0, 57512
817, 6962, 50550, 0, 57512
823, 6969, 50543, 0, 57512
829, 6887, 50625, 0, 57512
835, 6826, 50686, 0, 57512
841, 6841, 50671, 0, 57512
847, 6806, 50706, 0, 57512
853, 6768, 50744, 0, 57512
859, 6762, 50750, 0, 57512
865, 6793, 50719, 0, 57512
871, 6855, 50657, 0, 57512
877, 6933, 50579, 0, 57512
883, 6934, 50578, 0, 57512
889, 6959, 50553, 0, 57512
895, 6906, 50606, 0, 57512
901, 6943, 50569, 0, 57512
907, 6849, 50663, 0, 57512
913, 6897, 50615, 0, 57512
919, 6910, 50602, 0, 57512
925, 6896, 50616, 0, 57512
931, 6757, 50755, 0, 57512
937, 6834, 50678, 0, 57512
943, 6837, 50675, 0, 57512
949, 6882, 50630, 0, 57512
955, 6901, 50611, 0, 57512
961, 6896, 50616, 0, 57512
967, 6961, 50551, 0, 57512
973, 7027, 50485, 0, 57512
979, 7022, 50490, 0, 57512
985, 6940, 50572, 0, 57512
991, 6888, 50624, 0, 57512
997, 6909, 50603, 0, 57512
1003, 6958, 50554, 0, 57512
1009, 6934, 50578, 0, 57512
1015, 6914, 50598, 0, 57512
1021, 6870, 50642, 0, 57512
