ts, default broker, SPOT, COLDPower18, EWIIS3, AgentUDE, total
359, 57513, 0, 0, 0, 0, 57513
360, 57513, 0, 0, 0, 0, 57513
361, 7108, 0, 0, 5799, 44606, 57513
367, 7107, 3, 0, 3842, 46561, 57513
373, 7036, 140, 0, 2535, 47802, 57513
379, 7019, 215, 0, 2135, 48144, 57513
385, 7017, 215, 0, 1934, 48347, 57513
391, 7015, 237, 0, 1747, 48514, 57513
397, 7015, 238, 0, 1624, 48636, 57513
403, 7020, 18717, 0, 31741, 35, 57513
409, 7021, 20550, 0, 29908, 34, 57513
415, 7021, 21135, 0, 29323, 34, 57513
421, 7021, 23090, 0, 27367, 35, 57513
427, 7021, 24993, 0, 25464, 35, 57513
433, 7019, 27271, 0, 23188, 35, 57513
439, 7019, 28233, 0, 22226, 35, 57513
445, 7019, 28272, 0, 22219, 3, 57513
451, 7019, 28322, 0, 22170, 2, 57513
457, 7019, 29487, 0, 21005, 2, 57513
463, 7020, 31467, 0, 19023, 3, 57513
469, 7114, 0, 0, 21895, 28504, 57513
475, 7113, 0, 0, 20858, 29542, 57513
481, 7113, 0, 0, 20149, 30251, 57513
487, 7113, 0, 0, 22019, 28381, 57513
493, 7114, 0, 0, 21071, 29328, 57513
499, 7114, 0, 0, 20466, 29933, 57513
505, 7115, 0, 0, 19965, 30433, 57513
511, 7114, 0, 0, 19583, 30816, 57513
517, 7114, 0, 0, 19369, 31030, 57513
523, 7114, 0, 0, 19095, 31304, 57513
529, 7122, 0, 0, 20349, 30042, 57513
535, 7122, 0, 0, 19774, 30617, 57513
541, 7122, 0, 0, 19343, 31048, 57513
547, 7121, 0, 0, 19239, 31153, 57513
553, 7121, 0, 0, 18979, 31413, 57513
559, 7120, 0, 0, 18757, 31636, 57513
565, 7120, 0, 0, 18352, 32041, 57513
571, 7120, 0, 0, 18119, 32274, 57513
577, 7122, 0, 0, 17823, 32568, 57513
583, 7122, 0, 0, 17684, 32707, 57513
589, 7121, 0, 0, 17620, 32772, 57513
595, 7117, 0, 0, 17542, 32854, 57513
601, 7117, 0, 0, 17535, 32861, 57513
607, 7117, 0, 0, 17494, 32902, 57513
613, 7120, 0, 0, 26863, 23530, 57513
619, 7118, 0, 0, 24751, 25644, 57513
625, 7118, 0, 0, 23116, 27279, 57513
631, 7119, 0, 0, 22657, 27737, 57513
637, 7119, 0, 0, 21756, 28638, 57513
643, 7120, 0, 0, 20627, 29766, 57513
649, 7120, 0, 0, 20159, 30234, 57513
655, 7117, 0, 0, 29732, 20664, 57513
661, 7116, 0, 0, 27491, 22906, 57513
667, 7115, 0, 0, 25251, 25147, 57513
673, 7116, 0, 0, 22277, 28120, 57513
679, 7117, 0, 0, 21844, 28552, 57513
685, 7116, 0, 0, 21463, 28934, 57513
691, 7117, 0, 0, 20453, 29943, 57513
697, 7121, 0, 0, 24316, 26076, 57513
703, 7122, 0, 0, 23316, 27075, 57513
709, 7122, 0, 0, 22060, 28331, 57513
715, 7122, 0, 0, 20484, 29907, 57513
721, 7121, 0, 0, 20158, 30234, 57513
727, 7120, 0, 0, 19643, 30750, 57513
733, 7122, 0, 0, 19165, 31226, 57513
739, 7122, 0, 0, 21489, 28902, 57513
745, 7121, 0, 0, 20863, 29529, 57513
751, 7123, 0, 0, 20337, 30053, 57513
757, 7123, 0, 0, 19800, 30590, 57513
763, 7123, 0, 0, 19501, 30889, 57513
769, 7122, 0, 0, 19143, 31248, 57513
775, 7122, 0, 0, 19113, 31278, 57513
781, 7122, 0, 0, 19876, 30515, 57513
787, 7122, 0, 0, 18932, 31459, 57513
793, 7121, 0, 0, 18632, 31760, 57513
799, 7122, 0, 0, 18492, 31899, 57513
805, 7122, 0, 0, 17919, 32472, 57513
811, 7122, 0, 0, 17823, 32568, 57513
817, 7120, 0, 0, 17699, 32694, 57513
823, 7120, 0, 0, 34444, 15949, 57513
829, 7119, 0, 0, 29512, 20882, 57513
835, 7120, 0, 0, 26146, 24247, 57513
841, 7120, 0, 0, 23692, 26701, 57513
847, 7119, 0, 0, 23430, 26964, 57513
853, 7120, 0, 0, 22274, 28119, 57513
859, 7120, 0, 0, 21170, 29223, 57513
865, 7114, 0, 0, 20323, 30076, 57513
871, 7112, 0, 0, 19670, 30731, 57513
877, 7112, 0, 0, 19183, 31218, 57513
883, 7110, 0, 0, 19179, 31224, 57513
889, 7109, 0, 0, 18414, 31990, 57513
895, 7109, 0, 0, 18265, 32139, 57513
901, 7107, 0, 0, 17847, 32559, 57513
907, 7115, 0, 0, 18665, 31733, 57513
913, 7112, 0, 0, 18556, 31845, 57513
919, 7111, 0, 0, 18384, 32018, 57513
925, 7110, 0, 0, 18092, 32311, 57513
931, 7108, 0, 0, 18031, 32374, 57513
937, 7107, 0, 0, 17607, 32799, 57513
943, 7106, 0, 0, 17471, 32936, 57513
949, 7120, 0, 0, 21321, 29072, 57513
955, 7119, 0, 0, 20026, 30368, 57513
961, 7119, 0, 0, 19028, 31366, 57513
967, 7119, 0, 0, 18277, 32117, 57513
973, 7119, 0, 0, 17832, 32562, 57513
979, 7120, 0, 0, 17550, 32843, 57513
985, 7120, 0, 0, 17032, 33361, 57513
991, 7122, 0, 0, 23697, 26694, 57513
997, 7122, 0, 0, 22246, 28145, 57513
1003, 7122, 0, 0, 20261, 30130, 57513
1009, 7121, 0, 0, 19344, 31048, 57513
1015, 7121, 0, 0, 18518, 31874, 57513
1021, 7122, 0, 0, 17753, 32638, 57513
1027, 7121, 0, 0, 17552, 32840, 57513
1033, 7122, 0, 0, 18165, 32226, 57513
1039, 7121, 0, 0, 17652, 32740, 57513
1045, 7121, 0, 0, 16916, 33476, 57513
1051, 7121, 0, 0, 16049, 34343, 57513
1057, 7118, 0, 0, 15357, 35038, 57513
1063, 7116, 0, 0, 15167, 35230, 57513
1069, 7116, 0, 0, 14576, 35821, 57513
1075, 7120, 0, 0, 20033, 30360, 57513
1081, 7120, 0, 0, 18551, 31842, 57513
1087, 7120, 0, 0, 17455, 32938, 57513
1093, 7120, 0, 0, 16699, 33694, 57513
1099, 7121, 0, 0, 16107, 34285, 57513
1105, 7120, 0, 0, 15236, 35157, 57513
1111, 7120, 0, 0, 14763, 35630, 57513
1117, 7118, 0, 0, 15159, 35236, 57513
1123, 7114, 0, 0, 14557, 35842, 57513
1129, 7112, 0, 0, 13933, 36468, 57513
1135, 7113, 0, 0, 13366, 37034, 57513
1141, 7113, 0, 0, 13127, 37273, 57513
1147, 7113, 0, 0, 12867, 37533, 57513
1153, 7111, 0, 0, 12614, 37788, 57513
1159, 7117, 0, 0, 20584, 29812, 57513
1165, 7116, 0, 0, 19516, 30881, 57513
1171, 7115, 0, 0, 17937, 32461, 57513
1177, 7113, 0, 0, 17190, 33210, 57513
1183, 7114, 0, 0, 16301, 34098, 57513
1189, 7114, 0, 0, 15459, 34940, 57513
1195, 7113, 0, 0, 14264, 36136, 57513
1201, 7107, 0, 0, 14697, 35709, 57513
1207, 7107, 0, 0, 13755, 36651, 57513
1213, 7105, 0, 0, 13428, 36980, 57513
1219, 7107, 0, 0, 13312, 37094, 57513
1225, 7107, 0, 0, 12927, 37479, 57513
1231, 7106, 0, 0, 12645, 37762, 57513
1237, 7106, 0, 0, 12594, 37813, 57513
1243, 7103, 0, 0, 12714, 37696, 57513
1249, 7099, 0, 0, 12364, 38050, 57513
1255, 7066, 0, 0, 12277, 38170, 57513
1261, 7062, 0, 0, 12158, 38293, 57513
1267, 7059, 0, 0, 12089, 38365, 57513
1273, 7056, 0, 0, 11935, 38522, 57513
1279, 7052, 0, 0, 11934, 38527, 57513
1285, 7070, 0, 0, 16438, 34005, 57513
1291, 7079, 0, 0, 15734, 34700, 57513
1297, 7078, 0, 0, 15201, 35234, 57513
1303, 7074, 0, 0, 14679, 35760, 57513
1309, 7074, 0, 0, 14201, 36238, 57513
1315, 7073, 0, 0, 13397, 37043, 57513
1321, 7072, 0, 0, 13027, 37414, 57513
1327, 7087, 0, 0, 17574, 32852, 57513
1333, 7098, 0, 0, 15453, 34962, 57513
1339, 7100, 0, 0, 13991, 36422, 57513
1345, 7103, 0, 0, 13258, 37152, 57513
1351, 7100, 0, 0, 12904, 37509, 57513
1357, 7100, 0, 0, 12693, 37720, 57513
1363, 7098, 0, 0, 12401, 38014, 57513
1369, 7114, 0, 0, 18584, 31815, 57513
1375, 7114, 0, 0, 16823, 33576, 57513
1381, 7113, 0, 0, 15475, 34925, 57513
1387, 7112, 0, 0, 14793, 35608, 57513
1393, 7112, 0, 0, 13809, 36592, 57513
1399, 7112, 0, 0, 13368, 37033, 57513
1405, 7112, 0, 0, 12630, 37771, 57513
1411, 7110, 0, 0, 13873, 36530, 57513
1417, 7109, 0, 0, 13400, 37004, 57513
1423, 7107, 0, 0, 12889, 37517, 57513
1429, 7102, 0, 0, 12448, 37963, 57513
1435, 7100, 0, 0, 12296, 38117, 57513
1441, 7099, 0, 0, 12012, 38402, 57513
1447, 7094, 0, 0, 11867, 38552, 57513
1453, 7094, 0, 0, 12299, 38120, 57513
1459, 7097, 0, 0, 12218, 38198, 57513
1465, 7094, 0, 0, 12116, 38303, 57513
1471, 7094, 0, 0, 12074, 38345, 57513
1477, 7095, 0, 0, 11986, 38432, 57513
1483, 7096, 0, 0, 11787, 38630, 57513
1489, 7097, 0, 0, 11760, 38656, 57513
1495, 7117, 0, 0, 15655, 34741, 57513
1501, 7116, 0, 0, 13855, 36542, 57513
1507, 7117, 0, 0, 13270, 37126, 57513
1513, 7116, 0, 0, 12837, 37560, 57513
1519, 7116, 0, 0, 12663, 37734, 57513
1525, 7115, 0, 0, 12395, 38003, 57513
1531, 7115, 0, 0, 12152, 38246, 57513
1537, 7113, 0, 0, 13993, 36407, 57513
1543, 7111, 0, 0, 13514, 36888, 57513
1549, 7108, 0, 0, 12855, 37550, 57513
1555, 7106, 0, 0, 12609, 37798, 57513
1561, 7105, 0, 0, 12477, 37931, 57513
1567, 7103, 0, 0, 12263, 38147, 57513
