ts, default broker, CrocodileAgent, VidyutVanika, total
359, 57506, 0, 0, 57506
360, 57506, 0, 0, 57506
361, 9, 2596, 54901, 57506
367, 13, 2591, 54902, 57506
373, 12, 2592, 54902, 57506
379, 8, 2589, 54909, 57506
385, 12, 2588, 54906, 57506
391, 8, 2590, 54908, 57506
397, 7, 2592, 54907, 57506
403, 11, 2590, 54905, 57506
409, 7, 2587, 54912, 57506
415, 8, 2591, 54907, 57506
421, 7, 2588, 54911, 57506
427, 6, 2590, 54910, 57506
433, 6, 1750, 55750, 57506
439, 7, 1121, 56378, 57506
445, 9, 689, 56808, 57506
451, 8, 733, 56765, 57506
457, 8, 1289, 56209, 57506
463, 8, 1347, 56151, 57506
469, 10, 1763, 55733, 57506
475, 7, 3635, 53864, 57506
481, 9, 6487, 51010, 57506
487, 9, 9220, 48277, 57506
493, 6, 11755, 45745, 57506
499, 13, 14970, 42523, 57506
505, 10, 18170, 39326, 57506
511, 8, 20658, 36840, 57506
517, 8, 20759, 36739, 57506
523, 11, 20673, 36822, 57506
529, 9, 20628, 36869, 57506
535, 12, 20348, 37146, 57506
541, 10, 20137, 37359, 57506
547, 8, 19802, 37696, 57506
553, 5, 18551, 38950, 57506
559, 6, 17059, 40441, 57506
565, 4, 14762, 42740, 57506
571, 7, 12164, 45335, 57506
577, 9, 9851, 47646, 57506
583, 7, 7926, 49573, 57506
589, 6, 5424, 52076, 57506
595, 10, 3693, 53803, 57506
601, 8, 3181, 54317, 57506
607, 7, 2026, 55473, 57506
613, 6, 1810, 55690, 57506
619, 7, 1315, 56184, 57506
625, 9, 1495, 56002, 57506
631, 4, 1764, 55738, 57506
637, 7, 2265, 55234, 57506
643, 8, 3473, 54025, 57506
649, 10, 5525, 51971, 57506
655, 10, 7785, 49711, 57506
661, 4, 9450, 48052, 57506
667, 5, 10888, 46613, 57506
673, 7, 13889, 43610, 57506
679, 8, 16877, 40621, 57506
685, 5, 17710, 39791, 57506
691, 5, 17674, 39827, 57506
697, 8, 18050, 39448, 57506
703, 10, 17853, 39643, 57506
709, 9, 17986, 39511, 57506
715, 8, 16994, 40504, 57506
721, 10, 16220, 41276, 57506
727, 8, 15474, 42024, 57506
733, 9, 13794, 43703, 57506
739, 6, 11934, 45566, 57506
745, 6, 9696, 47804, 57506
751, 5, 8157, 49344, 57506
757, 9, 6233, 51264, 57506
763, 6, 4845, 52655, 57506
769, 9, 3975, 53522, 57506
775, 11, 2704, 54791, 57506
781, 9, 2466, 55031, 57506
787, 8, 2417, 55081, 57506
793, 9, 2310, 55187, 57506
799, 9, 2296, 55201, 57506
805, 10, 2455, 55041, 57506
811, 8, 4240, 53258, 57506
817, 6, 7602, 49898, 57506
823, 8, 10442, 47056, 57506
829, 5, 12217, 45284, 57506
835, 8, 14910, 42588, 57506
841, 9, 16526, 40971, 57506
847, 12, 18310, 39184, 57506
853, 11, 18693, 38802, 57506
859, 4, 19386, 38116, 57506
865, 4, 19152, 38350, 57506
871, 12, 19077, 38417, 57506
877, 16, 18866, 38624, 57506
883, 9, 17244, 40253, 57506
889, 9, 16102, 41395, 57506
895, 8, 14840, 42658, 57506
901, 11, 12315, 45180, 57506
907, 6, 9802, 47698, 57506
913, 5, 8120, 49381, 57506
919, 6, 6836, 50664, 57506
925, 6, 4876, 52624, 57506
931, 3, 2972, 54531, 57506
937, 2, 1936, 55568, 57506
943, 6, 1356, 56144, 57506
949, 2, 931, 56573, 57506
955, 6, 746, 56754, 57506
961, 5, 607, 56894, 57506
967, 3, 507, 56996, 57506
973, 1, 568, 56937, 57506
979, 4, 708, 56794, 57506
985, 5, 1406, 56095, 57506
991, 6, 1656, 55844, 57506
997, 4, 1885, 55617, 57506
1003, 5, 2361, 55140, 57506
1009, 4, 2611, 54891, 57506
1015, 5, 2582, 54919, 57506
1021, 5, 2501, 55000, 57506
1027, 7, 2436, 55063, 57506
1033, 6, 2418, 55082, 57506
1039, 11, 2719, 54776, 57506
1045, 11, 2869, 54626, 57506
1051, 6, 2659, 54841, 57506
1057, 4, 2568, 54934, 57506
1063, 7, 2299, 55200, 57506
1069, 11, 1996, 55499, 57506
1075, 7, 1722, 55777, 57506
1081, 4, 1436, 56066, 57506
1087, 3, 1238, 56265, 57506
1093, 4, 1065, 56437, 57506
1099, 3, 865, 56638, 57506
1105, 5, 843, 56658, 57506
1111, 4, 700, 56802, 57506
1117, 5, 640, 56861, 57506
1123, 8, 555, 56943, 57506
1129, 8, 495, 57003, 57506
1135, 5, 337, 57164, 57506
1141, 3, 503, 57000, 57506
1147, 4, 396, 57106, 57506
1153, 1, 575, 56930, 57506
1159, 8, 1060, 56438, 57506
1165, 4, 1195, 56307, 57506
1171, 6, 1115, 56385, 57506
1177, 6, 1346, 56154, 57506
1183, 5, 1350, 56151, 57506
1189, 5, 1474, 56027, 57506
1195, 9, 1441, 56056, 57506
1201, 9, 1442, 56055, 57506
1207, 12, 1803, 55691, 57506
1213, 6, 1803, 55697, 57506
1219, 7, 1661, 55838, 57506
1225, 4, 1589, 55913, 57506
1231, 3, 1200, 56303, 57506
1237, 8, 1063, 56435, 57506
1243, 3, 1062, 56441, 57506
1249, 5, 827, 56674, 57506
1255, 4, 644, 56858, 57506
1261, 3, 525, 56978, 57506
1267, 1, 497, 57008, 57506
1273, 6, 495, 57005, 57506
1279, 4, 373, 57129, 57506
1285, 4, 251, 57251, 57506
1291, 4, 134, 57368, 57506
1297, 5, 71, 57430, 57506
1303, 6, 190, 57310, 57506
1309, 5, 322, 57179, 57506
1315, 13, 4554, 52939, 57506
1321, 7, 4593, 52906, 57506
1327, 3, 4591, 52912, 57506
1333, 3, 4606, 52897, 57506
1339, 7, 4684, 52815, 57506
1345, 4, 4748, 52754, 57506
1351, 7, 4777, 52722, 57506
1357, 7, 4774, 52725, 57506
1363, 5, 4752, 52749, 57506
1369, 5, 4751, 52750, 57506
1375, 8, 4878, 52620, 57506
1381, 10, 4819, 52677, 57506
1387, 6, 3032, 54468, 57506
1393, 7, 1761, 55738, 57506
1399, 3, 1153, 56350, 57506
1405, 10, 957, 56539, 57506
1411, 7, 712, 56787, 57506
1417, 8, 558, 56940, 57506
1423, 6, 447, 57053, 57506
1429, 4, 308, 57194, 57506
1435, 4, 308, 57194, 57506
1441, 3, 258, 57245, 57506
1447, 4, 260, 57242, 57506
1453, 8, 254, 57244, 57506
1459, 6, 259, 57241, 57506
1465, 5, 197, 57304, 57506
1471, 5, 136, 57365, 57506
1477, 5, 78, 57423, 57506
1483, 4, 294, 57208, 57506
1489, 3, 437, 57066, 57506
1495, 3, 809, 56694, 57506
1501, 3, 1333, 56170, 57506
1507, 4, 1332, 56170, 57506
1513, 4, 1445, 56057, 57506
1519, 7, 1478, 56021, 57506
1525, 8, 1472, 56026, 57506
1531, 6, 1474, 56026, 57506
1537, 7, 1473, 56026, 57506
1543, 8, 1962, 55536, 57506
1549, 7, 1960, 55539, 57506
1555, 6, 1839, 55661, 57506
1561, 3, 1690, 55813, 57506
1567, 6, 1564, 55936, 57506
1573, 8, 1270, 56228, 57506
1579, 2, 1087, 56417, 57506
1585, 7, 1004, 56495, 57506
1591, 9, 770, 56727, 57506
1597, 4, 687, 56815, 57506
1603, 6, 664, 56836, 57506
1609, 0, 542, 56964, 57506
1615, 2, 459, 57045, 57506
1621, 4, 397, 57105, 57506
1627, 5, 366, 57135, 57506
1633, 7, 277, 57222, 57506
1639, 1, 252, 57253, 57506
1645, 6, 187, 57313, 57506
1651, 13, 4287, 53206, 57506
1657, 4, 4369, 53133, 57506
1663, 3, 4309, 53194, 57506
1669, 8, 4364, 53134, 57506
1675, 7, 4360, 53139, 57506
1681, 2, 4410, 53094, 57506
1687, 4, 4348, 53154, 57506
1693, 5, 4345, 53156, 57506
1699, 5, 4345, 53156, 57506
1705, 5, 4284, 53217, 57506
1711, 12, 4347, 53147, 57506
1717, 14, 4346, 53146, 57506
1723, 4, 2684, 54818, 57506
1729, 4, 2162, 55340, 57506
