ts, default broker, CrocodileAgent, EWIIS3, VidyutVanika, AgentUDE, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 16, 4, 2506, 9414, 45579, 57519
367, 15, 6, 1216, 9504, 46778, 57519
373, 18, 5, 683, 9624, 47189, 57519
379, 11, 4, 570, 9627, 47307, 57519
385, 11, 3, 475, 9624, 47406, 57519
391, 14, 2, 433, 9624, 47446, 57519
397, 12, 4, 356, 9626, 47521, 57519
403, 10, 6, 5793, 16240, 35470, 57519
409, 9, 6, 4722, 16464, 36318, 57519
415, 7, 6, 3849, 16897, 36760, 57519
421, 8, 6, 2939, 17106, 37460, 57519
427, 9, 8, 2161, 17264, 38077, 57519
433, 9, 9, 1981, 17123, 38397, 57519
439, 8, 37, 1817, 17183, 38474, 57519
445, 4, 1522, 1870, 46306, 7817, 57519
451, 3, 1522, 1590, 46600, 7804, 57519
457, 1, 1699, 1133, 46819, 7867, 57519
463, 1, 1727, 1106, 46835, 7850, 57519
469, 1, 1790, 1052, 46816, 7860, 57519
475, 1, 2132, 798, 46748, 7840, 57519
481, 1, 2539, 777, 46357, 7845, 57519
487, 4, 4060, 542, 49893, 3020, 57519
493, 5, 4055, 520, 49173, 3766, 57519
499, 5, 4050, 362, 47091, 6011, 57519
505, 4, 4052, 316, 45583, 7564, 57519
511, 4, 4049, 246, 45030, 8190, 57519
517, 5, 3627, 240, 37156, 16491, 57519
523, 6, 3401, 214, 31343, 22555, 57519
529, 13, 3219, 193, 32520, 21574, 57519
535, 13, 3001, 190, 31228, 23087, 57519
541, 13, 2850, 191, 28675, 25790, 57519
547, 11, 2580, 192, 26663, 28073, 57519
553, 10, 2263, 170, 25901, 29175, 57519
559, 10, 1485, 172, 25059, 30793, 57519
565, 11, 1142, 172, 22603, 33591, 57519
571, 11, 915, 171, 27235, 29187, 57519
577, 10, 572, 174, 25996, 30767, 57519
583, 10, 461, 173, 25519, 31356, 57519
589, 10, 424, 149, 24524, 32412, 57519
595, 12, 376, 133, 23133, 33865, 57519
601, 8, 392, 170, 21878, 35071, 57519
607, 10, 308, 168, 21593, 35440, 57519
613, 7, 1829, 168, 49938, 5577, 57519
619, 5, 1924, 152, 49816, 5622, 57519
625, 3, 2270, 118, 49512, 5616, 57519
631, 1, 2410, 114, 49347, 5647, 57519
637, 3, 2517, 107, 49213, 5679, 57519
643, 1, 2822, 90, 48790, 5816, 57519
649, 2, 2868, 89, 48693, 5867, 57519
655, 13, 4561, 104, 52259, 582, 57519
661, 13, 4509, 92, 52139, 766, 57519
667, 14, 4442, 88, 51214, 1761, 57519
673, 14, 4439, 89, 50507, 2470, 57519
679, 13, 4410, 83, 48680, 4333, 57519
685, 11, 4228, 86, 43006, 10188, 57519
691, 13, 3851, 82, 39171, 14402, 57519
697, 9, 3244, 126, 35227, 18913, 57519
703, 10, 3097, 107, 33294, 21011, 57519
709, 11, 2896, 105, 28675, 25832, 57519
715, 9, 2473, 112, 25602, 29323, 57519
721, 10, 2187, 76, 22498, 32748, 57519
727, 9, 1666, 76, 21102, 34666, 57519
733, 10, 1286, 76, 19594, 36553, 57519
739, 12, 997, 76, 39636, 16798, 57519
745, 12, 906, 78, 40626, 15897, 57519
751, 14, 489, 80, 40903, 16033, 57519
757, 12, 427, 83, 40401, 16596, 57519
763, 12, 427, 84, 40173, 16823, 57519
769, 11, 413, 88, 39802, 17205, 57519
