ts, default broker, CrocodileAgent, SPOT, EWIIS3, Bunnie, total
359, 57515, 0, 0, 0, 0, 57515
360, 57515, 0, 0, 0, 0, 57515
361, 6586, 110, 97, 151, 50571, 57515
367, 6614, 188, 94, 153, 50466, 57515
373, 6357, 345, 93, 160, 50560, 57515
379, 6388, 354, 93, 164, 50516, 57515
385, 6483, 334, 94, 151, 50453, 57515
391, 6476, 355, 94, 140, 50450, 57515
397, 6578, 293, 94, 146, 50404, 57515
403, 6663, 211, 94, 295, 50252, 57515
409, 6674, 202, 93, 279, 50267, 57515
415, 6672, 132, 93, 222, 50396, 57515
421, 6625, 178, 93, 142, 50477, 57515
427, 6562, 233, 93, 166, 50461, 57515
433, 6572, 230, 93, 162, 50458, 57515
439, 6611, 264, 93, 150, 50397, 57515
445, 6654, 205, 93, 141, 50422, 57515
451, 6494, 255, 93, 151, 50522, 57515
457, 6521, 265, 93, 130, 50506, 57515
463, 6580, 231, 93, 113, 50498, 57515
469, 6540, 354, 93, 96, 50432, 57515
475, 6502, 953, 94, 80, 49886, 57515
481, 6655, 2827, 93, 76, 47864, 57515
487, 6794, 3395, 93, 64, 47169, 57515
493, 6865, 4525, 93, 63, 45969, 57515
499, 6886, 6714, 93, 59, 43763, 57515
505, 6851, 7748, 93, 60, 42763, 57515
511, 6709, 7827, 93, 57, 42829, 57515
517, 6484, 8009, 94, 56, 42872, 57515
523, 6379, 8076, 212, 56, 42792, 57515
529, 6451, 8026, 212, 45, 42781, 57515
535, 6557, 7933, 213, 47, 42765, 57515
541, 6716, 7747, 212, 48, 42792, 57515
547, 6730, 7555, 211, 46, 42973, 57515
553, 6691, 6993, 211, 47, 43573, 57515
559, 6682, 6590, 211, 48, 43984, 57515
565, 6633, 5211, 151, 47, 45473, 57515
571, 6768, 3577, 124, 45, 47001, 57515
577, 6711, 2745, 93, 46, 47920, 57515
583, 6669, 2003, 93, 49, 48701, 57515
589, 6684, 1401, 93, 39, 49298, 57515
595, 6681, 885, 93, 37, 49819, 57515
601, 6756, 564, 93, 37, 50065, 57515
607, 6727, 446, 93, 36, 50213, 57515
613, 6549, 433, 93, 36, 50404, 57515
619, 6583, 392, 94, 35, 50411, 57515
625, 6671, 282, 94, 35, 50433, 57515
631, 6587, 299, 94, 34, 50501, 57515
637, 6500, 477, 93, 33, 50412, 57515
643, 6562, 406, 93, 33, 50421, 57515
649, 6639, 3315, 94, 33, 47434, 57515
655, 6626, 3980, 94, 34, 46781, 57515
661, 6769, 4802, 94, 32, 45818, 57515
667, 6699, 6609, 94, 31, 44082, 57515
673, 6648, 7620, 93, 31, 43123, 57515
679, 6558, 7782, 93, 31, 43051, 57515
685, 6489, 7804, 94, 33, 43095, 57515
691, 6522, 7792, 95, 31, 43075, 57515
697, 6311, 7761, 95, 30, 43318, 57515
703, 6301, 7756, 95, 30, 43333, 57515
709, 6365, 7703, 94, 32, 43321, 57515
715, 6514, 7641, 94, 31, 43235, 57515
721, 6608, 6559, 93, 33, 44222, 57515
727, 6632, 6058, 94, 33, 44698, 57515
733, 6488, 5392, 94, 36, 45505, 57515
739, 6554, 4291, 94, 36, 46540, 57515
745, 6434, 2571, 94, 32, 48384, 57515
751, 6456, 2085, 94, 32, 48848, 57515
757, 6659, 1607, 94, 31, 49124, 57515
763, 6646, 1265, 94, 31, 49479, 57515
769, 6654, 934, 94, 32, 49801, 57515
775, 6548, 994, 94, 34, 49845, 57515
781, 6568, 849, 94, 36, 49968, 57515
787, 6623, 659, 94, 35, 50104, 57515
793, 6686, 523, 94, 36, 50176, 57515
799, 6633, 614, 95, 35, 50138, 57515
805, 6630, 768, 95, 35, 49987, 57515
811, 6643, 1103, 95, 35, 49639, 57515
817, 6623, 3239, 94, 37, 47522, 57515
823, 6653, 4312, 94, 37, 46419, 57515
829, 6612, 4653, 93, 36, 46121, 57515
835, 6748, 6418, 93, 35, 44221, 57515
841, 6737, 6720, 94, 34, 43930, 57515
847, 6660, 6842, 93, 38, 43882, 57515
853, 6606, 6855, 93, 38, 43923, 57515
859, 6644, 6908, 93, 40, 43830, 57515
865, 6735, 6820, 93, 39, 43828, 57515
871, 6683, 6788, 93, 29, 43922, 57515
877, 6677, 6700, 93, 30, 44015, 57515
883, 6651, 6662, 94, 27, 44081, 57515
889, 6681, 5746, 93, 28, 44967, 57515
895, 6751, 4736, 93, 27, 45908, 57515
901, 6541, 3987, 93, 28, 46866, 57515
907, 6599, 3216, 93, 30, 47577, 57515
913, 6591, 2258, 93, 29, 48544, 57515
919, 6581, 1570, 94, 29, 49241, 57515
925, 6562, 1173, 95, 27, 49658, 57515
931, 6569, 936, 94, 28, 49888, 57515
937, 6568, 760, 93, 29, 50065, 57515
943, 6599, 560, 93, 30, 50233, 57515
949, 6646, 460, 93, 28, 50288, 57515
