ts, default broker, SPOT, AgentUDE, total
359, 57505, 0, 0, 57505
360, 57505, 0, 0, 57505
361, 7022, 14644, 35839, 57505
367, 7021, 14648, 35836, 57505
373, 7018, 14658, 35829, 57505
379, 7017, 14655, 35833, 57505
385, 7019, 14648, 35838, 57505
391, 7018, 14649, 35838, 57505
397, 7018, 14649, 35838, 57505
403, 7015, 11975, 38515, 57505
409, 7016, 8998, 41491, 57505
415, 7010, 7634, 42861, 57505
421, 7012, 5733, 44760, 57505
427, 7011, 4190, 46304, 57505
433, 7015, 2790, 47700, 57505
439, 7011, 2842, 47652, 57505
445, 7010, 20289, 30206, 57505
451, 7007, 20283, 30215, 57505
457, 7007, 20285, 30213, 57505
463, 7009, 20282, 30214, 57505
469, 7008, 20287, 30210, 57505
475, 7008, 19996, 30501, 57505
481, 7007, 19405, 31093, 57505
487, 7007, 3935, 46563, 57505
493, 7007, 775, 49723, 57505
499, 7011, 309, 50185, 57505
505, 7009, 177, 50319, 57505
511, 7008, 150, 50347, 57505
517, 7005, 145, 50355, 57505
523, 7009, 145, 50351, 57505
529, 7016, 2085, 48404, 57505
535, 7018, 2089, 48398, 57505
541, 7020, 2087, 48398, 57505
547, 7018, 2078, 48409, 57505
553, 7015, 575, 49915, 57505
559, 7016, 586, 49903, 57505
565, 7012, 585, 49908, 57505
571, 7005, 2141, 48359, 57505
577, 7006, 351, 50148, 57505
583, 7005, 349, 50151, 57505
589, 7005, 350, 50150, 57505
595, 7003, 351, 50151, 57505
601, 7006, 107, 50392, 57505
607, 7005, 105, 50395, 57505
613, 7008, 3734, 46763, 57505
619, 7007, 4178, 46320, 57505
625, 7003, 4233, 46269, 57505
631, 7007, 4240, 46258, 57505
637, 7006, 4237, 46262, 57505
643, 7008, 4259, 46238, 57505
649, 7005, 2364, 48136, 57505
655, 7019, 20998, 29488, 57505
661, 7020, 21004, 29481, 57505
667, 7020, 21002, 29483, 57505
673, 7022, 20998, 29485, 57505
679, 7021, 20996, 29488, 57505
685, 7019, 21002, 29484, 57505
691, 7019, 20940, 29546, 57505
697, 7019, 22445, 28041, 57505
703, 7019, 21028, 29458, 57505
709, 7018, 19102, 31385, 57505
715, 7018, 17344, 33143, 57505
721, 7016, 15445, 35044, 57505
727, 7018, 14400, 36087, 57505
733, 7016, 13245, 37244, 57505
739, 7022, 22745, 27738, 57505
745, 7022, 21383, 29100, 57505
751, 7019, 18473, 32013, 57505
757, 7018, 16445, 34042, 57505
763, 7022, 15172, 35311, 57505
769, 7019, 13907, 36579, 57505
775, 7015, 12921, 37569, 57505
781, 7017, 14895, 35593, 57505
787, 7014, 10506, 39985, 57505
793, 7015, 7259, 43231, 57505
799, 7017, 5967, 44521, 57505
805, 7017, 4319, 46169, 57505
811, 7014, 3637, 46854, 57505
817, 7013, 2070, 48422, 57505
823, 7018, 33965, 16522, 57505
829, 7021, 33971, 16513, 57505
835, 7017, 33983, 16505, 57505
841, 7018, 33988, 16499, 57505
847, 7020, 33985, 16500, 57505
853, 7019, 33988, 16498, 57505
859, 7018, 33953, 16534, 57505
865, 7009, 6545, 43951, 57505
871, 7008, 1563, 48934, 57505
877, 7006, 441, 50058, 57505
883, 7008, 197, 50300, 57505
889, 7009, 139, 50357, 57505
895, 7011, 137, 50357, 57505
901, 7011, 148, 50346, 57505
907, 7005, 1220, 49280, 57505
913, 7004, 439, 50062, 57505
919, 7004, 374, 50127, 57505
925, 7006, 365, 50134, 57505
931, 7005, 365, 50135, 57505
937, 7006, 196, 50303, 57505
943, 7006, 196, 50303, 57505
949, 7015, 1172, 49318, 57505
955, 7016, 1313, 49176, 57505
961, 7015, 1312, 49178, 57505
967, 7013, 1314, 49178, 57505
973, 7012, 1314, 49179, 57505
979, 7014, 1224, 49267, 57505
985, 7012, 376, 50117, 57505
991, 7006, 752, 49747, 57505
997, 7006, 752, 49747, 57505
1003, 7006, 751, 49748, 57505
1009, 7005, 186, 50314, 57505
1015, 7007, 151, 50347, 57505
1021, 7006, 152, 50347, 57505
1027, 7003, 153, 50349, 57505
1033, 7009, 4144, 46352, 57505
1039, 7010, 4137, 46358, 57505
1045, 7010, 4143, 46352, 57505
1051, 7009, 4103, 46393, 57505
1057, 7009, 1630, 48866, 57505
1063, 7011, 1627, 48867, 57505
1069, 7010, 1636, 48859, 57505
1075, 7005, 2223, 48277, 57505
1081, 7005, 363, 50137, 57505
1087, 7005, 362, 50138, 57505
1093, 7006, 361, 50138, 57505
1099, 7007, 360, 50138, 57505
1105, 7005, 91, 50409, 57505
1111, 7005, 102, 50398, 57505
1117, 7006, 713, 49786, 57505
1123, 7006, 749, 49750, 57505
1129, 7006, 308, 50191, 57505
1135, 7006, 243, 50256, 57505
1141, 7007, 244, 50254, 57505
1147, 7004, 246, 50255, 57505
1153, 7007, 109, 50389, 57505
1159, 7010, 4010, 46485, 57505
1165, 7007, 4007, 46491, 57505
1171, 7005, 3990, 46510, 57505
1177, 7002, 1364, 49139, 57505
1183, 7006, 1178, 49321, 57505
1189, 7006, 1152, 49347, 57505
1195, 7005, 1150, 49350, 57505
1201, 7004, 5210, 45291, 57505
1207, 7003, 5206, 45296, 57505
1213, 7005, 5204, 45296, 57505
1219, 7003, 5205, 45297, 57505
1225, 7005, 5203, 45297, 57505
1231, 7002, 5207, 45296, 57505
1237, 7004, 5201, 45300, 57505
1243, 7003, 1610, 48892, 57505
1249, 7005, 527, 49973, 57505
1255, 7004, 486, 50015, 57505
1261, 7004, 483, 50018, 57505
1267, 7006, 490, 50009, 57505
1273, 7008, 294, 50203, 57505
1279, 7007, 276, 50222, 57505
1285, 7003, 1923, 48579, 57505
1291, 7005, 2060, 48440, 57505
1297, 7005, 411, 50089, 57505
1303, 7005, 343, 50157, 57505
1309, 7005, 343, 50157, 57505
1315, 7008, 342, 50155, 57505
1321, 7005, 150, 50350, 57505
1327, 7006, 2778, 47721, 57505
1333, 7003, 3009, 47493, 57505
1339, 7002, 2990, 47513, 57505
1345, 7004, 824, 49677, 57505
1351, 7004, 762, 49739, 57505
1357, 7006, 758, 49741, 57505
1363, 7005, 761, 49739, 57505
1369, 7003, 4712, 45790, 57505
1375, 7006, 4843, 45656, 57505
1381, 7006, 4848, 45651, 57505
1387, 7006, 4846, 45653, 57505
1393, 7005, 3063, 47437, 57505
1399, 7037, 3026, 47442, 57505
1405, 7023, 3016, 47466, 57505
1411, 7025, 4657, 45823, 57505
1417, 7017, 1493, 48995, 57505
1423, 7030, 1477, 48998, 57505
1429, 7023, 1479, 49003, 57505
1435, 7018, 1481, 49006, 57505
1441, 7021, 712, 49772, 57505
1447, 7021, 721, 49763, 57505
1453, 7026, 3029, 47450, 57505
1459, 7025, 3286, 47194, 57505
1465, 7028, 1131, 49346, 57505
1471, 7027, 950, 49528, 57505
1477, 7011, 940, 49554, 57505
1483, 7008, 1054, 49443, 57505
1489, 7008, 376, 50121, 57505
1495, 7007, 8507, 41991, 57505
1501, 7024, 8469, 42012, 57505
1507, 7023, 8447, 42035, 57505
1513, 7023, 8422, 42060, 57505
1519, 7025, 8539, 41941, 57505
1525, 7021, 8572, 41912, 57505
1531, 7012, 8467, 42026, 57505
1537, 7010, 5713, 44782, 57505
1543, 7007, 2931, 47567, 57505
1549, 7003, 1208, 49294, 57505
1555, 7005, 669, 49831, 57505
1561, 7002, 408, 50095, 57505
1567, 7002, 420, 50083, 57505
1573, 7002, 431, 50072, 57505
1579, 7003, 9729, 40773, 57505
1585, 7006, 10455, 40044, 57505
1591, 7008, 10524, 39973, 57505
1597, 7006, 10526, 39973, 57505
1603, 7004, 10471, 40030, 57505
1609, 7006, 10375, 40124, 57505
1615, 7002, 10321, 40182, 57505
1621, 7004, 13344, 37157, 57505
1627, 7005, 11810, 38690, 57505
1633, 7008, 10043, 40454, 57505
1639, 7005, 8832, 41668, 57505
1645, 7003, 7457, 43045, 57505
1651, 7005, 6975, 43525, 57505
1657, 7005, 6604, 43896, 57505
1663, 7007, 23518, 26980, 57505
1669, 7005, 20556, 29944, 57505
1675, 7006, 19683, 30816, 57505
1681, 7007, 18681, 31817, 57505
1687, 7007, 18493, 32005, 57505
1693, 7006, 17916, 32583, 57505
1699, 7003, 17772, 32730, 57505
