ts, default broker, CrocodileAgent, VidyutVanika, total
359, 57503, 0, 0, 57503
360, 57503, 0, 0, 57503
361, 24, 34, 57445, 57503
367, 21, 38, 57444, 57503
373, 21, 37, 57445, 57503
379, 21, 37, 57445, 57503
385, 21, 39, 57443, 57503
391, 21, 38, 57444, 57503
397, 21, 40, 57442, 57503
403, 19, 39, 57445, 57503
409, 18, 45, 57440, 57503
415, 19, 46, 57438, 57503
421, 20, 43, 57440, 57503
427, 19, 49, 57435, 57503
433, 19, 802, 56682, 57503
439, 17, 1406, 56080, 57503
445, 19, 3348, 54136, 57503
451, 19, 4853, 52631, 57503
457, 19, 5753, 51731, 57503
463, 20, 6954, 50529, 57503
469, 20, 7073, 50410, 57503
475, 19, 7676, 49808, 57503
481, 19, 7792, 49692, 57503
487, 19, 7909, 49575, 57503
493, 19, 8026, 49458, 57503
499, 18, 8026, 49459, 57503
505, 19, 7846, 49638, 57503
511, 19, 7614, 49870, 57503
517, 19, 6392, 51092, 57503
523, 19, 6091, 51393, 57503
529, 20, 4823, 52660, 57503
535, 20, 4133, 53350, 57503
541, 21, 3145, 54337, 57503
547, 20, 2866, 54617, 57503
553, 20, 1872, 55611, 57503
559, 20, 1794, 55689, 57503
565, 20, 1473, 56010, 57503
571, 20, 1271, 56212, 57503
577, 19, 1098, 56386, 57503
583, 19, 1021, 56463, 57503
589, 20, 1395, 56088, 57503
595, 19, 1855, 55629, 57503
601, 19, 2650, 54834, 57503
607, 19, 3808, 53676, 57503
613, 18, 4468, 53017, 57503
619, 18, 6106, 51379, 57503
625, 18, 7485, 50000, 57503
631, 18, 8111, 49374, 57503
637, 17, 8143, 49343, 57503
643, 17, 8300, 49186, 57503
649, 18, 8260, 49225, 57503
655, 20, 8088, 49395, 57503
661, 18, 7884, 49601, 57503
667, 19, 7437, 50047, 57503
673, 19, 7010, 50474, 57503
679, 18, 6620, 50865, 57503
685, 17, 5610, 51876, 57503
691, 17, 4026, 53460, 57503
697, 18, 3227, 54258, 57503
703, 19, 2176, 55308, 57503
709, 18, 1805, 55680, 57503
