ts, default broker, EWIIS3, AgentUDE, total
359, 57495, 0, 0, 57495
360, 57495, 0, 0, 57495
361, 7112, 3826, 46557, 57495
367, 7114, 2229, 48152, 57495
373, 7112, 1507, 48876, 57495
379, 7113, 1373, 49009, 57495
385, 7114, 1070, 49311, 57495
391, 7112, 733, 49650, 57495
397, 7110, 605, 49780, 57495
403, 7106, 1509, 48880, 57495
409, 7105, 1244, 49146, 57495
415, 7102, 939, 49454, 57495
421, 7099, 873, 49523, 57495
427, 7098, 877, 49520, 57495
433, 7099, 748, 49648, 57495
439, 7099, 797, 49599, 57495
445, 7101, 9914, 40480, 57495
451, 7100, 9153, 41242, 57495
457, 7100, 6965, 43430, 57495
463, 7100, 6110, 44285, 57495
469, 7100, 4537, 45858, 57495
475, 7101, 4142, 46252, 57495
481, 7099, 3670, 46726, 57495
487, 7097, 2627, 47771, 57495
493, 7097, 1836, 48562, 57495
499, 7097, 1735, 48663, 57495
505, 7095, 1482, 48918, 57495
511, 7094, 1276, 49125, 57495
517, 7091, 933, 49471, 57495
523, 7090, 709, 49696, 57495
529, 7095, 669, 49731, 57495
535, 7095, 644, 49756, 57495
541, 7095, 633, 49767, 57495
547, 7095, 621, 49779, 57495
553, 7095, 614, 49786, 57495
559, 7095, 576, 49824, 57495
565, 7095, 562, 49838, 57495
571, 7093, 517, 49885, 57495
577, 7093, 392, 50010, 57495
583, 7093, 372, 50030, 57495
589, 7093, 282, 50120, 57495
595, 7091, 248, 50156, 57495
601, 7091, 247, 50157, 57495
607, 7093, 225, 50177, 57495
613, 7093, 205, 50197, 57495
619, 7092, 205, 50198, 57495
625, 7092, 205, 50198, 57495
631, 7092, 165, 50238, 57495
637, 7092, 124, 50279, 57495
643, 7090, 125, 50280, 57495
649, 7090, 105, 50300, 57495
655, 7093, 106, 50296, 57495
661, 7093, 105, 50297, 57495
667, 7093, 106, 50296, 57495
673, 7093, 107, 50295, 57495
679, 7093, 107, 50295, 57495
685, 7094, 106, 50295, 57495
691, 7094, 106, 50295, 57495
697, 7094, 106, 50295, 57495
703, 7094, 105, 50296, 57495
709, 7094, 109, 50292, 57495
715, 7092, 108, 50295, 57495
721, 7092, 112, 50291, 57495
727, 7092, 110, 50293, 57495
733, 7093, 104, 50298, 57495
739, 7098, 105, 50292, 57495
745, 7098, 104, 50293, 57495
751, 7099, 100, 50296, 57495
757, 7100, 98, 50297, 57495
763, 7098, 100, 50297, 57495
769, 7098, 102, 50295, 57495
775, 7097, 102, 50296, 57495
781, 7095, 99, 50301, 57495
787, 7095, 98, 50302, 57495
793, 7094, 98, 50303, 57495
799, 7093, 99, 50303, 57495
805, 7093, 100, 50302, 57495
811, 7093, 101, 50301, 57495
817, 7093, 100, 50302, 57495
823, 7094, 242, 50159, 57495
829, 7094, 243, 50158, 57495
835, 7094, 213, 50188, 57495
841, 7094, 191, 50210, 57495
847, 7093, 130, 50272, 57495
853, 7093, 129, 50273, 57495
859, 7093, 100, 50302, 57495
865, 7093, 101, 50301, 57495
871, 7092, 102, 50301, 57495
877, 7093, 100, 50302, 57495
883, 7094, 100, 50301, 57495
889, 7093, 99, 50303, 57495
895, 7091, 99, 50305, 57495
901, 7091, 99, 50305, 57495
907, 7093, 104, 50298, 57495
913, 7093, 101, 50301, 57495
919, 7093, 101, 50301, 57495
925, 7093, 102, 50300, 57495
931, 7092, 102, 50301, 57495
937, 7092, 102, 50301, 57495
943, 7092, 102, 50301, 57495
949, 7101, 105, 50289, 57495
955, 7100, 104, 50291, 57495
961, 7100, 105, 50290, 57495
967, 7099, 100, 50296, 57495
973, 7099, 99, 50297, 57495
979, 7099, 99, 50297, 57495
985, 7100, 98, 50297, 57495
991, 7105, 104, 50286, 57495
997, 7105, 101, 50289, 57495
1003, 7105, 100, 50290, 57495
1009, 7105, 100, 50290, 57495
1015, 7105, 101, 50289, 57495
1021, 7105, 100, 50290, 57495
1027, 7104, 98, 50293, 57495
1033, 7102, 102, 50291, 57495
1039, 7099, 102, 50294, 57495
1045, 7097, 101, 50297, 57495
1051, 7097, 100, 50298, 57495
1057, 7096, 99, 50300, 57495
1063, 7096, 98, 50301, 57495
1069, 7071, 96, 50328, 57495
1075, 7076, 99, 50320, 57495
1081, 7093, 96, 50306, 57495
1087, 7099, 98, 50298, 57495
1093, 7101, 97, 50297, 57495
1099, 7106, 97, 50292, 57495
1105, 7107, 98, 50290, 57495
1111, 7107, 99, 50289, 57495
1117, 7105, 101, 50289, 57495
1123, 7101, 98, 50296, 57495
1129, 7102, 97, 50296, 57495
1135, 7099, 97, 50299, 57495
1141, 7098, 96, 50301, 57495
1147, 7095, 97, 50303, 57495
1153, 7095, 97, 50303, 57495
1159, 7095, 98, 50302, 57495
1165, 7093, 98, 50304, 57495
1171, 7093, 97, 50305, 57495
1177, 7093, 98, 50304, 57495
1183, 7093, 96, 50306, 57495
1189, 7093, 96, 50306, 57495
1195, 7093, 97, 50305, 57495
1201, 7095, 102, 50298, 57495
1207, 7097, 98, 50300, 57495
1213, 7097, 98, 50300, 57495
1219, 7097, 101, 50297, 57495
1225, 7097, 100, 50298, 57495
1231, 7097, 98, 50300, 57495
1237, 7096, 98, 50301, 57495
1243, 7096, 106, 50293, 57495
1249, 7096, 106, 50293, 57495
1255, 7096, 104, 50295, 57495
1261, 7095, 101, 50299, 57495
1267, 7095, 103, 50297, 57495
1273, 7094, 105, 50296, 57495
1279, 7094, 106, 50295, 57495
1285, 7092, 103, 50300, 57495
1291, 7092, 103, 50300, 57495
1297, 7092, 102, 50301, 57495
1303, 7092, 102, 50301, 57495
1309, 7092, 102, 50301, 57495
1315, 7092, 102, 50301, 57495
1321, 7092, 101, 50302, 57495
1327, 7108, 109, 50278, 57495
1333, 7109, 106, 50280, 57495
1339, 7109, 105, 50281, 57495
1345, 7108, 103, 50284, 57495
1351, 7107, 102, 50286, 57495
1357, 7107, 102, 50286, 57495
1363, 7107, 101, 50287, 57495
1369, 7106, 111, 50278, 57495
1375, 7105, 110, 50280, 57495
1381, 7103, 104, 50288, 57495
1387, 7102, 107, 50286, 57495
1393, 7101, 104, 50290, 57495
1399, 7101, 108, 50286, 57495
1405, 7101, 103, 50291, 57495
1411, 7103, 215, 50177, 57495
1417, 7103, 183, 50209, 57495
1423, 7102, 160, 50233, 57495
1429, 7103, 163, 50229, 57495
1435, 7077, 121, 50297, 57495
1441, 7070, 118, 50307, 57495
1447, 7085, 99, 50311, 57495
1453, 7103, 104, 50288, 57495
1459, 7107, 104, 50284, 57495
1465, 7109, 101, 50285, 57495
1471, 7111, 100, 50284, 57495
1477, 7111, 100, 50284, 57495
1483, 7110, 100, 50285, 57495
1489, 7111, 102, 50282, 57495
1495, 7114, 417, 49964, 57495
1501, 7113, 323, 50059, 57495
1507, 7112, 260, 50123, 57495
1513, 7112, 250, 50133, 57495
1519, 7111, 222, 50162, 57495
1525, 7110, 164, 50221, 57495
1531, 7110, 132, 50253, 57495
1537, 7111, 109, 50275, 57495
1543, 7110, 105, 50280, 57495
1549, 7109, 104, 50282, 57495
1555, 7109, 99, 50287, 57495
1561, 7109, 99, 50287, 57495
1567, 7109, 99, 50287, 57495
1573, 7109, 99, 50287, 57495
1579, 7112, 104, 50279, 57495
1585, 7111, 104, 50280, 57495
1591, 7111, 103, 50281, 57495
1597, 7111, 102, 50282, 57495
1603, 7111, 101, 50283, 57495
1609, 7109, 103, 50283, 57495
1615, 7109, 101, 50285, 57495
1621, 7109, 117, 50269, 57495
1627, 7088, 116, 50291, 57495
1633, 7095, 104, 50296, 57495
1639, 7101, 104, 50290, 57495
1645, 7104, 104, 50287, 57495
1651, 7109, 102, 50284, 57495
1657, 7109, 100, 50286, 57495
1663, 7112, 253, 50130, 57495
1669, 7112, 193, 50190, 57495
1675, 7111, 191, 50193, 57495
1681, 7110, 159, 50226, 57495
1687, 7110, 157, 50228, 57495
1693, 7108, 158, 50229, 57495
1699, 7108, 130, 50257, 57495
1705, 7093, 136, 50266, 57495
1711, 7094, 135, 50266, 57495
1717, 7094, 133, 50268, 57495
1723, 7094, 137, 50264, 57495
1729, 7093, 133, 50269, 57495
1735, 7092, 106, 50297, 57495
1741, 7092, 102, 50301, 57495
1747, 7091, 101, 50303, 57495
1753, 7091, 88, 50316, 57495
1759, 7091, 86, 50318, 57495
1765, 7091, 85, 50319, 57495
1771, 7091, 85, 50319, 57495
1777, 7091, 85, 50319, 57495
1783, 7091, 86, 50318, 57495
1789, 7092, 89, 50314, 57495
1795, 7091, 89, 50315, 57495
1801, 7091, 89, 50315, 57495
1807, 7091, 85, 50319, 57495
1813, 7090, 88, 50317, 57495
