ts, default broker, SPOT, AgentUDE, total
359, 57498, 0, 0, 57498
360, 57498, 0, 0, 57498
361, 7027, 21098, 29373, 57498
367, 7023, 21106, 29369, 57498
373, 7024, 21104, 29370, 57498
379, 7025, 21104, 29369, 57498
385, 7024, 21100, 29374, 57498
391, 7024, 21097, 29377, 57498
397, 7025, 21097, 29376, 57498
403, 7018, 16892, 33588, 57498
409, 7016, 13991, 36491, 57498
415, 7016, 11140, 39342, 57498
421, 7016, 8128, 42354, 57498
427, 7011, 7076, 43411, 57498
433, 7010, 5774, 44714, 57498
439, 7008, 4506, 45984, 57498
445, 7042, 6419, 44037, 57498
451, 7037, 5995, 44466, 57498
457, 7027, 5712, 44759, 57498
463, 7017, 5258, 45223, 57498
469, 7014, 4484, 46000, 57498
475, 7012, 4079, 46407, 57498
481, 7012, 1492, 48994, 57498
487, 7010, 22730, 27758, 57498
493, 7009, 22804, 27685, 57498
499, 7009, 22881, 27608, 57498
505, 7011, 22954, 27533, 57498
511, 7013, 23108, 27377, 57498
517, 7013, 23376, 27109, 57498
523, 7011, 23323, 27164, 57498
529, 7010, 24052, 26436, 57498
535, 7010, 19179, 31309, 57498
541, 7008, 16651, 33839, 57498
547, 7007, 14584, 35907, 57498
553, 7008, 12111, 38379, 57498
559, 7007, 9677, 40814, 57498
565, 7008, 7919, 42571, 57498
571, 7021, 27966, 22511, 57498
577, 7020, 27901, 22577, 57498
583, 7021, 27442, 23035, 57498
589, 7021, 27161, 23316, 57498
595, 7022, 26973, 23503, 57498
601, 7022, 26753, 23723, 57498
607, 7022, 26695, 23781, 57498
613, 7019, 26653, 23826, 57498
619, 7022, 24059, 26417, 57498
625, 7021, 21652, 28825, 57498
631, 7021, 19318, 31159, 57498
637, 7019, 17105, 33374, 57498
643, 7019, 15070, 35409, 57498
649, 7020, 13363, 37115, 57498
655, 7017, 10973, 39508, 57498
661, 7015, 8608, 41875, 57498
667, 7014, 7528, 42956, 57498
673, 7011, 6037, 44450, 57498
679, 7009, 4988, 45501, 57498
685, 7009, 3462, 47027, 57498
691, 7008, 2712, 47778, 57498
697, 7008, 1369, 49121, 57498
703, 7005, 1369, 49124, 57498
709, 7006, 1368, 49124, 57498
715, 7007, 1366, 49125, 57498
721, 7005, 347, 50146, 57498
727, 7005, 351, 50142, 57498
733, 7006, 351, 50141, 57498
739, 7010, 337, 50151, 57498
745, 7009, 212, 50277, 57498
751, 7007, 211, 50280, 57498
757, 7008, 210, 50280, 57498
