ts, default broker, SPOT, AgentUDE, total
763, 7007, 210, 50281, 57498
769, 7007, 149, 50342, 57498
775, 7009, 150, 50339, 57498
781, 7029, 8570, 41899, 57498
787, 7028, 8569, 41901, 57498
793, 7029, 8578, 41891, 57498
799, 7029, 8565, 41904, 57498
805, 7028, 8566, 41904, 57498
811, 7027, 8568, 41903, 57498
817, 7028, 8578, 41892, 57498
823, 7023, 9964, 40511, 57498
829, 7018, 8786, 41694, 57498
835, 7013, 7143, 43342, 57498
841, 7014, 6561, 43923, 57498
847, 7012, 5450, 45036, 57498
853, 7011, 4873, 45614, 57498
859, 7009, 4453, 46036, 57498
865, 7023, 4140, 46335, 57498
871, 7022, 4138, 46338, 57498
877, 7023, 4134, 46341, 57498
883, 7022, 4133, 46343, 57498
889, 7025, 1534, 48939, 57498
895, 7024, 1534, 48940, 57498
901, 7025, 1533, 48940, 57498
907, 7025, 4661, 45812, 57498
913, 7026, 2336, 48136, 57498
919, 7023, 2342, 48133, 57498
925, 7019, 2353, 48126, 57498
931, 7018, 2493, 47987, 57498
937, 7019, 1150, 49329, 57498
943, 7014, 1150, 49334, 57498
949, 7019, 3921, 46558, 57498
955, 7019, 3921, 46558, 57498
961, 7015, 1477, 49006, 57498
967, 7014, 1477, 49007, 57498
973, 7013, 1475, 49010, 57498
979, 7013, 1493, 48992, 57498
985, 7010, 502, 49986, 57498
991, 7009, 1660, 48829, 57498
997, 7006, 1717, 48775, 57498
1003, 7006, 1717, 48775, 57498
1009, 7008, 333, 50157, 57498
1015, 7007, 337, 50154, 57498
1021, 7007, 339, 50152, 57498
1027, 7009, 338, 50151, 57498
1033, 7048, 2195, 48255, 57498
1039, 7050, 2168, 48280, 57498
1045, 7037, 2197, 48264, 57498
1051, 7030, 2212, 48256, 57498
1057, 7027, 720, 49751, 57498
1063, 7027, 719, 49752, 57498
1069, 7027, 719, 49752, 57498
1075, 7010, 1274, 49214, 57498
1081, 7009, 225, 50264, 57498
1087, 7010, 225, 50263, 57498
1093, 7007, 228, 50263, 57498
1099, 7005, 226, 50267, 57498
1105, 7005, 134, 50359, 57498
1111, 7005, 147, 50346, 57498
1117, 7022, 2875, 47601, 57498
1123, 7023, 2886, 47589, 57498
1129, 7024, 916, 49558, 57498
1135, 7023, 912, 49563, 57498
1141, 7023, 915, 49560, 57498
1147, 7023, 918, 49557, 57498
1153, 7024, 500, 49974, 57498
1159, 7023, 1682, 48793, 57498
1165, 7022, 1678, 48798, 57498
1171, 7021, 1678, 48799, 57498
1177, 7018, 499, 49981, 57498
1183, 7014, 500, 49984, 57498
1189, 7011, 508, 49979, 57498
1195, 7013, 519, 49966, 57498
1201, 7060, 2193, 48245, 57498
1207, 7051, 2163, 48284, 57498
1213, 7054, 2154, 48290, 57498
1219, 7046, 2157, 48295, 57498
1225, 7045, 756, 49697, 57498
1231, 7046, 778, 49674, 57498
1237, 7039, 804, 49655, 57498
1243, 7044, 3974, 46480, 57498
1249, 7051, 1639, 48808, 57498
1255, 7049, 1622, 48827, 57498
1261, 7043, 1618, 48837, 57498
1267, 7050, 1611, 48837, 57498
1273, 7044, 619, 49835, 57498
1279, 7045, 621, 49832, 57498
1285, 7030, 1160, 49308, 57498
1291, 7025, 1410, 49063, 57498
1297, 7029, 388, 50081, 57498
1303, 7029, 396, 50073, 57498
1309, 7027, 405, 50066, 57498
1315, 7024, 409, 50065, 57498
1321, 7033, 238, 50227, 57498
1327, 7049, 2300, 48149, 57498
1333, 7048, 2301, 48149, 57498
1339, 7044, 2294, 48160, 57498
1345, 7044, 1041, 49413, 57498
1351, 7032, 1062, 49404, 57498
1357, 7027, 1072, 49399, 57498
1363, 7028, 1071, 49399, 57498
1369, 7027, 1062, 49409, 57498
1375, 7024, 1205, 49269, 57498
1381, 7022, 1207, 49269, 57498
1387, 7018, 1507, 48973, 57498
1393, 7016, 403, 50079, 57498
1399, 7013, 401, 50084, 57498
1405, 7009, 565, 49924, 57498
1411, 7010, 709, 49779, 57498
1417, 7004, 424, 50070, 57498
1423, 7006, 429, 50063, 57498
1429, 7008, 734, 49756, 57498
1435, 7007, 901, 49590, 57498
1441, 7009, 468, 50021, 57498
1447, 7008, 619, 49871, 57498
1453, 7013, 1062, 49423, 57498
1459, 7014, 1308, 49176, 57498
1465, 7014, 205, 50279, 57498
1471, 7014, 206, 50278, 57498
1477, 7015, 207, 50276, 57498
1483, 7012, 209, 50277, 57498
1489, 7015, 113, 50370, 57498
1495, 7010, 249, 50239, 57498
1501, 7013, 271, 50214, 57498
1507, 7012, 270, 50216, 57498
1513, 7012, 273, 50213, 57498
1519, 7010, 266, 50222, 57498
1525, 7009, 267, 50222, 57498
1531, 7009, 258, 50231, 57498
1537, 7018, 315, 50165, 57498
1543, 7042, 288, 50168, 57498
1549, 7038, 267, 50193, 57498
1555, 7039, 280, 50179, 57498
1561, 7038, 74, 50386, 57498
1567, 7026, 89, 50383, 57498
1573, 7028, 89, 50381, 57498
1579, 7030, 123, 50345, 57498
1585, 7021, 98, 50379, 57498
1591, 7020, 101, 50377, 57498
1597, 7018, 102, 50378, 57498
1603, 7016, 105, 50377, 57498
1609, 7017, 105, 50376, 57498
1615, 7015, 106, 50377, 57498
1621, 7015, 702, 49781, 57498
1627, 7015, 703, 49780, 57498
1633, 7013, 706, 49779, 57498
1639, 7012, 706, 49780, 57498
1645, 7012, 706, 49780, 57498
1651, 7036, 676, 49786, 57498
1657, 7030, 57, 50411, 57498
1663, 7041, 368, 50089, 57498
1669, 7048, 361, 50089, 57498
1675, 7050, 378, 50070, 57498
1681, 7035, 121, 50342, 57498
1687, 7035, 126, 50337, 57498
1693, 7032, 129, 50337, 57498
1699, 7032, 143, 50323, 57498
1705, 7028, 147, 50323, 57498
1711, 7028, 134, 50336, 57498
1717, 7024, 136, 50338, 57498
1723, 7022, 113, 50363, 57498
1729, 7020, 101, 50377, 57498
1735, 7018, 102, 50378, 57498
1741, 7018, 102, 50378, 57498
1747, 7018, 253, 50227, 57498
1753, 7012, 105, 50381, 57498
1759, 7011, 106, 50381, 57498
1765, 7011, 105, 50382, 57498
1771, 7010, 107, 50381, 57498
1777, 7008, 93, 50397, 57498
1783, 7008, 93, 50397, 57498
1789, 7016, 399, 50083, 57498
1795, 7017, 397, 50084, 57498
1801, 7014, 153, 50331, 57498
1807, 7011, 303, 50184, 57498
1813, 7013, 303, 50182, 57498
1819, 7011, 306, 50181, 57498
1825, 7016, 243, 50239, 57498
1831, 7032, 799, 49667, 57498
1837, 7029, 800, 49669, 57498
1843, 7029, 797, 49672, 57498
1849, 7030, 156, 50312, 57498
1855, 7028, 160, 50310, 57498
1861, 7026, 160, 50312, 57498
1867, 7027, 167, 50304, 57498
1873, 7023, 490, 49985, 57498
1879, 7018, 643, 49837, 57498
1885, 7017, 937, 49544, 57498
1891, 7017, 1376, 49105, 57498
1897, 7017, 373, 50108, 57498
1903, 7014, 918, 49566, 57498
1909, 7012, 1509, 48977, 57498
1915, 7018, 1654, 48826, 57498
1921, 7016, 282, 50200, 57498
1927, 7011, 283, 50204, 57498
1933, 7010, 283, 50205, 57498
1939, 7010, 284, 50204, 57498
1945, 7010, 132, 50356, 57498
1951, 7011, 132, 50355, 57498
1957, 7013, 569, 49916, 57498
1963, 7014, 566, 49918, 57498
1969, 7015, 715, 49768, 57498
1975, 7015, 717, 49766, 57498
1981, 7013, 719, 49766, 57498
1987, 7013, 718, 49767, 57498
1993, 7015, 136, 50347, 57498
1999, 7010, 720, 49768, 57498
2005, 7038, 690, 49770, 57498
2011, 7034, 675, 49789, 57498
