ts, default broker, SPOT, COLDPower18, EWIIS3, Bunnie, total
359, 57519, 0, 0, 0, 0, 57519
360, 57519, 0, 0, 0, 0, 57519
361, 6755, 0, 0, 223, 50541, 57519
367, 6924, 42, 0, 124, 50429, 57519
373, 6962, 43, 0, 77, 50437, 57519
379, 6943, 43, 0, 195, 50338, 57519
385, 6927, 43, 0, 128, 50421, 57519
391, 6909, 75, 0, 57, 50478, 57519
397, 6732, 84, 0, 63, 50640, 57519
403, 6747, 94, 0, 54, 50624, 57519
409, 6749, 94, 0, 56, 50620, 57519
415, 6751, 94, 0, 60, 50614, 57519
421, 6877, 94, 0, 68, 50480, 57519
427, 6881, 93, 0, 71, 50474, 57519
433, 6855, 94, 0, 64, 50506, 57519
439, 6836, 94, 0, 65, 50524, 57519
445, 6823, 94, 0, 51, 50551, 57519
451, 6823, 94, 0, 48, 50554, 57519
457, 6859, 93, 0, 69, 50498, 57519
463, 6890, 93, 0, 63, 50473, 57519
469, 6938, 93, 0, 63, 50425, 57519
475, 6912, 93, 0, 42, 50472, 57519
481, 6872, 93, 0, 41, 50513, 57519
487, 6914, 93, 0, 40, 50472, 57519
493, 6942, 93, 0, 37, 50447, 57519
499, 6956, 93, 0, 36, 50434, 57519
505, 6963, 93, 0, 35, 50428, 57519
511, 6970, 94, 0, 32, 50423, 57519
517, 6935, 94, 0, 34, 50456, 57519
523, 6902, 93, 0, 35, 50489, 57519
529, 6869, 94, 0, 23, 50533, 57519
535, 6816, 94, 0, 22, 50587, 57519
541, 6695, 94, 0, 22, 50708, 57519
547, 6746, 94, 0, 21, 50658, 57519
553, 6811, 93, 0, 22, 50593, 57519
559, 6881, 93, 0, 22, 50523, 57519
565, 6923, 93, 0, 23, 50480, 57519
571, 6890, 93, 0, 22, 50514, 57519
577, 6898, 93, 0, 22, 50506, 57519
583, 6831, 93, 0, 22, 50573, 57519
589, 6805, 93, 0, 22, 50599, 57519
595, 6826, 93, 0, 21, 50579, 57519
601, 6848, 94, 0, 20, 50557, 57519
607, 6850, 94, 0, 19, 50556, 57519
613, 6909, 95, 0, 19, 50496, 57519
619, 6883, 95, 0, 19, 50522, 57519
625, 6884, 96, 0, 18, 50521, 57519
631, 6845, 95, 0, 18, 50561, 57519
637, 6805, 95, 0, 18, 50601, 57519
643, 6649, 95, 0, 18, 50757, 57519
649, 6665, 96, 0, 18, 50740, 57519
655, 6758, 94, 0, 19, 50648, 57519
661, 6707, 93, 0, 16, 50703, 57519
667, 6720, 93, 0, 17, 50689, 57519
673, 6733, 93, 0, 17, 50676, 57519
679, 6823, 94, 0, 18, 50584, 57519
685, 6858, 93, 0, 19, 50549, 57519
691, 6935, 94, 0, 18, 50472, 57519
697, 6949, 93, 0, 20, 50457, 57519
703, 6847, 93, 0, 20, 50559, 57519
709, 6808, 94, 0, 19, 50598, 57519
715, 6701, 94, 0, 20, 50704, 57519
721, 6807, 94, 0, 19, 50599, 57519
727, 6760, 94, 0, 20, 50645, 57519
733, 6579, 94, 0, 19, 50827, 57519
739, 6748, 94, 0, 19, 50658, 57519
745, 6793, 94, 0, 19, 50613, 57519
751, 6806, 94, 0, 20, 50599, 57519
757, 6884, 94, 0, 20, 50521, 57519
763, 6944, 94, 0, 20, 50461, 57519
769, 6965, 94, 0, 20, 50440, 57519
775, 6972, 94, 0, 20, 50433, 57519
781, 6987, 94, 0, 18, 50420, 57519
