ts, default broker, COLDPower18, EWIIS3, AgentUDE, Bunnie, total
359, 57506, 0, 0, 0, 0, 57506
360, 57506, 0, 0, 0, 0, 57506
361, 6677, 0, 28, 27270, 23531, 57506
367, 6883, 0, 28, 27264, 23331, 57506
373, 6982, 0, 38, 31645, 18841, 57506
379, 6964, 0, 25, 33380, 17137, 57506
385, 7002, 0, 25, 34936, 15543, 57506
391, 7015, 0, 76, 36661, 13754, 57506
397, 6962, 0, 26, 38115, 12403, 57506
403, 6949, 0, 284, 2914, 47359, 57506
409, 6907, 0, 114, 312, 50173, 57506
415, 6922, 0, 206, 93, 50285, 57506
421, 6898, 0, 225, 221, 50162, 57506
427, 6946, 0, 103, 369, 50088, 57506
433, 6948, 0, 73, 518, 49967, 57506
439, 6905, 0, 51, 635, 49915, 57506
445, 6916, 0, 41, 6, 50543, 57506
451, 6869, 0, 25, 5, 50607, 57506
457, 6930, 0, 20, 6, 50550, 57506
463, 6833, 0, 19, 6, 50648, 57506
469, 6828, 0, 17, 6, 50655, 57506
475, 6919, 0, 17, 6, 50564, 57506
481, 6945, 0, 19, 4, 50538, 57506
487, 6906, 0, 20, 4, 50576, 57506
493, 6867, 0, 18, 155, 50466, 57506
499, 6876, 0, 18, 156, 50456, 57506
505, 6915, 0, 17, 156, 50418, 57506
511, 6914, 0, 16, 157, 50419, 57506
517, 6952, 0, 15, 158, 50381, 57506
523, 6926, 0, 14, 159, 50407, 57506
529, 6941, 0, 20, 5, 50540, 57506
535, 6977, 0, 15, 5, 50509, 57506
541, 6657, 0, 15, 5, 50829, 57506
547, 6479, 0, 15, 5, 51007, 57506
553, 6552, 0, 16, 3, 50935, 57506
559, 6765, 0, 13, 4, 50724, 57506
565, 6655, 0, 14, 3, 50834, 57506
571, 6781, 0, 15, 12, 50698, 57506
577, 6833, 0, 15, 168, 50490, 57506
583, 6854, 0, 13, 112, 50527, 57506
589, 6894, 0, 12, 115, 50485, 57506
595, 6930, 0, 15, 87, 50474, 57506
601, 6943, 0, 14, 84, 50465, 57506
607, 6961, 0, 16, 87, 50442, 57506
613, 6820, 0, 14, 4, 50668, 57506
619, 6839, 0, 14, 15, 50638, 57506
625, 6886, 0, 13, 5, 50602, 57506
631, 6865, 0, 16, 5, 50620, 57506
637, 6914, 0, 16, 5, 50571, 57506
643, 6766, 0, 17, 5, 50718, 57506
649, 6768, 0, 16, 6, 50716, 57506
655, 6801, 0, 16, 3, 50686, 57506
661, 6879, 0, 15, 154, 50458, 57506
667, 6941, 0, 15, 154, 50396, 57506
673, 6955, 0, 16, 303, 50232, 57506
679, 6991, 0, 15, 303, 50197, 57506
685, 6924, 0, 15, 303, 50264, 57506
691, 6943, 0, 14, 305, 50244, 57506
697, 6927, 0, 14, 7, 50558, 57506
703, 6962, 0, 15, 10, 50519, 57506
709, 6910, 0, 14, 13, 50569, 57506
715, 6795, 0, 14, 11, 50686, 57506
721, 6890, 0, 14, 11, 50591, 57506
727, 6919, 0, 14, 12, 50561, 57506
733, 6748, 0, 13, 12, 50733, 57506
739, 6810, 0, 15, 3, 50678, 57506
745, 6871, 0, 13, 3, 50619, 57506
