ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
359, 57522, 0, 0, 0, 0, 57522
360, 57522, 0, 0, 0, 0, 57522
361, 13, 13207, 23, 41979, 2300, 57522
367, 11, 13205, 17, 41977, 2312, 57522
373, 13, 13196, 18, 41964, 2331, 57522
379, 14, 13192, 19, 41947, 2350, 57522
385, 12, 13187, 9, 41930, 2384, 57522
391, 14, 13189, 5, 41925, 2389, 57522
397, 13, 13188, 4, 41928, 2389, 57522
403, 3, 13189, 96, 42680, 1554, 57522
409, 5, 13189, 93, 42771, 1464, 57522
415, 5, 13188, 91, 42803, 1435, 57522
421, 1, 13192, 94, 42797, 1438, 57522
427, 2, 13190, 95, 42791, 1444, 57522
433, 2, 1343, 430, 42725, 13022, 57522
439, 1, 60, 433, 40793, 16235, 57522
445, 11, 112, 731, 51658, 5010, 57522
451, 13, 111, 763, 52184, 4451, 57522
457, 12, 108, 113, 52457, 4832, 57522
463, 11, 107, 86, 52041, 5277, 57522
469, 11, 176, 53, 51363, 5919, 57522
475, 11, 177, 132, 51227, 5975, 57522
481, 11, 185, 200, 51148, 5978, 57522
487, 14, 745, 222, 56339, 202, 57522
493, 15, 822, 208, 56261, 216, 57522
499, 13, 971, 178, 56146, 214, 57522
505, 13, 1602, 178, 55545, 184, 57522
511, 12, 1728, 178, 55353, 251, 57522
517, 12, 2810, 92, 54348, 260, 57522
523, 14, 3355, 22, 53857, 274, 57522
529, 16, 4008, 93, 53319, 86, 57522
535, 13, 4975, 91, 52348, 95, 57522
541, 11, 4966, 91, 52246, 208, 57522
547, 10, 5119, 188, 51342, 863, 57522
553, 9, 5116, 295, 50476, 1626, 57522
559, 8, 4995, 389, 48584, 3546, 57522
565, 9, 4852, 506, 44892, 7263, 57522
571, 16, 4672, 660, 48093, 4081, 57522
577, 11, 3669, 98, 47514, 6230, 57522
583, 12, 3468, 77, 46946, 7019, 57522
589, 13, 2592, 76, 44301, 10540, 57522
595, 11, 2021, 66, 42529, 12895, 57522
601, 11, 1226, 68, 39671, 16546, 57522
607, 11, 271, 67, 39040, 18133, 57522
613, 12, 252, 227, 49004, 8027, 57522
619, 11, 67, 208, 48853, 8383, 57522
625, 14, 42, 173, 46800, 10493, 57522
631, 14, 36, 246, 46231, 10995, 57522
637, 13, 38, 233, 45320, 11918, 57522
643, 12, 314, 233, 43873, 13090, 57522
649, 10, 773, 297, 42378, 14064, 57522
655, 10, 1550, 221, 53952, 1789, 57522
661, 10, 1809, 190, 55050, 463, 57522
667, 11, 2490, 150, 54655, 216, 57522
673, 9, 4107, 79, 53129, 198, 57522
679, 9, 5477, 79, 51769, 188, 57522
685, 9, 6632, 108, 50634, 139, 57522
691, 11, 8617, 45, 48729, 120, 57522
697, 4, 10067, 42, 47094, 315, 57522
703, 3, 12078, 30, 44997, 414, 57522
709, 2, 12381, 41, 43681, 1417, 57522
715, 4, 12195, 21, 40535, 4767, 57522
721, 2, 11847, 77, 34200, 11396, 57522
727, 1, 11142, 129, 23348, 22902, 57522
733, 2, 10766, 129, 13710, 32915, 57522
739, 9, 10027, 314, 37704, 9468, 57522
745, 7, 8558, 100, 41707, 7150, 57522
751, 7, 7209, 30, 43490, 6786, 57522
757, 8, 6004, 32, 45324, 6154, 57522
763, 7, 4021, 73, 47916, 5505, 57522
769, 8, 2506, 24, 49952, 5032, 57522
775, 10, 585, 33, 51871, 5023, 57522
781, 13, 128, 55, 56482, 844, 57522
787, 10, 52, 66, 56711, 683, 57522
793, 10, 50, 69, 56685, 708, 57522
799, 11, 86, 98, 56570, 757, 57522
805, 13, 77, 97, 56434, 901, 57522
811, 11, 256, 98, 55653, 1504, 57522
817, 10, 252, 24, 55698, 1538, 57522
823, 3, 459, 26, 56075, 959, 57522
829, 1, 458, 24, 56348, 691, 57522
835, 0, 928, 24, 55937, 633, 57522
841, 2, 2522, 22, 54526, 450, 57522
847, 3, 3488, 23, 53438, 570, 57522
853, 0, 5833, 24, 51115, 550, 57522
859, 1, 6238, 12, 50754, 517, 57522
865, 2, 6471, 0, 50977, 72, 57522
871, 2, 6453, 1, 51060, 6, 57522
877, 3, 6451, 2, 51062, 4, 57522
883, 4, 6388, 1, 51125, 4, 57522
889, 1, 7613, 339, 39730, 9839, 57522
895, 1, 7614, 337, 39005, 10565, 57522
901, 3, 7608, 351, 38701, 10859, 57522
907, 4, 6876, 461, 44007, 6174, 57522
913, 2174, 5374, 529, 43387, 6058, 57522
919, 2377, 4401, 527, 43927, 6290, 57522
925, 2827, 2148, 587, 45191, 6769, 57522
931, 2963, 1560, 252, 45887, 6860, 57522
937, 3013, 1317, 252, 45958, 6982, 57522
943, 3331, 1389, 254, 45389, 7159, 57522
949, 3286, 1392, 194, 49880, 2770, 57522
955, 3183, 1438, 164, 50530, 2207, 57522
961, 3237, 1102, 152, 50546, 2485, 57522
967, 3220, 744, 122, 50174, 3262, 57522
973, 3162, 573, 177, 48305, 5305, 57522
979, 3311, 394, 205, 47932, 5680, 57522
985, 3544, 678, 163, 47011, 6126, 57522
991, 3536, 1463, 214, 51712, 597, 57522
997, 3489, 1747, 204, 51836, 246, 57522
1003, 3615, 2482, 192, 51055, 178, 57522
1009, 3675, 3501, 192, 49984, 170, 57522
1015, 3671, 4325, 158, 49199, 169, 57522
1021, 3727, 5268, 130, 48229, 168, 57522
1027, 3688, 6409, 121, 47135, 169, 57522
1033, 3490, 7824, 92, 46047, 69, 57522
1039, 3416, 8747, 96, 45217, 46, 57522
1045, 3373, 9588, 90, 44180, 291, 57522
1051, 3364, 9442, 91, 43695, 930, 57522
1057, 3425, 9496, 93, 42671, 1837, 57522
1063, 3274, 8910, 125, 37786, 7427, 57522
1069, 3301, 8872, 174, 36894, 8281, 57522
1075, 3293, 8713, 202, 43870, 1444, 57522
1081, 3278, 7737, 202, 44862, 1443, 57522
1087, 3319, 7140, 203, 44985, 1875, 57522
1093, 3120, 6292, 253, 45620, 2237, 57522
1099, 3348, 5773, 254, 45871, 2276, 57522
1105, 3230, 2407, 234, 48934, 2717, 57522
1111, 3306, 1059, 172, 49872, 3113, 57522
1117, 3409, 335, 178, 53150, 450, 57522
1123, 3391, 212, 145, 53368, 406, 57522
1129, 3355, 144, 184, 53190, 649, 57522
1135, 3345, 134, 178, 53076, 789, 57522
1141, 3549, 358, 139, 51851, 1625, 57522
1147, 3574, 498, 135, 52068, 1247, 57522
1153, 3692, 845, 134, 51467, 1384, 57522
1159, 3634, 1037, 166, 52458, 227, 57522
1165, 3610, 1436, 143, 52271, 62, 57522
1171, 3630, 2501, 104, 51246, 41, 57522
1177, 3810, 4430, 106, 49156, 20, 57522
1183, 3598, 5246, 95, 48565, 18, 57522
1189, 3422, 6989, 96, 46997, 18, 57522
1195, 3656, 9537, 95, 44206, 28, 57522
1201, 3653, 12030, 102, 41714, 23, 57522
1207, 3719, 13774, 92, 39711, 226, 57522
1213, 3718, 14436, 92, 38402, 874, 57522
