ts, default broker, CrocodileAgent, SPOT, VidyutVanika, AgentUDE, total
359, 57502, 0, 0, 0, 0, 57502
360, 57502, 0, 0, 0, 0, 57502
361, 12, 12115, 157, 43978, 1240, 57502
367, 10, 12114, 157, 43979, 1242, 57502
373, 10, 12120, 159, 43974, 1239, 57502
379, 12, 12108, 157, 43987, 1238, 57502
385, 12, 12190, 4, 44057, 1239, 57502
391, 9, 12184, 5, 44062, 1242, 57502
397, 9, 12179, 5, 44056, 1253, 57502
403, 4, 12320, 13, 45098, 67, 57502
409, 4, 12302, 20, 45126, 50, 57502
415, 2, 12306, 19, 45158, 17, 57502
421, 3, 12303, 39, 45139, 18, 57502
427, 3, 12302, 18, 45162, 17, 57502
433, 6, 1350, 26, 55503, 617, 57502
439, 9, 454, 24, 56399, 616, 57502
445, 3, 370, 229, 56591, 309, 57502
451, 3, 344, 233, 56599, 323, 57502
457, 4, 381, 230, 56360, 527, 57502
463, 5, 403, 231, 56337, 526, 57502
469, 6, 301, 231, 56469, 495, 57502
475, 4, 218, 313, 56470, 497, 57502
481, 5, 191, 225, 56477, 604, 57502
487, 9, 194, 327, 56946, 26, 57502
493, 12, 193, 329, 56962, 6, 57502
499, 11, 607, 511, 56367, 6, 57502
505, 10, 1021, 514, 55951, 6, 57502
511, 11, 1433, 516, 55535, 7, 57502
517, 15, 2540, 513, 54428, 6, 57502
523, 9, 4359, 264, 52860, 10, 57502
529, 5, 8041, 188, 49257, 11, 57502
535, 3, 10799, 189, 46500, 11, 57502
541, 7, 13067, 1, 44416, 11, 57502
547, 4, 15619, 0, 41864, 15, 57502
553, 7, 18335, 3, 39146, 11, 57502
559, 4, 20081, 0, 37405, 12, 57502
565, 5, 20738, 75, 36673, 11, 57502
571, 6, 20601, 316, 36569, 10, 57502
577, 8, 20159, 790, 36536, 9, 57502
583, 10, 19904, 1000, 36579, 9, 57502
589, 7, 18792, 1562, 37129, 12, 57502
595, 9, 16823, 1878, 38783, 9, 57502
601, 6, 13164, 198, 44120, 14, 57502
607, 4, 10406, 93, 46987, 12, 57502
613, 9, 8091, 91, 49305, 6, 57502
619, 9, 5511, 164, 51812, 6, 57502
625, 6, 2785, 196, 54504, 11, 57502
631, 4, 1078, 290, 56120, 10, 57502
637, 8, 357, 386, 56741, 10, 57502
643, 6, 181, 324, 56984, 7, 57502
649, 6, 140, 466, 56883, 7, 57502
655, 6, 203, 508, 56774, 11, 57502
661, 6, 286, 479, 56721, 10, 57502
667, 6, 289, 421, 56779, 7, 57502
673, 6, 608, 288, 56589, 11, 57502
679, 7, 720, 215, 56553, 7, 57502
685, 5, 717, 186, 56582, 12, 57502
691, 5, 1214, 44, 56228, 11, 57502
697, 9, 3910, 34, 53543, 6, 57502
703, 7, 6350, 4, 51132, 9, 57502
709, 6, 10374, 2, 47111, 9, 57502
715, 10, 13556, 3, 43925, 8, 57502
721, 8, 16287, 1, 41196, 10, 57502
727, 8, 19097, 7, 38382, 8, 57502
733, 8, 19232, 3, 38252, 7, 57502
