ts, default broker, SPOT, EWIIS3, VidyutVanika, AgentUDE, total
359, 57504, 0, 0, 0, 0, 57504
360, 57504, 0, 0, 0, 0, 57504
361, 13, 5, 814, 51798, 4874, 57504
367, 11, 8, 432, 52144, 4909, 57504
373, 8, 10, 254, 52292, 4940, 57504
379, 7, 9, 228, 52319, 4941, 57504
385, 7, 8, 207, 52339, 4943, 57504
391, 7, 10, 207, 52335, 4945, 57504
397, 7, 8, 172, 52334, 4983, 57504
403, 7, 350, 2130, 54909, 108, 57504
409, 8, 76, 2122, 55158, 140, 57504
415, 8, 105, 1974, 55287, 130, 57504
421, 7, 105, 1956, 55304, 132, 57504
427, 7, 105, 1954, 55307, 131, 57504
433, 7, 135, 2643, 54587, 132, 57504
439, 7, 165, 4641, 52559, 132, 57504
445, 8, 216, 5266, 51976, 38, 57504
451, 6, 462, 5446, 51428, 162, 57504
457, 6, 554, 6056, 50697, 191, 57504
463, 6, 762, 5371, 51054, 311, 57504
469, 6, 750, 4573, 51580, 595, 57504
475, 6, 940, 3499, 52303, 756, 57504
481, 5, 1265, 3086, 52026, 1122, 57504
487, 7, 1529, 1150, 54191, 627, 57504
493, 7, 1272, 497, 55102, 626, 57504
499, 7, 1344, 424, 54763, 966, 57504
505, 8, 1196, 287, 54933, 1080, 57504
511, 8, 960, 200, 55199, 1137, 57504
517, 7, 772, 150, 55611, 964, 57504
523, 8, 443, 138, 56160, 755, 57504
529, 7, 443, 138, 56909, 7, 57504
535, 6, 340, 137, 57013, 8, 57504
541, 6, 238, 136, 57114, 10, 57504
547, 5, 208, 132, 57147, 12, 57504
553, 5, 10, 133, 57343, 13, 57504
559, 5, 1, 122, 57227, 149, 57504
565, 2, 1, 123, 57224, 154, 57504
571, 0, 653, 125, 54283, 2443, 57504
577, 1, 1164, 113, 50346, 5880, 57504
583, 1, 1366, 115, 45328, 10694, 57504
589, 1, 1749, 114, 39346, 16294, 57504
595, 3, 1828, 114, 37551, 18008, 57504
601, 3, 1824, 114, 37260, 18303, 57504
607, 2, 1970, 114, 36385, 19033, 57504
613, 10, 2302, 114, 52797, 2281, 57504
619, 10, 2131, 113, 54066, 1184, 57504
625, 10, 118, 113, 56143, 1120, 57504
631, 10, 120, 109, 56144, 1121, 57504
637, 9, 120, 110, 56008, 1257, 57504
643, 9, 256, 110, 55801, 1328, 57504
649, 8, 251, 110, 55803, 1332, 57504
655, 8, 252, 110, 56981, 153, 57504
661, 7, 251, 107, 57130, 9, 57504
667, 7, 369, 110, 57008, 10, 57504
673, 8, 2, 108, 57347, 39, 57504
679, 7, 2, 110, 57344, 41, 57504
685, 6, 2, 108, 57347, 41, 57504
691, 6, 3, 107, 57347, 41, 57504
697, 6, 4, 106, 57379, 9, 57504
703, 6, 2, 108, 57381, 7, 57504
709, 6, 2, 107, 57383, 6, 57504
715, 6, 2, 107, 57383, 6, 57504
721, 7, 1, 105, 57385, 6, 57504
727, 7, 1, 105, 57384, 7, 57504
733, 8, 0, 105, 57384, 7, 57504
739, 8, 4, 102, 57235, 155, 57504
745, 7, 104, 104, 56832, 457, 57504
751, 5, 355, 107, 56634, 403, 57504
757, 6, 361, 113, 56505, 519, 57504
763, 5, 656, 110, 56096, 637, 57504
769, 5, 651, 107, 56133, 608, 57504
775, 4, 648, 110, 56522, 220, 57504
781, 4, 789, 108, 56598, 5, 57504
787, 4, 789, 112, 56592, 7, 57504
793, 4, 705, 107, 56676, 12, 57504
799, 4, 653, 108, 56726, 13, 57504
805, 4, 600, 110, 56488, 302, 57504
811, 5, 550, 109, 56598, 242, 57504
817, 5, 618, 107, 56593, 181, 57504
823, 4, 583, 111, 56341, 465, 57504
829, 4, 562, 97, 56371, 470, 57504
835, 4, 470, 98, 56499, 433, 57504
841, 3, 279, 95, 56666, 461, 57504
847, 1, 394, 89, 56574, 446, 57504
853, 1, 311, 89, 56693, 410, 57504
859, 1, 280, 88, 56783, 352, 57504
865, 1, 209, 88, 57202, 4, 57504
