ts, default broker, CrocodileAgent, SPOT, COLDPower18, EWIIS3, VidyutVanika, AgentUDE, Bunnie, total
359, 57516, 0, 0, 0, 0, 0, 0, 0, 57516
360, 57516, 0, 0, 0, 0, 0, 0, 0, 57516
361, 3, 1, 155, 0, 65, 7391, 32891, 17010, 57516
367, 4, 1, 155, 0, 38, 7390, 32925, 17003, 57516
373, 3, 0, 155, 0, 55, 7391, 40274, 9638, 57516
379, 1, 1, 156, 0, 92, 7390, 44205, 5671, 57516
385, 2, 2, 3, 0, 118, 7390, 46765, 3236, 57516
391, 2, 2, 3, 0, 148, 7390, 47738, 2233, 57516
397, 2, 2, 2, 0, 88, 7392, 48583, 1447, 57516
403, 3, 1, 53, 0, 264, 7800, 2736, 46659, 57516
409, 3, 1, 55, 0, 234, 7799, 2764, 46660, 57516
415, 3, 0, 56, 0, 430, 7798, 3051, 46178, 57516
421, 2, 0, 56, 0, 982, 7893, 4271, 44312, 57516
427, 0, 0, 54, 0, 782, 7894, 5260, 43526, 57516
433, 0, 1, 55, 0, 741, 7805, 6831, 42083, 57516
439, 0, 2, 57, 0, 571, 7770, 7040, 42076, 57516
445, 0, 2, 58, 0, 479, 7800, 1402, 47775, 57516
451, 1, 2, 36, 0, 508, 7922, 2584, 46463, 57516
457, 2, 138, 37, 0, 433, 8195, 4182, 44529, 57516
463, 2, 138, 37, 0, 315, 8863, 4158, 44003, 57516
469, 1, 393, 7, 0, 251, 13726, 5108, 38030, 57516
475, 1, 1072, 7, 0, 171, 19316, 5358, 31591, 57516
481, 1, 3076, 4, 0, 142, 26021, 5760, 22512, 57516
487, 1, 4716, 4, 0, 138, 31004, 113, 21540, 57516
493, 2, 6287, 4, 0, 137, 34589, 195, 16302, 57516
499, 2, 7306, 5, 0, 43, 37892, 277, 11991, 57516
505, 0, 8232, 4, 0, 41, 39641, 359, 9239, 57516
511, 0, 8277, 4, 0, 39, 39595, 359, 9242, 57516
517, 0, 8333, 5, 0, 39, 39429, 370, 9340, 57516
523, 1, 8331, 4, 0, 38, 39262, 361, 9519, 57516
529, 1, 8328, 2, 0, 42, 39069, 140, 9934, 57516
535, 1, 8220, 2, 0, 41, 38594, 275, 10383, 57516
541, 1, 8119, 2, 0, 41, 37503, 590, 11260, 57516
547, 2, 7248, 2, 0, 37, 33575, 1263, 15389, 57516
553, 3, 6602, 0, 0, 37, 30671, 1878, 18325, 57516
559, 3, 5572, 0, 0, 36, 26721, 2207, 22977, 57516
565, 3, 4312, 0, 0, 35, 22304, 3093, 27769, 57516
571, 4, 4082, 0, 0, 34, 21241, 1127, 31028, 57516
577, 4, 3207, 81, 0, 33, 18070, 2942, 33179, 57516
583, 4, 2316, 81, 0, 33, 14432, 4533, 36117, 57516
589, 3, 1441, 81, 0, 33, 12605, 5181, 38172, 57516
595, 3, 1252, 82, 0, 32, 11635, 5534, 38978, 57516
601, 3, 762, 83, 0, 21, 10760, 6176, 39711, 57516
607, 2, 672, 83, 0, 22, 10321, 6551, 39865, 57516
613, 1, 612, 84, 0, 24, 9940, 275, 46580, 57516
619, 1, 382, 23, 0, 24, 9589, 268, 47229, 57516
625, 1, 302, 3, 0, 24, 9023, 565, 47598, 57516
631, 1, 232, 3, 0, 23, 9585, 555, 47117, 57516
637, 1, 336, 5, 0, 23, 15838, 546, 40767, 57516
643, 1, 1112, 4, 0, 24, 23616, 549, 32210, 57516
649, 1, 4398, 4, 0, 24, 31741, 626, 20722, 57516
655, 1, 5522, 3, 0, 28, 35042, 74, 16846, 57516
661, 1, 6597, 2, 0, 28, 39165, 147, 11576, 57516
667, 2, 7104, 2, 0, 24, 41246, 241, 8897, 57516
673, 2, 7925, 2, 0, 24, 42706, 315, 6542, 57516
679, 2, 7909, 2, 0, 24, 42312, 345, 6922, 57516
685, 1, 7878, 1, 0, 25, 41865, 357, 7389, 57516
691, 1, 7838, 0, 0, 24, 41579, 340, 7734, 57516
697, 2, 7838, 0, 0, 24, 41474, 131, 8047, 57516
703, 2, 7837, 1, 0, 23, 40918, 163, 8572, 57516
709, 1, 7636, 1, 0, 24, 38519, 207, 11128, 57516
715, 1, 6865, 0, 0, 26, 36457, 290, 13877, 57516
721, 1, 5619, 0, 0, 26, 31610, 525, 19735, 57516
727, 1, 4848, 1, 0, 20, 28606, 577, 23463, 57516
733, 1, 3999, 1, 0, 19, 25062, 1014, 27420, 57516
739, 0, 2990, 1, 0, 19, 21209, 622, 32675, 57516
745, 0, 2347, 1, 0, 20, 18060, 1054, 36034, 57516
751, 0, 1764, 1, 0, 18, 15875, 1488, 38370, 57516
757, 0, 1314, 121, 0, 18, 14160, 1972, 39931, 57516
763, 2, 843, 121, 0, 18, 13045, 2223, 41264, 57516
769, 3, 583, 122, 0, 14, 12276, 2342, 42176, 57516
775, 3, 504, 121, 0, 15, 11328, 2734, 42811, 57516
781, 3, 393, 121, 0, 16, 10163, 196, 46624, 57516
787, 3, 324, 121, 0, 15, 9697, 445, 46911, 57516
793, 3, 314, 121, 0, 15, 9389, 559, 47115, 57516
799, 3, 234, 91, 0, 15, 8848, 585, 47740, 57516
805, 3, 288, 31, 0, 5, 9727, 846, 46616, 57516
811, 4, 1074, 32, 0, 4, 12383, 978, 43041, 57516
817, 2, 2626, 1, 0, 4, 15515, 937, 38431, 57516
823, 1, 3415, 1, 0, 5, 18009, 144, 35941, 57516
829, 1, 4383, 1, 0, 6, 20787, 138, 32200, 57516
835, 0, 4686, 1, 0, 8, 21903, 120, 30798, 57516
841, 1, 5137, 2, 0, 8, 22960, 207, 29201, 57516
847, 1, 5173, 2, 0, 8, 22932, 195, 29205, 57516
853, 1, 5215, 2, 0, 9, 22903, 173, 29213, 57516
859, 1, 5182, 3, 0, 10, 22552, 255, 29513, 57516
865, 0, 4765, 3, 0, 10, 32692, 8, 20038, 57516
871, 1, 4765, 3, 0, 9, 22059, 150, 30529, 57516
877, 2, 4670, 2, 0, 8, 21700, 249, 30885, 57516
883, 2, 4030, 1, 0, 8, 26259, 222, 26994, 57516
889, 1, 2926, 1, 0, 7, 34146, 210, 20225, 57516
895, 1, 2435, 1, 0, 8, 37081, 207, 17783, 57516
901, 1, 1894, 1, 0, 9, 40452, 209, 14950, 57516
907, 1, 1314, 1, 0, 8, 44691, 212, 11289, 57516
913, 2, 994, 0, 0, 8, 46909, 189, 9414, 57516
919, 2, 805, 0, 0, 7, 11270, 868, 44564, 57516
925, 3, 715, 1, 0, 6, 12819, 839, 43133, 57516
931, 3, 555, 1, 0, 6, 22918, 826, 33207, 57516
937, 3, 475, 0, 0, 7, 29548, 840, 26643, 57516
943, 2, 334, 0, 0, 8, 36464, 801, 19907, 57516
949, 1, 264, 0, 0, 8, 40858, 293, 16092, 57516
955, 1, 214, 0, 0, 7, 44685, 337, 12272, 57516
961, 1, 194, 0, 0, 10, 45846, 1207, 10258, 57516
967, 1, 94, 0, 0, 10, 48615, 1209, 7587, 57516
973, 1, 94, 0, 0, 9, 49128, 1334, 6950, 57516
979, 1, 56, 0, 0, 9, 51347, 1609, 4494, 57516
985, 0, 371, 0, 0, 8, 50725, 1851, 4561, 57516
991, 0, 480, 0, 0, 8, 51045, 1842, 4141, 57516
997, 0, 809, 0, 0, 6, 51607, 1818, 3276, 57516
1003, 0, 1278, 0, 0, 7, 51732, 2055, 2444, 57516
1009, 0, 1310, 0, 0, 8, 51341, 2710, 2147, 57516
1015, 0, 1308, 0, 0, 9, 51783, 2547, 1869, 57516
1021, 0, 1307, 0, 0, 7, 52159, 2322, 1721, 57516
