ts, default broker, CrocodileAgent, AgentUDE, total
359, 57509, 0, 0, 57509
360, 57509, 0, 0, 57509
361, 6893, 4361, 46255, 57509
367, 6965, 4293, 46251, 57509
373, 6859, 4400, 46250, 57509
379, 6845, 4421, 46243, 57509
385, 6840, 4437, 46232, 57509
391, 6789, 4491, 46229, 57509
397, 6836, 4450, 46223, 57509
403, 6896, 46496, 4117, 57509
409, 6827, 50435, 247, 57509
415, 6839, 50574, 96, 57509
421, 6782, 50632, 95, 57509
427, 6727, 50695, 87, 57509
433, 6728, 50680, 101, 57509
439, 6810, 50602, 97, 57509
445, 6792, 50515, 202, 57509
451, 6693, 49843, 973, 57509
457, 6723, 48934, 1852, 57509
463, 6839, 48454, 2216, 57509
469, 6706, 47970, 2833, 57509
475, 6681, 37516, 13312, 57509
481, 6734, 21431, 29344, 57509
487, 6772, 17008, 33729, 57509
493, 6683, 13998, 36828, 57509
499, 6685, 12459, 38365, 57509
505, 6819, 10133, 40557, 57509
511, 6866, 7956, 42687, 57509
517, 6944, 6889, 43676, 57509
523, 6961, 4471, 46077, 57509
529, 6878, 4824, 45807, 57509
535, 6881, 5208, 45420, 57509
541, 6865, 5313, 45331, 57509
547, 6883, 6825, 43801, 57509
553, 6864, 10233, 40412, 57509
559, 6893, 17260, 33356, 57509
565, 6932, 23593, 26984, 57509
571, 6924, 46924, 3661, 57509
577, 6888, 49434, 1187, 57509
583, 6900, 49512, 1097, 57509
589, 6807, 49617, 1085, 57509
595, 6862, 49544, 1103, 57509
601, 6910, 49496, 1103, 57509
607, 6997, 49406, 1106, 57509
613, 6952, 50352, 205, 57509
619, 6877, 50282, 350, 57509
625, 6755, 50046, 708, 57509
631, 6808, 48472, 2229, 57509
637, 6809, 45362, 5338, 57509
643, 6782, 38288, 12439, 57509
649, 6777, 31452, 19280, 57509
655, 6787, 23964, 26758, 57509
661, 6773, 15241, 35495, 57509
667, 6896, 11729, 38884, 57509
673, 6882, 8965, 41662, 57509
679, 6891, 8238, 42380, 57509
685, 6882, 6248, 44379, 57509
691, 6907, 5138, 45464, 57509
697, 6899, 4809, 45801, 57509
703, 6928, 3923, 46658, 57509
709, 6727, 3585, 47197, 57509
715, 6729, 3237, 47543, 57509
721, 6755, 3610, 47144, 57509
727, 6692, 4035, 46782, 57509
733, 6781, 4862, 45866, 57509
739, 6785, 46882, 3842, 57509
745, 6789, 49873, 847, 57509
751, 6829, 50154, 526, 57509
757, 6747, 50241, 521, 57509
763, 6826, 50204, 479, 57509
769, 6796, 50265, 448, 57509
775, 6832, 50246, 431, 57509
781, 6926, 49866, 717, 57509
787, 6788, 49392, 1329, 57509
793, 6819, 48961, 1729, 57509
799, 6772, 48450, 2287, 57509
805, 6512, 48017, 2980, 57509
811, 6602, 37301, 13606, 57509
817, 6571, 30869, 20069, 57509
823, 6631, 23787, 27091, 57509
829, 6718, 16954, 33837, 57509
835, 6786, 12533, 38190, 57509
841, 6738, 10514, 40257, 57509
847, 6773, 8836, 41900, 57509
853, 6831, 6431, 44247, 57509
859, 6748, 5288, 45473, 57509
865, 6774, 4469, 46266, 57509
871, 6879, 3845, 46785, 57509
877, 6828, 2962, 47719, 57509
883, 6894, 2607, 48008, 57509
889, 6797, 2527, 48185, 57509
895, 6780, 2425, 48304, 57509
901, 6940, 2279, 48290, 57509
907, 6962, 38961, 11586, 57509
913, 6920, 43909, 6680, 57509
919, 6910, 45249, 5350, 57509
925, 6850, 45962, 4697, 57509
931, 6907, 46464, 4138, 57509
937, 6915, 47110, 3484, 57509
943, 6833, 47445, 3231, 57509
949, 6871, 48525, 2113, 57509
955, 6755, 48538, 2216, 57509
961, 6791, 48347, 2371, 57509
967, 6797, 48070, 2642, 57509
973, 6833, 47428, 3248, 57509
979, 6802, 35844, 14863, 57509
985, 6786, 28297, 22426, 57509
991, 6857, 23427, 27225, 57509
997, 6835, 19325, 31349, 57509
1003, 6877, 16215, 34417, 57509
1009, 6820, 12267, 38422, 57509
1015, 6804, 9109, 41596, 57509
1021, 6864, 6539, 44106, 57509
1027, 6914, 5059, 45536, 57509
1033, 6900, 4892, 45717, 57509
1039, 6915, 4416, 46178, 57509
1045, 6905, 3471, 47133, 57509
1051, 6911, 3326, 47272, 57509
1057, 6880, 3236, 47393, 57509
1063, 6869, 3230, 47410, 57509
1069, 6882, 3225, 47402, 57509
1075, 6908, 46560, 4041, 57509
1081, 6878, 49079, 1552, 57509
1087, 6906, 49372, 1231, 57509
1093, 6692, 49603, 1214, 57509
1099, 6676, 49630, 1203, 57509
1105, 6699, 49605, 1205, 57509
1111, 6792, 49514, 1203, 57509
1117, 6764, 49430, 1315, 57509
1123, 6777, 49139, 1593, 57509
1129, 6847, 48728, 1934, 57509
1135, 6871, 48127, 2511, 57509
1141, 6934, 47783, 2792, 57509
1147, 6921, 36594, 13994, 57509
1153, 6938, 28341, 22230, 57509
1159, 6883, 20886, 29740, 57509
1165, 6926, 16721, 33862, 57509
1171, 6963, 9617, 40929, 57509
1177, 6991, 6410, 44108, 57509
1183, 6862, 5564, 45083, 57509
1189, 6823, 4064, 46622, 57509
1195, 6913, 3435, 47161, 57509
1201, 6876, 3433, 47200, 57509
1207, 6766, 3383, 47360, 57509
1213, 6704, 3063, 47742, 57509
